Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Room,Bachelor Room Rent,"Sector 10, Uttara",1,1,2600,September,Anyone,https://www.thetolet.com/bd/property-post/dhaka/uttara/94534/bachelor
Seat,Bachelor Seat Rent,"Niketon, Gandaria",1,1,5000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/gandaria/94529/bachelor
Room,Bachelor Room Rent,"West Rampura, Rampura",1,1,3650,September,Anyone,https://www.thetolet.com/bd/property-post/dhaka/rampura/94524/bachelor
Room,Bachelor Room Rent,"Azimpur, Lalbag",1,1,8000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/lalbag/94522/bachelor
Flat,Bachelor Flat Rent,"Bashundhara R.A, Vatara",1,1,9500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/94521/bachelor
Seat,Bachelor Seat Rent,"Daskhinkhan, Dhaka",1,1,1890,September,Male,https://www.thetolet.com/bd/property-post/dhaka/daskhinkhan/94517/bachelor
Room,Bachelor Room Rent,"Bashundhara R.A, Vatara",1,1,9500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/94514/bachelor
Seat,Bachelor Seat Rent,"Azimpur, Lalbag",1,1,2520,September,Male,https://www.thetolet.com/bd/property-post/dhaka/lalbag/94513/bachelor
Room,Bachelor Room Rent,"Kuril, Vatara",1,1,6500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/94510/bachelor
Seat,Bachelor Seat Rent,"Mirpur 1, Mirpur",1,1,6500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/94508/bachelor
Seat,Bachelor Seat Rent,"Sector 7, Uttara",1,1,5000,September,Female,https://www.thetolet.com/bd/property-post/dhaka/uttara/94506/bachelor
Seat,Bachelor Seat Rent,"Lalbag, Dhaka",1,1,2400,September,Male,https://www.thetolet.com/bd/property-post/dhaka/lalbag/94502/bachelor
Seat,Bachelor Seat Rent,"Azimpur, Lalbag",1,1,2600,September,Male,https://www.thetolet.com/bd/property-post/dhaka/lalbag/94501/bachelor
Seat,Bachelor Seat Rent,"Natun Bazar, Vatara",1,1,4000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/94500/bachelor
Seat,Bachelor Seat Rent,"Azimpur, Lalbag",1,1,2800,September,Male,https://www.thetolet.com/bd/property-post/dhaka/lalbag/94499/bachelor
Seat,Bachelor Seat Rent,"Mirpur 2, Mirpur",1,1,2700,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/94498/bachelor
Seat,Bachelor Seat Rent,"Azimpur, Lalbag",1,1,3450,September,Female,https://www.thetolet.com/bd/property-post/dhaka/lalbag/94497/bachelor
Seat,Bachelor Seat Rent,"Azimpur, Lalbag",1,1,3000,October,Female,https://www.thetolet.com/bd/property-post/dhaka/lalbag/94496/bachelor
Seat,Bachelor Seat Rent,"Bakshibazar, Lalbag",1,1,2700,September,Male,https://www.thetolet.com/bd/property-post/dhaka/lalbag/94495/bachelor
Seat,Bachelor Seat Rent,"Nikunja 2, Khilkhet",1,1,5500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/94486/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,3500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/94484/bachelor
Seat,Bachelor Seat Rent,"Nikunja 2, Khilkhet",1,1,5000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/94482/bachelor
Seat,Bachelor Seat Rent,"Nikunja 2, Khilkhet",1,1,2500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/94480/bachelor
Seat,Bachelor Seat Rent,"Kawlar, Daskhinkhan",1,1,2500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/daskhinkhan/94479/bachelor
Seat,Bachelor Seat Rent,"Khilkhet, Dhaka",1,1,2200,September,Male,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/94478/bachelor
Room,Bachelor Room Rent,"Kawlar, Daskhinkhan",1,1,5000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/daskhinkhan/94477/bachelor
Seat,Bachelor Seat Rent,"Nikunja 2, Khilkhet",1,1,3500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/94476/bachelor
Seat,Bachelor Seat Rent,"Uttarpara, Khilkhet",1,1,3000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/94475/bachelor
Room,Bachelor Room Rent,"Nikunja 2, Khilkhet",1,1,7500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/94474/bachelor
Room,Bachelor Room Rent,"Namapara, Khilkhet",1,1,6150,August,Female,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/94473/bachelor
Seat,Bachelor Seat Rent,"Khilkhet, Dhaka",1,1,3300,September,Male,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/94470/bachelor
Seat,Bachelor Seat Rent,"Nikunja 2, Khilkhet",1,1,4570,September,Male,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/94468/bachelor
Seat,Bachelor Seat Rent,"Nikunja 2, Khilkhet",1,1,3850,September,Male,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/94466/bachelor
Seat,Bachelor Seat Rent,"Nikunja 2, Khilkhet",1,1,4300,September,Male,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/94465/bachelor
Seat,Bachelor Seat Rent,"Mohammadpur, Dhaka",1,1,2800,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94463/bachelor
Seat,Bachelor Seat Rent,"Nikunja 2, Khilkhet",1,1,5000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/94459/bachelor
Seat,Bachelor Seat Rent,"Nikunja 2, Khilkhet",1,1,3500,August,Female,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/94458/bachelor
Seat,Bachelor Seat Rent,"Nikunja 2, Khilkhet",1,1,3500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/94457/bachelor
Seat,Bachelor Seat Rent,"Khilkhet, Dhaka",1,1,1550,September,Male,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/94456/bachelor
Seat,Bachelor Seat Rent,"Shangkar, Dhanmondi",1,1,3600,August,Female,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/94455/bachelor
Seat,Bachelor Seat Rent,"Banasree, Rampura",1,1,3000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/94454/bachelor
Seat,Bachelor Seat Rent,"Mouchak, Shahjahanpur",1,1,4500,September,Female,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/94453/bachelor
Seat,Bachelor Seat Rent,"Kadamtala, Khilgaon",1,1,2300,September,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/94451/bachelor
Seat,Bachelor Seat Rent,"Banasree, Rampura",1,1,2600,September,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/94449/bachelor
Room,Bachelor Room Rent,"Madartek, Khilgaon",1,1,7500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/94447/bachelor
Seat,Bachelor Seat Rent,"Mirpur 1, Mirpur",1,1,3300,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/94446/bachelor
Seat,Bachelor Seat Rent,"Siddheswari, Shahjahanpur",1,1,5000,August,Female,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/94445/bachelor
Seat,Bachelor Seat Rent,"Moghbazar, Ramna",1,1,2500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/ramna/94444/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,2000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/94443/bachelor
Seat,Bachelor Seat Rent,"Moghbazar, Ramna",1,1,4400,September,Male,https://www.thetolet.com/bd/property-post/dhaka/ramna/94441/bachelor
Seat,Bachelor Seat Rent,"Khilkhet, Dhaka",1,1,3850,September,Male,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/94440/bachelor
Seat,Bachelor Seat Rent,"Nikunja 2, Khilkhet",1,1,3350,August,Male,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/94436/bachelor
Room,Bachelor Room Rent,"Banani, Dhaka",1,1,4500,September,Anyone,https://www.thetolet.com/bd/property-post/dhaka/banani/94434/bachelor
Room,Bachelor Room Rent,"Bashundhara R.A, Vatara",1,1,9000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/94431/bachelor
Flat,Bachelor Apartment Rent,"Bashundhara R.A, Vatara",1,1,10000,September,Female,https://www.thetolet.com/bd/property-post/dhaka/vatara/94430/bachelor
Seat,Bachelor Seat Rent,"Mirpur 10, Mirpur",1,1,3200,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/94429/bachelor
Room,Bachelor Room Rent,"Mohakhali, Gulshan",1,1,3500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/94424/bachelor
Flat,Bachelor House Rent,"Sutrapur, Dhaka",1,1,7000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/sutrapur/94419/bachelor
Room,Bachelor Room Rent,"Middle Badda, Badda",1,1,6000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/badda/94406/bachelor
Seat,Bachelor Seat Rent,"Bibir Bagicha, Jatrabari",1,1,1800,September,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/94405/bachelor
Seat,Bachelor Seat Rent,"Dolairpar, Jatrabari",1,1,1970,August,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/94404/bachelor
Seat,Bachelor Seat Rent,"Gandaria, Dhaka",1,1,2100,August,Male,https://www.thetolet.com/bd/property-post/dhaka/gandaria/94403/bachelor
Room,Bachelor Room Rent,"Dania, Jatrabari",1,1,6000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/94400/bachelor
Room,Bachelor Room Rent,"Jatrabari, Dhaka",1,1,2250,September,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/94398/bachelor
Seat,Bachelor Seat Rent,"Shonir Akhra, Jatrabari",1,1,2800,September,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/94394/bachelor
Room,Bachelor Room Rent,"Bangshal, Dhaka",1,1,6000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/bangshal/94393/bachelor
Room,Bachelor Room Rent,"Bashundhara R.A, Vatara",1,1,8500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/94391/bachelor
Seat,Bachelor Seat Rent,"Shahjadpur, Gulshan",1,1,2600,September,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/94390/bachelor
Room,Bachelor Room Rent,"Arambag, Motijheel",1,1,3300,September,Male,https://www.thetolet.com/bd/property-post/dhaka/motijheel/94388/bachelor
Seat,Bachelor Seat Rent,"Mouchak, Shahjahanpur",1,1,4200,August,Female,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/94386/bachelor
Seat,Bachelor Seat Rent,"Moghbazar, Ramna",1,1,2500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/ramna/94385/bachelor
Seat,Bachelor Seat Rent,"Shantibag, Shahjahanpur",1,1,4000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/94384/bachelor
Seat,Bachelor Seat Rent,"Mirbag, Rampura",1,1,3730,September,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/94383/bachelor
Seat,Bachelor Seat Rent,"Shantibag, Shahjahanpur",1,1,3500,September,Female,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/94382/bachelor
Seat,Bachelor Seat Rent,"Moghbazar, Ramna",1,1,5500,October,Female,https://www.thetolet.com/bd/property-post/dhaka/ramna/94380/bachelor
Room,Bachelor Room Rent,"Gulbagh, Shahjahanpur",1,1,7300,September,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/94379/bachelor
Seat,Bachelor Seat Rent,"Shantibag, Shahjahanpur",1,1,2800,September,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/94378/bachelor
Room,Bachelor Room Rent,"Nayatola, Ramna",1,1,9000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/ramna/94376/bachelor
Room,Bachelor Room Rent,"Chawkbazar, Dhaka",1,1,8500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/chawkbazar/94359/bachelor
Room,Bachelor Room Rent,"Gulbagh, Shahjahanpur",1,1,6000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/94358/bachelor
Room,Bachelor Room Rent,"Modinabag, Mugda",1,1,8000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/94356/bachelor
Seat,Bachelor Seat Rent,"Shangkar, Dhanmondi",1,1,3600,August,Female,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/94355/bachelor
Seat,Bachelor Seat Rent,"Komlapur, Motijheel",1,1,2500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/motijheel/94354/bachelor
Seat,Bachelor Seat Rent,"Shantibag, Shahjahanpur",1,1,3701,September,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/94352/bachelor
Room,Bachelor Room Rent,"Badda, Dhaka",1,1,7250,October,Male,https://www.thetolet.com/bd/property-post/dhaka/badda/94350/bachelor
Flat,Bachelor Flat Rent,"Mirpur 12, Mirpur",1,1,6000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/94349/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,2750,September,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/94346/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,2750,September,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/94345/bachelor
Room,Bachelor Room Rent,"Bashundhara R.A, Vatara",1,1,12000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/94344/bachelor
Seat,Bachelor Seat Rent,"Mirpur, Dhaka",1,1,3150,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/94343/bachelor
Seat,Bachelor Seat Rent,"Kochukhet, Kafrul",1,1,1900,September,Male,https://www.thetolet.com/bd/property-post/dhaka/kafrul/94336/bachelor
Room,Bachelor Room Rent,"Kafrul, Dhaka",1,1,4500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/kafrul/94335/bachelor
Seat,Bachelor Seat Rent,"Mirpur 14, Mirpur",1,1,3220,September,Female,https://www.thetolet.com/bd/property-post/dhaka/mirpur/94334/bachelor
Room,Bachelor Room Rent,"Kuril, Vatara",1,1,8500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/94332/bachelor
Room,Bachelor Room Rent,"Bashundhara R.A, Vatara",1,1,13500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/94331/bachelor
Room,Bachelor Room Rent,"Bashundhara R.A, Vatara",1,1,8000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/94330/bachelor
Seat,Bachelor Seat Rent,"Bashundhara R.A, Vatara",1,1,5000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/94329/bachelor
Room,Bachelor Room Rent,"Bashundhara R.A, Vatara",1,1,8500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/94328/bachelor
Seat,Bachelor Seat Rent,"Banasree, Rampura",1,1,1850,September,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/94327/bachelor
Seat,Bachelor Seat Rent,"Banasree, Rampura",1,1,4000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/94326/bachelor
Seat,Bachelor Seat Rent,"Banasree, Rampura",1,1,3000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/94323/bachelor
Seat,Bachelor Seat Rent,"South Banasree, Rampura",1,1,4000,August,Female,https://www.thetolet.com/bd/property-post/dhaka/rampura/94322/bachelor
Seat,Bachelor Seat Rent,"Modhubag, Rampura",1,1,3000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/94321/bachelor
Seat,Bachelor Seat Rent,"Badda DIT Project, Badda",1,1,2500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/badda/94320/bachelor
Seat,Bachelor Seat Rent,"Savar, Dhaka",1,1,2000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/94315/bachelor
Seat,Bachelor Seat Rent,"Aftab Nagar, Badda",1,1,3500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/badda/94302/bachelor
Seat,Bachelor Seat Rent,"Badda DIT Project, Badda",1,1,3000,September,Female,https://www.thetolet.com/bd/property-post/dhaka/badda/94299/bachelor
Seat,Bachelor Seat Rent,"Satarkul, Badda",1,1,3000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/badda/94298/bachelor
Seat,Bachelor Seat Rent,"Shahjadpur, Gulshan",1,1,4000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/94296/bachelor
Flat,Bachelor Flat Rent,"Middle Badda, Badda",2,1,15000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/badda/94295/bachelor
Room,Bachelor Room Rent,"Banasree, Rampura",1,1,6600,September,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/94292/bachelor
Seat,Bachelor Seat Rent,"Malibag, Shahjahanpur",1,1,2000,August,Female,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/94290/bachelor
Room,Bachelor Room Rent,"Banasree, Rampura",1,1,7500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/94289/bachelor
Room,Bachelor Room Rent,"Lalmatia, Mohammadpur",1,1,10500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94288/bachelor
Seat,Bachelor Seat Rent,"Panthapath, Kalabagan",1,1,3500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/kalabagan/94284/bachelor
Room,Bachelor Room Rent,"East Rampura, Rampura",1,1,6500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/94283/bachelor
Seat,Bachelor Seat Rent,"Banasree, Rampura",1,1,4200,August,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/94282/bachelor
Room,Bachelor Room Rent,"Badda DIT Project, Badda",1,1,8000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/badda/94281/bachelor
Seat,Bachelor Seat Rent,"Badda, Dhaka",1,1,5000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/badda/94280/bachelor
Seat,Bachelor Seat Rent,"South Banasree, Rampura",1,1,3500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/94279/bachelor
Seat,Bachelor Seat Rent,"Banasree, Rampura",1,1,2800,September,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/94278/bachelor
Room,Bachelor Room Rent,"Banasree, Rampura",1,1,7000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/94272/bachelor
Room,Bachelor Room Rent,"Bashundhara R.A, Vatara",1,1,10500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/94271/bachelor
Room,Bachelor Room Rent,"Bashundhara R.A, Vatara",1,1,8000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/94269/bachelor
Room,Bachelor Room Rent,"Bashundhara R.A, Vatara",1,1,11000,September,Anyone,https://www.thetolet.com/bd/property-post/dhaka/vatara/94268/bachelor
Room,Bachelor Room Rent,"Bashundhara R.A, Vatara",1,1,7500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/94266/bachelor
Room,Bachelor Room Rent,"Vatara, Dhaka",1,1,8500,September,Female,https://www.thetolet.com/bd/property-post/dhaka/vatara/94265/bachelor
Room,Bachelor Room Rent,"Bashundhara R.A, Vatara",1,1,10500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/94264/bachelor
Room,Bachelor Room Rent,"Bashundhara R.A, Vatara",1,1,12000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/94263/bachelor
Seat,Bachelor Seat Rent,"Kalabagan, Dhaka",1,1,3500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/kalabagan/94261/bachelor
Seat,Bachelor Seat Rent,"Mohammadpur, Dhaka",1,1,3500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94260/bachelor
Seat,Bachelor Seat Rent,"Zigatola, Dhanmondi",1,1,3000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/94258/bachelor
Seat,Bachelor Seat Rent,"Dhanmondi 15, Dhanmondi",1,1,1500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/94256/bachelor
Seat,Bachelor Seat Rent,"Shekhertek, Mohammadpur",1,1,4500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94254/bachelor
Room,Bachelor Room Rent,"Bosila, Mohammadpur",1,1,6500,September,Female,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94251/bachelor
Seat,Bachelor Seat Rent,"Shyamoli, Mohammadpur",1,1,4000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94247/bachelor
Seat,Bachelor Seat Rent,"Kallyanpur, Mirpur",1,1,6300,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/94246/bachelor
Seat,Bachelor Seat Rent,"Kaderabad Housing Society, Mohammadpur",1,1,1535,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94243/bachelor
Room,Bachelor Room Rent,"Mohammadpur, Dhaka",1,1,8500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94242/bachelor
Seat,Bachelor Seat Rent,"Shangkar, Dhanmondi",1,1,2500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/94241/bachelor
Seat,Bachelor Seat Rent,"Zigatola, Dhanmondi",1,1,2800,September,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/94240/bachelor
Seat,Bachelor Seat Rent,"Mohammadia Housing Society, Mohammadpur",1,1,1700,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94235/bachelor
Seat,Bachelor Seat Rent,"Tikkapara, Mohammadpur",1,1,2750,August,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94232/bachelor
Seat,Bachelor Seat Rent,"Katasur, Mohammadpur",1,1,2700,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94231/bachelor
Room,Bachelor Room Rent,"Zigatola, Dhanmondi",1,1,8500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/94230/bachelor
Room,Bachelor Room Rent,"Mohammadpur, Dhaka",1,1,5000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94229/bachelor
Room,Bachelor Room Rent,"Chad Uddan, Mohammadpur",1,1,6500,September,Female,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94228/bachelor
Room,Bachelor Room Rent,"Noboudoy Housing, Mohammadpur",1,1,7000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94226/bachelor
Seat,Bachelor Seat Rent,"Katasur, Mohammadpur",1,1,1850,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94225/bachelor
