Rental_type,Bedroom,Bathroom,Rent,Month_Available,Gender_Suitability,Location,Area,adm3_pcode
Seat,1,1,3000,July,Male,"Agargaon,Sher-E-BanglaNagar",agargaon,BD302680
Seat,1,1,1000,September,Male,"EastShewrapara,Mirpur",mirpur,BD302648
Seat,1,1,1250,August,Male,"Savar,Dhaka",savar,BD302672
Seat,1,1,1250,August,Male,"Savar,Dhaka",savar,BD302672
Seat,1,1,1250,August,Male,"HouseBuilding,Uttara",uttara,BD302695
Seat,1,1,1310,September,Male,"Mirpur1,Mirpur",mirpur,BD302648
Seat,1,1,1350,July,Male,"Savar,Dhaka",savar,BD302672
Seat,1,1,1400,August,Male,"KaderabadHousingSociety,Mohammadpur",mohammadpur,BD302650
Seat,1,1,1400,August,Male,"Bosila,Mohammadpur",mohammadpur,BD302650
Seat,1,1,1430,August,Male,"Shyampur,Dhaka",shyampur,BD302676
Seat,1,1,1500,September,Male,"Dhanmondi15,Dhanmondi",dhanmondi,BD302616
Seat,1,1,1500,August,Male,"Shahjadpur,Gulshan",gulshan,BD302626
Seat,1,1,1500,August,Male,"Kajla,Jatrabari",jatrabari,BD302629
Seat,1,1,1500,August,Male,"ShonirAkhra,Jatrabari",jatrabari,BD302629
Seat,1,1,1500,August,Male,"Jatrabari,Dhaka",jatrabari,BD302629
Seat,1,1,1500,August,Male,"Rayerbag,Jatrabari",jatrabari,BD302629
Seat,1,1,1500,August,Male,"Azimpur,Lalbag",lalbag,BD302642
Seat,1,1,1500,August,Male,"Azimpur,Lalbag",lalbag,BD302642
Seat,1,1,1500,August,Male,"Lalbag,Dhaka",lalbag,BD302642
Seat,1,1,1500,August,Male,"Azimpur,Lalbag",lalbag,BD302642
Seat,1,1,1500,August,Male,"Azimpur,Lalbag",lalbag,BD302642
Seat,1,1,1500,August,Male,"Azimpur,Lalbag",lalbag,BD302642
Seat,1,1,1500,August,Male,"Azimpur,Lalbag",lalbag,BD302642
Seat,1,1,1500,August,Male,"Kazipara,Mirpur",mirpur,BD302648
Seat,1,1,1500,July,Male,"Mirpur1,Mirpur",mirpur,BD302648
Seat,1,1,1500,July,Male,"Mirpur2,Mirpur",mirpur,BD302648
Seat,1,1,1500,August,Male,"Bosila,Mohammadpur",mohammadpur,BD302650
Seat,1,1,1500,July,Male,"Arambag,Motijheel",motijheel,BD302654
Seat,1,1,1500,August,Male,"Banasree,Rampura",rampura,BD302667
Seat,1,1,1500,August,Male,"Savar,Dhaka",savar,BD302672
Seat,1,1,1500,August,Male,"Savar,Dhaka",savar,BD302672
Seat,1,1,1500,August,Male,"Diyabari,Uttara",uttara,BD302695
Seat,1,1,1535,September,Male,"KaderabadHousingSociety,Mohammadpur",mohammadpur,BD302650
Seat,1,1,1550,August,Male,"Gandaria,Dhaka",gandaria,BD302624
Seat,1,1,1550,August,Male,"Mohakhali,Gulshan",gulshan,BD302626
Seat,1,1,1550,August,Male,"Khilkhet,Dhaka",khilkhet,BD302637
Seat,1,1,1550,September,Male,"Khilkhet,Dhaka",khilkhet,BD302637
Seat,1,1,1600,August,Male,"Jatrabari,Dhaka",jatrabari,BD302629
Seat,1,1,1600,August,Male,"Mirpur12,Mirpur",mirpur,BD302648
Room,1,1,1600,July,Male,"Shekhertek,Mohammadpur",mohammadpur,BD302650
Seat,1,1,1600,September,Male,"MohammadiaHousingSociety,Mohammadpur",mohammadpur,BD302650
Seat,1,1,1600,September,Male,"Bamnartek,Uttara",uttara,BD302695
Seat,1,1,1640,July,Male,"WestShewrapara,Mirpur",mirpur,BD302648
Seat,1,1,1650,August,Male,"Mirpur1,Mirpur",mirpur,BD302648
Seat,1,1,1650,August,Male,"NurerChala,Vatara",vatara,BD302695
Seat,1,1,1666,August,Male,"Rosulbag,Lalbag",lalbag,BD302642
Seat,1,1,1700,August,Male,"Mir-Hazirbag,Jatrabari",jatrabari,BD302629
Seat,1,1,1700,August,Male,"Lalbag,Dhaka",lalbag,BD302642
Seat,1,1,1700,August,Male,"Azimpur,Lalbag",lalbag,BD302642
Seat,1,1,1700,August,Male,"Mirpur2,Mirpur",mirpur,BD302648
Seat,1,1,1700,July,Male,"60FeetRoad,Mirpur",mirpur,BD302648
Seat,1,1,1700,September,Male,"MohammadiaHousingSociety,Mohammadpur",mohammadpur,BD302650
Seat,1,1,1700,September,Male,"Mohammadpur,Dhaka",mohammadpur,BD302650
Seat,1,1,1750,July,Male,"Mohakhali,Gulshan",gulshan,BD302626
Seat,1,1,1750,August,Male,"Lalbag,Dhaka",lalbag,BD302642
Seat,1,1,1750,August,Male,"NatunBazar,Vatara",vatara,BD302695
Seat,1,1,1750,August,Male,"NatunBazar,Vatara",vatara,BD302695
Seat,1,1,1767,August,Male,"Jatrabari,Dhaka",jatrabari,BD302629
Seat,1,1,1800,July,Male,"HaziCamp,Airport",airport,BD302606
Seat,1,1,1800,August,Male,"NorthBadda,Badda",badda,BD302604
Seat,1,1,1800,August,Male,"NorthBadda,Badda",badda,BD302604
Seat,1,1,1800,August,Male,"MiddleBadda,Badda",badda,BD302604
Seat,1,1,1800,September,Male,"BibirBagicha,Jatrabari",jatrabari,BD302629
Seat,1,1,1800,August,Male,"Nikunja2,Khilkhet",khilkhet,BD302637
Seat,1,1,1800,August,Male,"Lalbag,Dhaka",lalbag,BD302642
Seat,1,1,1800,July,Male,"Azimpur,Lalbag",lalbag,BD302642
Seat,1,1,1800,August,Male,"WestShewrapara,Mirpur",mirpur,BD302648
Seat,1,1,1800,August,Male,"Kazipara,Mirpur",mirpur,BD302648
Seat,1,1,1800,August,Male,"Kazipara,Mirpur",mirpur,BD302648
Seat,1,1,1800,August,Male,"Mirpur1,Mirpur",mirpur,BD302648
Seat,1,1,1800,August,Male,"Kazipara,Mirpur",mirpur,BD302648
Seat,1,1,1800,August,Male,"Kallyanpur,Mirpur",mirpur,BD302648
Seat,1,1,1800,August,Male,"Mirpur1,Mirpur",mirpur,BD302648
Seat,1,1,1800,August,Male,"Mirpur10,Mirpur",mirpur,BD302648
Seat,1,1,1800,September,Male,"EastShewrapara,Mirpur",mirpur,BD302648
Seat,1,1,1800,August,Male,"Jafrabad,Mohammadpur",mohammadpur,BD302650
Seat,1,1,1800,August,Male,"Mohammadpur,Dhaka",mohammadpur,BD302650
Seat,1,1,1800,August,Male,"Fakirapool,Motijheel",motijheel,BD302654
Seat,1,1,1800,August,Male,"Banasree,Rampura",rampura,BD302667
Seat,1,1,1800,August,Male,"Savar,Dhaka",savar,BD302672
Seat,1,1,1800,July,Male,"Savar,Dhaka",savar,BD302672
Seat,1,1,1800,August,Male,"Uttara,Dhaka",uttara,BD302695
Seat,1,1,1800,September,Male,"Uttara,Dhaka",uttara,BD302695
Seat,1,1,1850,August,Male,"Kajla,Jatrabari",jatrabari,BD302629
Seat,1,1,1850,September,Male,"Azimpur,Lalbag",lalbag,BD302642
Seat,1,1,1850,September,Male,"Katasur,Mohammadpur",mohammadpur,BD302650
Seat,1,1,1850,September,Male,"Banasree,Rampura",rampura,BD302667
Seat,1,1,1857,August,Male,"WestShewrapara,Mirpur",mirpur,BD302648
Seat,1,1,1875,August,Male,"Noyanagor,Khilkhet",khilkhet,BD302637
Seat,1,1,1876,August,Male,"BaddaDITProject,Badda",badda,BD302604
Seat,1,1,1890,September,Male,"Daskhinkhan,Dhaka",daskhinkhan,BD302610
Seat,1,1,1890,August,Male,"Nikunja2,Khilkhet",khilkhet,BD302637
Seat,1,1,1890,August,Male,"Mirpur12,Mirpur",mirpur,BD302648
Seat,1,1,1900,September,Male,"Kochukhet,Kafrul",kafrul,BD302630
Seat,1,1,1900,August,Male,"Mirpur11,Mirpur",mirpur,BD302648
Seat,1,1,1900,August,Male,"Mohammadpur,Dhaka",mohammadpur,BD302650
Seat,1,1,1900,September,Male,"Banasree,Rampura",rampura,BD302667
Seat,1,1,1930,August,Male,"Azimpur,Lalbag",lalbag,BD302642
Seat,1,1,1950,August,Male,"Sector6,Uttara",uttara,BD302695
Seat,1,1,1954,August,Male,"Azimpur,Lalbag",lalbag,BD302642
Seat,1,1,1970,August,Male,"Dolairpar,Jatrabari",jatrabari,BD302629
Seat,1,1,1970,August,Male,"Dolairpar,Jatrabari",jatrabari,BD302629
Flat,1,1,2000,August,Male,"MiddleBadda,Badda",badda,BD302604
Seat,1,1,2000,August,Male,"NorthBadda,Badda",badda,BD302604
Seat,1,1,2000,August,Male,"Zigatola,Dhanmondi",dhanmondi,BD302616
Seat,1,1,2000,August,Male,"Zigatola,Dhanmondi",dhanmondi,BD302616
Seat,1,1,2000,August,Male,"Mohakhali,Gulshan",gulshan,BD302626
Seat,1,1,2000,August,Male,"Mohakhali,Gulshan",gulshan,BD302626
Seat,1,1,2000,July,Male,"Mohakhali,Gulshan",gulshan,BD302626
Seat,1,1,2000,September,Male,"Mohakhali,Gulshan",gulshan,BD302626
Seat,1,1,2000,August,Male,"Jatrabari,Dhaka",jatrabari,BD302629
Seat,1,1,2000,August,Male,"ShonirAkhra,Jatrabari",jatrabari,BD302629
Seat,1,1,2000,July,Male,"Jatrabari,Dhaka",jatrabari,BD302629
Seat,1,1,2000,August,Male,"Nikunja2,Khilkhet",khilkhet,BD302637
Seat,1,1,2000,August,Male,"Nikunja2,Khilkhet",khilkhet,BD302637
Seat,1,1,2000,August,Male,"Azimpur,Lalbag",lalbag,BD302642
Seat,1,1,2000,August,Male,"Lalbag,Dhaka",lalbag,BD302642
Seat,1,1,2000,August,Male,"Azimpur,Lalbag",lalbag,BD302642
Seat,1,1,2000,August,Male,"Lalbag,Dhaka",lalbag,BD302642
Seat,1,1,2000,August,Male,"Lalbag,Dhaka",lalbag,BD302642
Seat,1,1,2000,August,Male,"Azimpur,Lalbag",lalbag,BD302642
Seat,1,1,2000,August,Male,"Azimpur,Lalbag",lalbag,BD302642
Seat,1,1,2000,August,Male,"Azimpur,Lalbag",lalbag,BD302642
Seat,1,1,2000,August,Male,"OldDhaka,Lalbag",lalbag,BD302642
Seat,1,1,2000,August,Male,"Azimpur,Lalbag",lalbag,BD302642
Seat,1,1,2000,August,Male,"Lalbag,Dhaka",lalbag,BD302642
Seat,1,1,2000,August,Male,"Azimpur,Lalbag",lalbag,BD302642
Seat,1,1,2000,August,Male,"Azimpur,Lalbag",lalbag,BD302642
Seat,1,1,2000,August,Male,"Azimpur,Lalbag",lalbag,BD302642
Seat,1,1,2000,August,Male,"Azimpur,Lalbag",lalbag,BD302642
Seat,1,1,2000,August,Male,"Azimpur,Lalbag",lalbag,BD302642
Seat,1,1,2000,August,Male,"Lalbag,Dhaka",lalbag,BD302642
Seat,1,1,2000,August,Male,"Azimpur,Lalbag",lalbag,BD302642
Seat,1,1,2000,August,Male,"Lalbag,Dhaka",lalbag,BD302642
Seat,1,1,2000,August,Male,"Azimpur,Lalbag",lalbag,BD302642
Seat,1,1,2000,July,Female,"Azimpur,Lalbag",lalbag,BD302642
Seat,1,1,2000,July,Male,"Azimpur,Lalbag",lalbag,BD302642
Seat,1,1,2000,September,Male,"Azimpur,Lalbag",lalbag,BD302642
Seat,1,1,2000,September,Male,"Azimpur,Lalbag",lalbag,BD302642
Seat,1,1,2000,August,Male,"Mirpur2,Mirpur",mirpur,BD302648
Seat,1,1,2000,August,Male,"Kazipara,Mirpur",mirpur,BD302648
Seat,1,1,2000,August,Male,"Mirpur1,Mirpur",mirpur,BD302648
Seat,1,1,2000,August,Male,"Mirpur10,Mirpur",mirpur,BD302648
Seat,1,1,2000,August,Male,"Mirpur10,Mirpur",mirpur,BD302648
Seat,1,1,2000,August,Male,"Mirpur1,Mirpur",mirpur,BD302648
Seat,1,1,2000,July,Male,"Mirpur6,Mirpur",mirpur,BD302648
Seat,1,1,2000,September,Male,"Mirpur6,Mirpur",mirpur,BD302648
Room,1,1,2000,September,Male,"Mirpur14,Mirpur",mirpur,BD302648
Seat,1,1,2000,September,Male,"Mirpur14,Mirpur",mirpur,BD302648
Seat,1,1,2000,August,Male,"KaderabadHousingSociety,Mohammadpur",mohammadpur,BD302650
Seat,1,1,2000,August,Male,"Shyamoli,Mohammadpur",mohammadpur,BD302650
Seat,1,1,2000,August,Male,"MohammadiaHousingSociety,Mohammadpur",mohammadpur,BD302650
Seat,1,1,2000,July,Male,"DhakaUddanHousing,Mohammadpur",mohammadpur,BD302650
Seat,1,1,2000,August,Male,"Arambag,Motijheel",motijheel,BD302654
Seat,1,1,2000,August,Female,"EastRampura,Rampura",rampura,BD302667
Seat,1,1,2000,August,Male,"Banasree,Rampura",rampura,BD302667
Seat,1,1,2000,August,Male,"WestRampura,Rampura",rampura,BD302667
Seat,1,1,2000,August,Male,"Rampura,Dhaka",rampura,BD302667
Seat,1,1,2000,August,Female,"Rampura,Dhaka",rampura,BD302667
Seat,1,1,2000,July,Male,"MohanagarProject,Rampura",rampura,BD302667
Seat,1,1,2000,August,Male,"Savar,Dhaka",savar,BD302672
Room,1,1,2000,August,Male,"Savar,Dhaka",savar,BD302672
Seat,1,1,2000,August,Male,"Savar,Dhaka",savar,BD302672
Seat,1,1,2000,September,Male,"Savar,Dhaka",savar,BD302672
Seat,1,1,2000,August,Female,"Malibag,Shahjahanpur",shahjahanpur,BD302650
Seat,1,1,2000,August,Male,"Gulbagh,Shahjahanpur",shahjahanpur,BD302650
Seat,1,1,2000,August,Male,"Shantibag,Shahjahanpur",shahjahanpur,BD302650
Seat,1,1,2000,September,Male,"Sutrapur,Dhaka",sutrapur,BD302688
Seat,1,1,2000,August,Male,"Sector9,Uttara",uttara,BD302695
Seat,1,1,2000,August,Male,"Sector10,Uttara",uttara,BD302695
Seat,1,1,2000,August,Male,"Sector14,Uttara",uttara,BD302695
Seat,1,1,2000,July,Male,"Azampur,Uttara",uttara,BD302695
Seat,1,1,2000,August,Male,"NurerChala,Vatara",vatara,BD302695
Seat,1,1,2000,August,Male,"Tikatuli,Wari",wari,BD302640
Seat,1,1,2013,September,Male,"Mir-Hazirbag,Jatrabari",jatrabari,BD302629
Seat,1,1,2040,August,Male,"Rosulbag,Lalbag",lalbag,BD302642
Seat,1,1,2050,August,Male,"NorthBadda,Badda",badda,BD302604
Seat,1,1,2050,August,Male,"Lalbag,Dhaka",lalbag,BD302642
Seat,1,1,2050,July,Male,"Lalbag,Dhaka",lalbag,BD302642
Seat,1,1,2050,September,Male,"Sector6,Uttara",uttara,BD302695
Seat,1,1,2060,September,Male,"Mirpur1,Mirpur",mirpur,BD302648
Seat,1,1,2075,August,Male,"Mohakhali,Gulshan",gulshan,BD302626
Seat,1,1,2083,August,Male,"Arambag,Motijheel",motijheel,BD302654
Seat,1,1,2090,August,Male,"DhakaHousing,Adabor",adabor,BD302602
Seat,1,1,2090,September,Male,"Sector10,Uttara",uttara,BD302695
Seat,1,1,2100,July,Male,"Agargaon,Sher-E-BanglaNagar",agargaon,BD302680
Seat,1,1,2100,July,Male,"MiddleBadda,Badda",badda,BD302604
Seat,1,1,2100,August,Male,"Zigatola,Dhanmondi",dhanmondi,BD302616
Seat,1,1,2100,August,Male,"Gandaria,Dhaka",gandaria,BD302624
Seat,1,1,2100,August,Male,"Basabo,Khilgaon",khilgaon,BD302636
Seat,1,1,2100,August,Male,"Basabo,Khilgaon",khilgaon,BD302636
Seat,1,1,2100,August,Male,"Lalbag,Dhaka",lalbag,BD302642
Seat,1,1,2100,August,Male,"Azimpur,Lalbag",lalbag,BD302642
Seat,1,1,2100,September,Male,"Lalbag,Dhaka",lalbag,BD302642
Seat,1,1,2100,August,Male,"Mirpur2,Mirpur",mirpur,BD302648
Seat,1,1,2100,August,Male,"Mirpur1,Mirpur",mirpur,BD302648
Seat,1,1,2100,September,Male,"WestShewrapara,Mirpur",mirpur,BD302648
Seat,1,1,2100,August,Male,"Jannatbag,Mugda",mugda,BD302688
Seat,1,1,2100,June,Female,"Savar,Dhaka",savar,BD302672
Seat,1,1,2100,August,Male,"Sector10,Uttara",uttara,BD302695
Seat,1,1,2112,September,Male,"Palashi,Lalbag",lalbag,BD302642
Seat,1,1,2150,August,Male,"Shahjadpur,Gulshan",gulshan,BD302626
Seat,1,1,2150,August,Male,"Sipahibag,Khilgaon",khilgaon,BD302636
Seat,1,1,2150,July,Male,"Shekhertek,Mohammadpur",mohammadpur,BD302650
Seat,1,1,2167,August,Male,"Azimpur,Lalbag",lalbag,BD302642
Seat,1,1,2200,July,Male,"Airport,Dhaka",airport,BD302606
Seat,1,1,2200,August,Male,"Badda,Dhaka",badda,BD302604
Seat,1,1,2200,July,Male,"MiddleBadda,Badda",badda,BD302604
Seat,1,1,2200,August,Male,"Zigatola,Dhanmondi",dhanmondi,BD302616
Seat,1,1,2200,August,Male,"Dhanmondi,Dhaka",dhanmondi,BD302616
Seat,1,1,2200,August,Male,"Hazaribag,Dhaka",hazaribag,BD302628
