Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL,Thana,Year,adm3_pcode
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,6000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/36027/bachelor,Adabor,2023,BD302602                                          
Flat,Bachelor House Rent,"Adabor, Dhaka",1,1,3000,June,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/31253/bachelor,Adabor,2023,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,2800,July,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/32449/bachelor,Adabor,2023,BD302602                                          
Flat,Bachelor House Rent,"Adabor, Dhaka",3,2,15000,September,Anyone,https://www.thetolet.com/bd/property-post/dhaka/adabor/6545/bachelor,Adabor,2023,BD302602                                          
Flat,Bachelor House Rent,"Adabor, Dhaka",3,2,14000,March,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/30503/bachelor,Adabor,2023,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,8500,June,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/31261/bachelor,Adabor,2023,BD302602                                          
Flat,Bachelor Flat Rent,"Adabor, Dhaka",1,1,7000,December,Female,https://www.thetolet.com/bd/property-post/dhaka/adabor/42734/bachelor,Adabor,2023,BD302602                                          
Seat,Bachelor Seat Rent,"PC Culture Housing, Adabor",2,2,6500,March,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/78227/bachelor,Adabor,2024,BD302602                                          
Flat,Bachelor House Rent,"Dhaka Housing, Adabor",2,2,6500,February,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/72809/bachelor,Adabor,2024,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",3,2,6500,November,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/40753/bachelor,Adabor,2023,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",3,2,5500,June,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/32106/bachelor,Adabor,2023,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",3,2,3500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/38271/bachelor,Adabor,2023,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",3,2,3500,June,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/31505/bachelor,Adabor,2023,BD302602                                          
Flat,Bachelor House Rent,"Adabor, Dhaka",3,2,3000,June,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/31252/bachelor,Adabor,2023,BD302602                                          
Flat,Bachelor House Rent,"Adabor, Dhaka",3,2,3000,June,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/31245/bachelor,Adabor,2023,BD302602                                          
