Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Seat,Bachelor Seat Rent,"Baitul Aman Housing, Adabor",1,1,3200,September,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/94543/bachelor
Seat,Bachelor Seat Rent,"Monsurabad, Adabor",1,1,2350,August,Female,https://www.thetolet.com/bd/property-post/dhaka/adabor/94083/bachelor
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,3000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/92924/bachelor
Room,Bachelor Room Rent,"Baitul Aman Housing, Adabor",1,1,8500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/92341/bachelor
Seat,Bachelor Seat Rent,"Baitul Aman Housing, Adabor",1,1,2500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/91932/bachelor
Seat,Bachelor Seat Rent,"Dhaka Housing, Adabor",1,1,2090,August,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/91856/bachelor
Seat,Bachelor Seat Rent,"Dhaka Housing, Adabor",1,1,3000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/91678/bachelor
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,5500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/91547/bachelor
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,3000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/91088/bachelor
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,7000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/90792/bachelor
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,7300,July,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/90459/bachelor
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,7000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/90262/bachelor
Seat,Bachelor Seat Rent,"Baitul Aman Housing, Adabor",1,1,2200,July,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/88859/bachelor
Seat,Bachelor Seat Rent,"PC Culture Housing, Adabor",1,1,4000,July,Female,https://www.thetolet.com/bd/property-post/dhaka/adabor/88079/bachelor
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,3500,July,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/87666/bachelor
Room,Bachelor Room Rent,"PC Culture Housing, Adabor",1,1,8000,July,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/87588/bachelor
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,6000,July,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/87312/bachelor
Seat,Bachelor Seat Rent,"Baitul Aman Housing, Adabor",1,1,2500,July,Female,https://www.thetolet.com/bd/property-post/dhaka/adabor/86674/bachelor
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,7200,July,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/85748/bachelor
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,7000,June,Female,https://www.thetolet.com/bd/property-post/dhaka/adabor/83265/bachelor
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,3500,May,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/82869/bachelor
Room,Bachelor Room Rent,"Baitul Aman Housing, Adabor",1,1,6500,May,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/82292/bachelor
