Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Room,Bachelor Room Rent,"Ashkona, Airport",1,1,2400,October,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/94050/bachelor
Seat,Bachelor Seat Rent,"Hazi Camp, Airport",1,1,2500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/93668/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,3200,September,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/93654/bachelor
Room,Bachelor Room Rent,"Ashkona, Airport",1,1,3500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/92116/bachelor
Seat,Bachelor Seat Rent,"Airport, Dhaka",1,1,2200,July,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/91737/bachelor
Seat,Bachelor Seat Rent,"Hazi Camp, Airport",1,1,1800,July,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/90279/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,3600,August,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/90071/bachelor
Seat,Bachelor Seat Rent,"Airport, Dhaka",1,1,2500,July,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/89143/bachelor
Seat,Bachelor Seat Rent,"Hazi Camp, Airport",1,1,3200,July,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/89037/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,2200,July,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/88783/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,3200,July,Female,https://www.thetolet.com/bd/property-post/dhaka/airport/88759/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,3000,July,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/88576/bachelor
Room,Bachelor Room Rent,"Airport, Dhaka",1,1,6700,July,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/88574/bachelor
Seat,Bachelor Seat Rent,"Hazi Camp, Airport",1,1,2500,July,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/87044/bachelor
Room,Bachelor Room Rent,"Hazi Camp, Airport",1,1,6000,June,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/86859/bachelor
Seat,Bachelor Seat Rent,"Airport, Dhaka",1,1,2500,July,Female,https://www.thetolet.com/bd/property-post/dhaka/airport/86550/bachelor
Room,Bachelor Room Rent,"Ashkona, Airport",1,1,5500,June,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/86411/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,2000,June,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/85719/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,3000,June,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/85368/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,1875,June,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/84495/bachelor
Seat,Bachelor Seat Rent,"Airport, Dhaka",1,1,2500,May,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/84066/bachelor
Seat,Bachelor Seat Rent,"Hazi Camp, Airport",1,1,2500,May,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/84064/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,2500,May,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/83683/bachelor
Room,Bachelor Room Rent,"Hazi Camp, Airport",1,1,2500,May,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/83519/bachelor
Room,Bachelor Room Rent,"Kurmitola, Airport",1,1,6000,May,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/83212/bachelor
Room,Bachelor Room Rent,"Ashkona, Airport",1,1,8000,May,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/82779/bachelor
Room,Bachelor Room Rent,"Ashkona, Airport",1,1,5000,April,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/82406/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,2750,April,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/82386/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,1500,April,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/82384/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,2000,April,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/82211/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,2300,April,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/81245/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,3000,March,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/81087/bachelor
Room,Bachelor Room Rent,"Hazi Camp, Airport",1,1,5500,April,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/80864/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,2100,March,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/80709/bachelor
Seat,Bachelor Seat Rent,"Hazi Camp, Airport",1,1,2900,February,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/80348/bachelor
Seat,Bachelor Seat Rent,"Airport, Dhaka",1,1,4000,March,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/80090/bachelor
Seat,Bachelor Seat Rent,"Hazi Camp, Airport",1,1,1500,March,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/79701/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,2000,March,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/78872/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,3000,March,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/77977/bachelor
Seat,Bachelor Seat Rent,"Hazi Camp, Airport",1,1,2000,February,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/77792/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,2100,February,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/77571/bachelor
Room,Bachelor Room Rent,"Ashkona, Airport",1,1,6000,February,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/77261/bachelor
Seat,Bachelor Seat Rent,"Hazi Camp, Airport",1,1,2900,February,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/77256/bachelor
Room,Bachelor Room Rent,"Airport, Dhaka",1,1,5500,February,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/76826/bachelor
Seat,Bachelor Seat Rent,"Hazi Camp, Airport",1,1,2700,February,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/76825/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,2000,February,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/76393/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,2100,February,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/75945/bachelor
Room,Bachelor Room Rent,"Hazi Camp, Airport",1,1,5000,February,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/75799/bachelor
Room,Bachelor Room Rent,"Hazi Camp, Airport",1,1,5000,February,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/74238/bachelor
Room,Bachelor Room Rent,"Ashkona, Airport",1,1,6000,January,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/74012/bachelor
Seat,Bachelor Seat Rent,"Hazi Camp, Airport",1,1,3000,January,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/73997/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,2700,December,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/73868/bachelor
Seat,Bachelor Seat Rent,"Hazi Camp, Airport",1,1,2500,January,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/73828/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,1580,January,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/73827/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,3500,January,Female,https://www.thetolet.com/bd/property-post/dhaka/airport/73818/bachelor
Room,Bachelor Room Rent,"Ashkona, Airport",1,1,4300,January,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/72769/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,2500,January,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/72486/bachelor
Room,Bachelor Room Rent,"Ashkona, Airport",1,1,4000,December,Female,https://www.thetolet.com/bd/property-post/dhaka/airport/72306/bachelor
Room,Bachelor Room Rent,"Ashkona, Airport",1,1,5500,December,Female,https://www.thetolet.com/bd/property-post/dhaka/airport/71024/bachelor
Room,Bachelor Room Rent,"Ashkona, Airport",1,1,3500,December,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/70900/bachelor
Seat,Bachelor Seat Rent,"Hazi Camp, Airport",1,1,4000,December,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/70898/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,2500,December,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/70716/bachelor
Room,Bachelor Room Rent,"Kurmitola, Airport",1,1,5500,January,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/70271/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,2900,November,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/70027/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,2000,December,Female,https://www.thetolet.com/bd/property-post/dhaka/airport/69070/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,3000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/66562/bachelor
Flat,Bachelor House Rent,"Hazi Camp, Airport",2,1,7000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/66414/bachelor
Room,Bachelor Room Rent,"Ashkona, Airport",1,1,5000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/64285/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,2199,September,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/63954/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,2000,September,Female,https://www.thetolet.com/bd/property-post/dhaka/airport/63724/bachelor
Room,Bachelor Room Rent,"Airport, Dhaka",1,1,5000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/63614/bachelor
Seat,Bachelor Seat Rent,"Airport, Dhaka",1,1,2200,September,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/62238/bachelor
Seat,Bachelor Seat Rent,"Airport, Dhaka",1,1,1700,August,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/61924/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,2050,August,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/61782/bachelor
Flat,Bachelor House Rent,"Ashkona, Airport",1,1,9000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/61781/bachelor
Seat,Bachelor Seat Rent,"Hazi Camp, Airport",1,1,3250,August,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/61189/bachelor
Seat,Bachelor Seat Rent,"Airport, Dhaka",1,1,4500,July,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/60724/bachelor
Room,Bachelor Room Rent,"Airport, Dhaka",1,1,4000,July,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/60045/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,2000,July,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/59775/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,3000,June,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/59095/bachelor
Room,Bachelor Room Rent,"Ashkona, Airport",1,1,5000,June,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/58761/bachelor
Room,Bachelor Room Rent,"Ashkona, Airport",1,1,8300,June,Female,https://www.thetolet.com/bd/property-post/dhaka/airport/58395/bachelor
Room,Bachelor Room Rent,"Hazi Camp, Airport",1,1,4900,July,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/57687/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,2000,June,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/57483/bachelor
Room,Bachelor Room Rent,"Ashkona, Airport",1,1,4000,June,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/57482/bachelor
Room,Bachelor Room Rent,"Hazi Camp, Airport",1,1,4500,May,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/56975/bachelor
Seat,Bachelor Seat Rent,"Hazi Camp, Airport",1,1,2800,June,Female,https://www.thetolet.com/bd/property-post/dhaka/airport/56974/bachelor
Room,Bachelor Room Rent,"Ashkona, Airport",1,1,5000,June,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/56631/bachelor
Room,Bachelor Room Rent,"Ashkona, Airport",1,1,4000,June,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/53498/bachelor
Room,Bachelor Room Rent,"Hazi Camp, Airport",1,1,6000,April,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/53180/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,3780,April,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/52866/bachelor
Seat,Bachelor Seat Rent,"Airport, Dhaka",1,1,3000,April,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/46901/bachelor
Room,Bachelor Room Rent,"Ashkona, Airport",1,1,4000,January,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/46717/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,2000,February,Anyone,https://www.thetolet.com/bd/property-post/dhaka/airport/46643/bachelor
Flat,Bachelor House Rent,"Hazi Camp, Airport",4,5,50000,March,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/46473/bachelor
Room,Bachelor Room Rent,"Ashkona, Airport",1,1,5000,February,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/46157/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,2180,February,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/45763/bachelor
Seat,Bachelor Seat Rent,"Airport, Dhaka",1,1,3500,January,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/45674/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,1600,January,Female,https://www.thetolet.com/bd/property-post/dhaka/airport/45498/bachelor
Room,Bachelor Room Rent,"Ashkona, Airport",1,1,6000,February,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/45042/bachelor
Room,Bachelor Room Rent,"Ashkona, Airport",1,1,5500,January,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/43813/bachelor
Room,Bachelor Room Rent,"Ashkona, Airport",1,1,4500,December,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/42661/bachelor
Seat,Bachelor Seat Rent,"Airport, Dhaka",1,1,3000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/42541/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,2700,December,Female,https://www.thetolet.com/bd/property-post/dhaka/airport/41983/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,4000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/41659/bachelor
Flat,Bachelor House Rent,"Airport, Dhaka",3,1,8000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/41469/bachelor
Seat,Bachelor Seat Rent,"Airport, Dhaka",1,1,2400,November,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/41367/bachelor
Seat,Bachelor Seat Rent,"Hazi Camp, Airport",1,1,2000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/40032/bachelor
Seat,Bachelor Seat Rent,"Airport, Dhaka",1,1,3000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/39485/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,2750,November,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/38973/bachelor
Seat,Bachelor Seat Rent,"Hazi Camp, Airport",1,1,2250,October,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/38944/bachelor
Seat,Bachelor Seat Rent,"Ashkona, Airport",1,1,1100,October,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/38400/bachelor
Room,Bachelor Room Rent,"Ashkona, Airport",1,1,3400,October,Male,https://www.thetolet.com/bd/property-post/dhaka/airport/37825/bachelor
