Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Seat,Bachelor Seat Rent,"Badda, Dhaka",1,1,4500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/badda/95170/bachelor
Seat,Bachelor Seat Rent,"North Badda, Badda",1,1,2300,September,Male,https://www.thetolet.com/bd/property-post/dhaka/badda/95034/bachelor
Room,Bachelor Room Rent,"Khilbari Tek, Badda",1,1,2000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/badda/95004/bachelor
Room,Bachelor Room Rent,"Aftab Nagar, Badda",1,1,7000,September,Female,https://www.thetolet.com/bd/property-post/dhaka/badda/95001/bachelor
Room,Bachelor Room Rent,"Badda, Dhaka",1,1,9000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/badda/94853/bachelor
Seat,Bachelor Seat Rent,"Badda, Dhaka",1,1,4000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/badda/94726/bachelor
Flat,Bachelor Flat Rent,"Badda, Dhaka",1,1,9500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/badda/94712/bachelor
Seat,Bachelor Seat Rent,"Badda, Dhaka",1,1,2750,September,Male,https://www.thetolet.com/bd/property-post/dhaka/badda/94677/bachelor
Seat,Bachelor Seat Rent,"Satarkul, Badda",1,1,3100,September,Male,https://www.thetolet.com/bd/property-post/dhaka/badda/94580/bachelor
Seat,Bachelor Seat Rent,"North Badda, Badda",1,1,5000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/badda/94552/bachelor
Room,Bachelor Room Rent,"Middle Badda, Badda",1,1,8600,September,Male,https://www.thetolet.com/bd/property-post/dhaka/badda/94406/bachelor
Room,Bachelor Room Rent,"Middle Badda, Badda",1,1,6000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/badda/94350/bachelor
Room,Bachelor Room Rent,"Badda, Dhaka",1,1,7250,October,Male,https://www.thetolet.com/bd/property-post/dhaka/badda/94320/bachelor
Seat,Bachelor Seat Rent,"Badda DIT Project, Badda",1,1,2500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/badda/94302/bachelor
Seat,Bachelor Seat Rent,"Aftab Nagar, Badda",1,1,3500,September,Female,https://www.thetolet.com/bd/property-post/dhaka/badda/94299/bachelor
Seat,Bachelor Seat Rent,"Badda DIT Project, Badda",1,1,3000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/badda/94298/bachelor
Seat,Bachelor Seat Rent,"Satarkul, Badda",1,1,3000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/badda/94295/bachelor
Flat,Bachelor Flat Rent,"Middle Badda, Badda",2,1,15000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/badda/94281/bachelor
Room,Bachelor Room Rent,"Badda DIT Project, Badda",1,1,8000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/badda/94280/bachelor
Seat,Bachelor Seat Rent,"Badda, Dhaka",1,1,5000,September,Female,https://www.thetolet.com/bd/property-post/dhaka/badda/94104/bachelor
Seat,Bachelor Seat Rent,"Middle Badda, Badda",1,1,4000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/badda/94103/bachelor
Room,Bachelor Room Rent,"North Badda, Badda",1,1,4500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/badda/94093/bachelor
Room,Bachelor Room Rent,"North Badda, Badda",1,1,6500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/badda/94087/bachelor
Room,Bachelor Room Rent,"North Badda, Badda",1,1,6500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/badda/94086/bachelor
Seat,Bachelor Seat Rent,"Badda, Dhaka",1,1,3200,September,Male,https://www.thetolet.com/bd/property-post/dhaka/badda/94076/bachelor
Room,Bachelor Room Rent,"Satarkul, Badda",1,1,3500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/badda/93875/bachelor
Room,Bachelor Room Rent,"Aftab Nagar, Badda",1,1,8500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/badda/93872/bachelor
Seat,Bachelor Seat Rent,"Middle Badda, Badda",1,1,4500,November,Female,https://www.thetolet.com/bd/property-post/dhaka/badda/93856/bachelor
Seat,Bachelor Seat Rent,"North Badda, Badda",1,1,3750,September,Male,https://www.thetolet.com/bd/property-post/dhaka/badda/93854/bachelor
Room,Bachelor Room Rent,"Aftab Nagar, Badda",1,1,3750,September,Male,https://www.thetolet.com/bd/property-post/dhaka/badda/93852/bachelor
Seat,Bachelor Seat Rent,"Merul Badda, Badda",1,1,2700,September,Male,https://www.thetolet.com/bd/property-post/dhaka/badda/93850/bachelor
Seat,Bachelor Seat Rent,"Badda, Dhaka",1,1,3600,September,Male,https://www.thetolet.com/bd/property-post/dhaka/badda/93849/bachelor
Seat,Bachelor Seat Rent,"Middle Badda, Badda",1,1,2900,September,Female,https://www.thetolet.com/bd/property-post/dhaka/badda/93847/bachelor
Room,Bachelor Room Rent,"Middle Badda, Badda",1,1,7000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/badda/93727/bachelor
Room,Bachelor Room Rent,"Badda, Dhaka",1,1,9000,September,Female,https://www.thetolet.com/bd/property-post/dhaka/badda/93706/bachelor
Room,Bachelor Room Rent,"Badda, Dhaka",1,1,7500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/badda/93704/bachelor
Seat,Bachelor Seat Rent,"Middle Badda, Badda",1,1,2500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/badda/93702/bachelor
Seat,Bachelor Seat Rent,"Satarkul, Badda",1,1,3000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/badda/93700/bachelor
