Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Seat,Bachelor Seat Rent,"Banani, Dhaka",1,1,2350,September,Anyone,https://www.thetolet.com/bd/property-post/dhaka/banani/94434/bachelor
Room,Bachelor Room Rent,"Banani, Dhaka",1,1,4500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/banani/93687/bachelor
Room,Bachelor Room Rent,"Banani, Dhaka",1,1,9000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/banani/93679/bachelor
Seat,Bachelor Seat Rent,"Banani, Dhaka",1,1,3500,August,Female,https://www.thetolet.com/bd/property-post/dhaka/banani/92721/bachelor
Seat,Bachelor Seat Rent,"Banani, Dhaka",1,1,4500,July,Male,https://www.thetolet.com/bd/property-post/dhaka/banani/92232/bachelor
Seat,Bachelor Seat Rent,"Banani, Dhaka",1,1,2360,August,Female,https://www.thetolet.com/bd/property-post/dhaka/banani/88233/bachelor
Seat,Bachelor Seat Rent,"Banani, Dhaka",1,1,4500,June,Female,https://www.thetolet.com/bd/property-post/dhaka/banani/85425/bachelor
Seat,Bachelor Seat Rent,"Banani, Dhaka",1,1,4500,June,Male,https://www.thetolet.com/bd/property-post/dhaka/banani/84454/bachelor
Seat,Bachelor Seat Rent,"Banani, Dhaka",1,1,14000,May,Female,https://www.thetolet.com/bd/property-post/dhaka/banani/83019/bachelor
Room,Bachelor Room Rent,"Banani, Dhaka",1,1,4500,April,Female,https://www.thetolet.com/bd/property-post/dhaka/banani/81537/bachelor
Seat,Bachelor Seat Rent,"Banani, Dhaka",1,1,4500,April,Male,https://www.thetolet.com/bd/property-post/dhaka/banani/80901/bachelor
Seat,Bachelor Seat Rent,"Banani, Dhaka",1,1,3500,March,Female,https://www.thetolet.com/bd/property-post/dhaka/banani/80397/bachelor
Room,Bachelor Room Rent,"Banani, Dhaka",1,1,4500,February,Male,https://www.thetolet.com/bd/property-post/dhaka/banani/78247/bachelor
Room,Bachelor Room Rent,"Banani, Dhaka",1,1,4000,March,Male,https://www.thetolet.com/bd/property-post/dhaka/banani/76955/bachelor
Seat,Bachelor Seat Rent,"Banani, Dhaka",1,1,2500,January,Female,https://www.thetolet.com/bd/property-post/dhaka/banani/76759/bachelor
Seat,Bachelor Seat Rent,"Banani, Dhaka",1,1,4500,February,Female,https://www.thetolet.com/bd/property-post/dhaka/banani/75825/bachelor
Seat,Bachelor Seat Rent,"Banani, Dhaka",1,1,4500,February,Male,https://www.thetolet.com/bd/property-post/dhaka/banani/75355/bachelor
Seat,Bachelor Seat Rent,"Banani, Dhaka",1,1,2800,January,Male,https://www.thetolet.com/bd/property-post/dhaka/banani/73952/bachelor
Seat,Bachelor Seat Rent,"Banani, Dhaka",1,1,4500,January,Male,https://www.thetolet.com/bd/property-post/dhaka/banani/72889/bachelor
Seat,Bachelor Seat Rent,"Banani, Dhaka",1,1,2360,January,Male,https://www.thetolet.com/bd/property-post/dhaka/banani/72217/bachelor
Room,Bachelor Room Rent,"Banani, Dhaka",1,1,12000,December,Male,https://www.thetolet.com/bd/property-post/dhaka/banani/71831/bachelor
Seat,Bachelor Seat Rent,"Banani, Dhaka",1,1,3500,December,Male,https://www.thetolet.com/bd/property-post/dhaka/banani/69756/bachelor
Room,Bachelor Room Rent,"Banani, Dhaka",1,1,25000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/banani/68372/bachelor
Seat,Bachelor Seat Rent,"Banani, Dhaka",1,1,3500,November,Female,https://www.thetolet.com/bd/property-post/dhaka/banani/68079/bachelor
Seat,Bachelor Seat Rent,"Banani, Dhaka",1,1,4500,October,Female,https://www.thetolet.com/bd/property-post/dhaka/banani/66796/bachelor
Room,Bachelor Room Rent,"Banani, Dhaka",1,1,11000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/banani/66793/bachelor
Seat,Bachelor Seat Rent,"Banani, Dhaka",1,1,3500,October,Female,https://www.thetolet.com/bd/property-post/dhaka/banani/66225/bachelor
Seat,Bachelor Seat Rent,"Banani, Dhaka",1,1,4500,September,Female,https://www.thetolet.com/bd/property-post/dhaka/banani/63204/bachelor
Seat,Bachelor Seat Rent,"Banani, Dhaka",1,1,4500,August,Female,https://www.thetolet.com/bd/property-post/dhaka/banani/62597/bachelor
Seat,Bachelor Seat Rent,"Banani, Dhaka",1,1,4500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/banani/60829/bachelor
Seat,Bachelor Seat Rent,"Banani, Dhaka",1,1,3400,July,Male,https://www.thetolet.com/bd/property-post/dhaka/banani/60819/bachelor
Seat,Bachelor Seat Rent,"Banani, Dhaka",1,1,2110,August,Female,https://www.thetolet.com/bd/property-post/dhaka/banani/60793/bachelor
Seat,Bachelor Seat Rent,"Banani, Dhaka",1,1,4500,July,Male,https://www.thetolet.com/bd/property-post/dhaka/banani/57612/bachelor
Seat,Bachelor Seat Rent,"Banani, Dhaka",1,1,2360,July,Female,https://www.thetolet.com/bd/property-post/dhaka/banani/57090/bachelor
Seat,Bachelor Seat Rent,"Banani, Dhaka",1,1,4000,May,Female,https://www.thetolet.com/bd/property-post/dhaka/banani/57076/bachelor
Room,Bachelor Room Rent,"Banani, Dhaka",1,1,16000,June,Male,https://www.thetolet.com/bd/property-post/dhaka/banani/53903/bachelor
Room,Bachelor Room Rent,"Banani, Dhaka",1,1,9000,April,Male,https://www.thetolet.com/bd/property-post/dhaka/banani/53398/bachelor
Room,Bachelor Room Rent,"Banani, Dhaka",1,1,9000,April,Female,https://www.thetolet.com/bd/property-post/dhaka/banani/52947/bachelor
Seat,Bachelor Seat Rent,"Banani, Dhaka",1,1,4500,March,Female,https://www.thetolet.com/bd/property-post/dhaka/banani/49882/bachelor
Seat,Bachelor Seat Rent,"Banani, Dhaka",1,1,4500,February,Male,https://www.thetolet.com/bd/property-post/dhaka/banani/49458/bachelor
Room,Bachelor Room Rent,"Banani, Dhaka",1,1,9000,March,Male,https://www.thetolet.com/bd/property-post/dhaka/banani/48828/bachelor
Seat,Bachelor Seat Rent,"Banani, Dhaka",1,1,3300,February,Male,https://www.thetolet.com/bd/property-post/dhaka/banani/48740/bachelor
Seat,Bachelor Seat Rent,"Banani, Dhaka",1,1,3200,February,Female,https://www.thetolet.com/bd/property-post/dhaka/banani/48209/bachelor
Room,Bachelor Room Rent,"Banani, Dhaka",1,1,15000,February,Female,https://www.thetolet.com/bd/property-post/dhaka/banani/47318/bachelor
Seat,Bachelor Seat Rent,"Banani, Dhaka",1,1,4500,February,Male,https://www.thetolet.com/bd/property-post/dhaka/banani/46193/bachelor
Room,Bachelor Room Rent,"Banani, Dhaka",1,1,9000,February,Male,https://www.thetolet.com/bd/property-post/dhaka/banani/43933/bachelor
Seat,Bachelor Seat Rent,"Banani, Dhaka",1,1,2500,December,Female,https://www.thetolet.com/bd/property-post/dhaka/banani/43369/bachelor
Seat,Bachelor Seat Rent,"Banani, Dhaka",1,1,4500,November,Male,https://www.thetolet.com/bd/property-post/dhaka/banani/42773/bachelor
Room,Bachelor Room Rent,"Banani, Dhaka",1,1,6500,December,Female,https://www.thetolet.com/bd/property-post/dhaka/banani/42099/bachelor
Room,Bachelor Room Rent,"Banani, Dhaka",1,1,4500,November,Female,https://www.thetolet.com/bd/property-post/dhaka/banani/42097/bachelor
Room,Bachelor Room Rent,"Banani, Dhaka",1,1,4500,November,Male,https://www.thetolet.com/bd/property-post/dhaka/banani/40159/bachelor
