Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Seat,Bachelor Seat Rent,"Chankharpul, Bangshal",1,1,3200,October,Male,https://www.thetolet.com/bd/property-post/dhaka/bangshal/100073/bachelor
Seat,Bachelor Seat Rent,"Chankharpul, Bangshal",1,1,3264,October,Male,https://www.thetolet.com/bd/property-post/dhaka/bangshal/99776/bachelor
Seat,Bachelor Seat Rent,"Chankharpul, Bangshal",1,1,3100,October,Male,https://www.thetolet.com/bd/property-post/dhaka/bangshal/98514/bachelor
Room,Bachelor Room Rent,"Bangshal, Dhaka",1,1,5500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/bangshal/97240/bachelor
Seat,Bachelor Seat Rent,"Bangshal, Dhaka",1,1,5500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/bangshal/96407/bachelor
Seat,Bachelor Seat Rent,"Chankharpul, Bangshal",1,1,4000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/bangshal/94393/bachelor
Room,Bachelor Room Rent,"Bangshal, Dhaka",1,1,6000,October,Female,https://www.thetolet.com/bd/property-post/dhaka/bangshal/93541/bachelor
Seat,Bachelor Seat Rent,"Chankharpul, Bangshal",1,1,3500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/bangshal/92141/bachelor
Seat,Bachelor Seat Rent,"Chankharpul, Bangshal",1,1,2700,September,Male,https://www.thetolet.com/bd/property-post/dhaka/bangshal/91899/bachelor
Seat,Bachelor Seat Rent,"Chankharpul, Bangshal",1,1,3100,July,Male,https://www.thetolet.com/bd/property-post/dhaka/bangshal/91167/bachelor
Seat,Bachelor Seat Rent,"Chankharpul, Bangshal",1,1,3100,July,Male,https://www.thetolet.com/bd/property-post/dhaka/bangshal/89722/bachelor
Room,Bachelor Room Rent,"Chankharpul, Bangshal",1,1,7500,July,Male,https://www.thetolet.com/bd/property-post/dhaka/bangshal/89721/bachelor
Seat,Bachelor Seat Rent,"Bangshal, Dhaka",1,1,2000,July,Male,https://www.thetolet.com/bd/property-post/dhaka/bangshal/88928/bachelor
Room,Bachelor Room Rent,"Chankharpul, Bangshal",1,1,7500,July,Male,https://www.thetolet.com/bd/property-post/dhaka/bangshal/88258/bachelor
Seat,Bachelor Seat Rent,"Chankharpul, Bangshal",1,1,3750,July,Male,https://www.thetolet.com/bd/property-post/dhaka/bangshal/86625/bachelor
Room,Bachelor Room Rent,"Chankharpul, Bangshal",1,1,7500,June,Male,https://www.thetolet.com/bd/property-post/dhaka/bangshal/86116/bachelor
Seat,Bachelor Seat Rent,"Chankharpul, Bangshal",1,1,2350,June,Male,https://www.thetolet.com/bd/property-post/dhaka/bangshal/84485/bachelor
Seat,Bachelor Seat Rent,"Chankharpul, Bangshal",1,1,2500,May,Male,https://www.thetolet.com/bd/property-post/dhaka/bangshal/84061/bachelor
Seat,Bachelor Seat Rent,"Chankharpul, Bangshal",1,1,2650,May,Male,https://www.thetolet.com/bd/property-post/dhaka/bangshal/81884/bachelor
Seat,Bachelor Seat Rent,"Bangshal, Dhaka",1,1,3500,March,Male,https://www.thetolet.com/bd/property-post/dhaka/bangshal/81670/bachelor
Seat,Bachelor Seat Rent,"Chankharpul, Bangshal",1,1,2400,April,Male,https://www.thetolet.com/bd/property-post/dhaka/bangshal/80930/bachelor
Room,Bachelor Room Rent,"Chankharpul, Bangshal",1,1,5000,March,Male,https://www.thetolet.com/bd/property-post/dhaka/bangshal/79352/bachelor
Seat,Bachelor Seat Rent,"Chankharpul, Bangshal",1,1,2500,March,Male,https://www.thetolet.com/bd/property-post/dhaka/bangshal/78309/bachelor
Room,Bachelor Room Rent,"Chankharpul, Bangshal",1,1,5000,February,Male,https://www.thetolet.com/bd/property-post/dhaka/bangshal/77762/bachelor
Seat,Bachelor Seat Rent,"Chankharpul, Bangshal",1,1,2600,February,Female,https://www.thetolet.com/bd/property-post/dhaka/bangshal/77342/bachelor
Seat,Bachelor Seat Rent,"Chankharpul, Bangshal",1,1,3400,February,Male,https://www.thetolet.com/bd/property-post/dhaka/bangshal/77243/bachelor
Seat,Bachelor Seat Rent,"Chankharpul, Bangshal",1,1,2750,February,Male,https://www.thetolet.com/bd/property-post/dhaka/bangshal/75723/bachelor
Seat,Bachelor Seat Rent,"Bangshal, Dhaka",1,1,2500,February,Male,https://www.thetolet.com/bd/property-post/dhaka/bangshal/75188/bachelor
Seat,Bachelor Seat Rent,"Chankharpul, Bangshal",1,1,3100,January,Male,https://www.thetolet.com/bd/property-post/dhaka/bangshal/75187/bachelor
Flat,Bachelor House Rent,"Chankharpul, Bangshal",2,1,10000,January,Male,https://www.thetolet.com/bd/property-post/dhaka/bangshal/74796/bachelor
Seat,Bachelor Seat Rent,"Chankharpul, Bangshal",1,1,3300,January,Female,https://www.thetolet.com/bd/property-post/dhaka/bangshal/74429/bachelor
Seat,Bachelor Seat Rent,"Chankharpul, Bangshal",1,1,2800,January,Male,https://www.thetolet.com/bd/property-post/dhaka/bangshal/73834/bachelor
Seat,Bachelor Seat Rent,"Chankharpul, Bangshal",1,1,2780,February,Male,https://www.thetolet.com/bd/property-post/dhaka/bangshal/72589/bachelor
Seat,Bachelor Seat Rent,"Chankharpul, Bangshal",1,1,2500,December,Male,https://www.thetolet.com/bd/property-post/dhaka/bangshal/72583/bachelor
Seat,Bachelor Seat Rent,"Chankharpul, Bangshal",1,1,1800,January,Male,https://www.thetolet.com/bd/property-post/dhaka/bangshal/72286/bachelor
Room,Bachelor Room Rent,"Chankharpul, Bangshal",1,1,7500,January,Male,https://www.thetolet.com/bd/property-post/dhaka/bangshal/72124/bachelor
Seat,Bachelor Seat Rent,"Chankharpul, Bangshal",1,1,2200,December,Male,https://www.thetolet.com/bd/property-post/dhaka/bangshal/71278/bachelor
Room,Bachelor Room Rent,"Chankharpul, Bangshal",1,1,7800,December,Male,https://www.thetolet.com/bd/property-post/dhaka/bangshal/69421/bachelor
Seat,Bachelor Seat Rent,"Chankharpul, Bangshal",1,1,2750,November,Male,https://www.thetolet.com/bd/property-post/dhaka/bangshal/69022/bachelor
Seat,Bachelor Seat Rent,"Chankharpul, Bangshal",1,1,2500,November,Male,https://www.thetolet.com/bd/property-post/dhaka/bangshal/68601/bachelor
Seat,Bachelor Seat Rent,"Chankharpul, Bangshal",1,1,3000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/bangshal/65056/bachelor
