Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Room,Bachelor Room Rent,"ECB Chattar, Cantonment",1,1,7500,September,Female,https://www.thetolet.com/bd/property-post/dhaka/cantonment/93762/bachelor
Seat,Bachelor Seat Rent,"ECB Chattar, Cantonment",1,1,2500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/cantonment/93761/bachelor
Seat,Bachelor Seat Rent,"Matikata, Cantonment",1,1,2260,September,Male,https://www.thetolet.com/bd/property-post/dhaka/cantonment/93755/bachelor
Room,Bachelor Room Rent,"ECB Chattar, Cantonment",1,1,8000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/cantonment/93263/bachelor
Seat,Bachelor Seat Rent,"Matikata, Cantonment",1,1,3000,August,Female,https://www.thetolet.com/bd/property-post/dhaka/cantonment/92960/bachelor
Room,Bachelor Room Rent,"Cantonment, Dhaka",1,1,6000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/cantonment/92235/bachelor
Room,Bachelor Room Rent,"ECB Chattar, Cantonment",1,1,7500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/cantonment/91663/bachelor
Seat,Bachelor Seat Rent,"Cantonment, Dhaka",1,1,3500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/cantonment/91217/bachelor
Seat,Bachelor Seat Rent,"Manikdi, Cantonment",1,1,3000,July,Male,https://www.thetolet.com/bd/property-post/dhaka/cantonment/90425/bachelor
Seat,Bachelor Seat Rent,"ECB Chattar, Cantonment",1,1,2800,July,Female,https://www.thetolet.com/bd/property-post/dhaka/cantonment/90211/bachelor
Room,Bachelor Room Rent,"ECB Chattar, Cantonment",1,1,5000,August,Female,https://www.thetolet.com/bd/property-post/dhaka/cantonment/89877/bachelor
Room,Bachelor Room Rent,"Manikdi, Cantonment",1,1,5500,August,Female,https://www.thetolet.com/bd/property-post/dhaka/cantonment/89875/bachelor
Seat,Bachelor Seat Rent,"Matikata, Cantonment",1,1,2500,July,Male,https://www.thetolet.com/bd/property-post/dhaka/cantonment/89872/bachelor
Seat,Bachelor Seat Rent,"Manikdi, Cantonment",1,1,2750,July,Female,https://www.thetolet.com/bd/property-post/dhaka/cantonment/87814/bachelor
Flat,Bachelor House Rent,"Matikata, Cantonment",3,3,5000,July,Male,https://www.thetolet.com/bd/property-post/dhaka/cantonment/87801/bachelor
Flat,Bachelor House Rent,"Cantonment, Dhaka",2,2,15000,July,Male,https://www.thetolet.com/bd/property-post/dhaka/cantonment/87532/bachelor
Seat,Bachelor Seat Rent,"Matikata, Cantonment",1,1,3500,July,Female,https://www.thetolet.com/bd/property-post/dhaka/cantonment/87242/bachelor
Seat,Bachelor Seat Rent,"ECB Chattar, Cantonment",1,1,2500,June,Male,https://www.thetolet.com/bd/property-post/dhaka/cantonment/86446/bachelor
Room,Bachelor Room Rent,"Matikata, Cantonment",1,1,7500,July,Male,https://www.thetolet.com/bd/property-post/dhaka/cantonment/85567/bachelor
Seat,Bachelor Seat Rent,"Cantonment, Dhaka",1,1,4100,June,Male,https://www.thetolet.com/bd/property-post/dhaka/cantonment/85563/bachelor
Seat,Bachelor Seat Rent,"Matikata, Cantonment",1,1,4000,June,Male,https://www.thetolet.com/bd/property-post/dhaka/cantonment/82123/bachelor
