Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Room,Bachelor Room Rent,"Darussalam, Dhaka",1,1,2150,June,Male,https://www.thetolet.com/bd/property-post/dhaka/darussalam/81601/bachelor
Seat,Bachelor Seat Rent,"Darussalam, Dhaka",1,1,1650,April,Female,https://www.thetolet.com/bd/property-post/dhaka/darussalam/77817/bachelor
Room,Bachelor Room Rent,"Darussalam, Dhaka",1,1,5000,March,Male,https://www.thetolet.com/bd/property-post/dhaka/darussalam/76974/bachelor
Seat,Bachelor Seat Rent,"Darussalam, Dhaka",1,1,2300,February,Male,https://www.thetolet.com/bd/property-post/dhaka/darussalam/68076/bachelor
Seat,Bachelor Seat Rent,"Darussalam, Dhaka",1,1,4500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/darussalam/63334/bachelor
Seat,Bachelor Seat Rent,"Darussalam, Dhaka",1,1,1750,September,Male,https://www.thetolet.com/bd/property-post/dhaka/darussalam/62253/bachelor
Seat,Bachelor Seat Rent,"Darussalam, Dhaka",1,1,2300,September,Male,https://www.thetolet.com/bd/property-post/dhaka/darussalam/61884/bachelor
Seat,Bachelor Seat Rent,"Darussalam, Dhaka",1,1,1750,July,Male,https://www.thetolet.com/bd/property-post/dhaka/darussalam/59068/bachelor
Seat,Bachelor Seat Rent,"Darussalam, Dhaka",1,1,1600,June,Male,https://www.thetolet.com/bd/property-post/dhaka/darussalam/57884/bachelor
Seat,Bachelor Seat Rent,"Darussalam, Dhaka",1,1,1650,June,Male,https://www.thetolet.com/bd/property-post/dhaka/darussalam/57236/bachelor
Flat,Bachelor Flat Rent,"Darussalam, Dhaka",2,2,13000,June,Male,https://www.thetolet.com/bd/property-post/dhaka/darussalam/55109/bachelor
Room,Bachelor Room Rent,"Darussalam, Dhaka",1,1,7500,May,Male,https://www.thetolet.com/bd/property-post/dhaka/darussalam/54833/bachelor
Room,Bachelor Room Rent,"Darussalam, Dhaka",1,1,6500,May,Male,https://www.thetolet.com/bd/property-post/dhaka/darussalam/54593/bachelor
Room,Bachelor Room Rent,"Darussalam, Dhaka",1,1,6500,May,Male,https://www.thetolet.com/bd/property-post/dhaka/darussalam/54180/bachelor
Seat,Bachelor Seat Rent,"Darussalam, Dhaka",1,1,1750,April,Male,https://www.thetolet.com/bd/property-post/dhaka/darussalam/51182/bachelor
Room,Bachelor Room Rent,"Darussalam, Dhaka",1,1,3700,March,Male,https://www.thetolet.com/bd/property-post/dhaka/darussalam/43510/bachelor
Seat,Bachelor Seat Rent,"Darussalam, Dhaka",1,1,3200,December,Male,https://www.thetolet.com/bd/property-post/dhaka/darussalam/42963/bachelor
Seat,Bachelor Seat Rent,"Darussalam, Dhaka",1,1,3000,December,Male,https://www.thetolet.com/bd/property-post/dhaka/darussalam/36354/bachelor
Seat,Bachelor Seat Rent,"Darussalam, Dhaka",1,1,2900,September,Male,https://www.thetolet.com/bd/property-post/dhaka/darussalam/35194/bachelor
Seat,Bachelor Seat Rent,"Darussalam, Dhaka",1,1,2000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/darussalam/32640/bachelor
