Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Seat,Bachelor Seat Rent,"Daskhinkhan, Dhaka",1,1,1890,September,Male,https://www.thetolet.com/bd/property-post/dhaka/daskhinkhan/94479/bachelor
Seat,Bachelor Seat Rent,"Kawlar, Daskhinkhan",1,1,2500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/daskhinkhan/94477/bachelor
Room,Bachelor Room Rent,"Kawlar, Daskhinkhan",1,1,5000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/daskhinkhan/94080/bachelor
Seat,Bachelor Seat Rent,"Daskhinkhan, Dhaka",1,1,2700,September,Male,https://www.thetolet.com/bd/property-post/dhaka/daskhinkhan/94058/bachelor
Seat,Bachelor Seat Rent,"Kawlar, Daskhinkhan",1,1,2500,October,Female,https://www.thetolet.com/bd/property-post/dhaka/daskhinkhan/94054/bachelor
Room,Bachelor Room Rent,"Kawlar, Daskhinkhan",1,1,6000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/daskhinkhan/93661/bachelor
Seat,Bachelor Seat Rent,"Naddapara, Daskhinkhan",1,1,2800,August,Female,https://www.thetolet.com/bd/property-post/dhaka/daskhinkhan/92947/bachelor
Seat,Bachelor Seat Rent,"Faydabad, Daskhinkhan",1,1,4000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/daskhinkhan/92875/bachelor
Room,Bachelor Room Rent,"Daskhinkhan, Dhaka",1,1,8000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/daskhinkhan/92874/bachelor
Seat,Bachelor Seat Rent,"Daskhinkhan, Dhaka",1,1,4000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/daskhinkhan/92873/bachelor
Seat,Bachelor Seat Rent,"Daskhinkhan, Dhaka",1,1,2300,August,Male,https://www.thetolet.com/bd/property-post/dhaka/daskhinkhan/92667/bachelor
Seat,Bachelor Seat Rent,"Daskhinkhan, Dhaka",1,1,3200,August,Male,https://www.thetolet.com/bd/property-post/dhaka/daskhinkhan/92640/bachelor
Room,Bachelor Room Rent,"Daskhinkhan, Dhaka",1,1,3500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/daskhinkhan/92117/bachelor
Room,Bachelor Room Rent,"Faydabad, Daskhinkhan",1,1,5000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/daskhinkhan/91061/bachelor
Room,Bachelor Room Rent,"Daskhinkhan, Dhaka",1,1,5500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/daskhinkhan/90572/bachelor
Seat,Bachelor Seat Rent,"Kawlar, Daskhinkhan",1,1,2000,July,Male,https://www.thetolet.com/bd/property-post/dhaka/daskhinkhan/90571/bachelor
Seat,Bachelor Seat Rent,"Kawlar, Daskhinkhan",1,1,2700,July,Male,https://www.thetolet.com/bd/property-post/dhaka/daskhinkhan/90520/bachelor
Seat,Bachelor Seat Rent,"Kawlar, Daskhinkhan",1,1,2000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/daskhinkhan/90278/bachelor
Seat,Bachelor Seat Rent,"Daskhinkhan, Dhaka",1,1,3000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/daskhinkhan/90193/bachelor
Room,Bachelor Room Rent,"Aainusbag, Daskhinkhan",1,1,4700,July,Male,https://www.thetolet.com/bd/property-post/dhaka/daskhinkhan/90070/bachelor
Flat,Bachelor House Rent,"Kawlar, Daskhinkhan",1,1,6500,July,Male,https://www.thetolet.com/bd/property-post/dhaka/daskhinkhan/89375/bachelor
Seat,Bachelor Seat Rent,"Daskhinkhan, Dhaka",1,1,1800,July,Male,https://www.thetolet.com/bd/property-post/dhaka/daskhinkhan/88988/bachelor
Seat,Bachelor Seat Rent,"Kawlar, Daskhinkhan",1,1,2500,June,Male,https://www.thetolet.com/bd/property-post/dhaka/daskhinkhan/88578/bachelor
Seat,Bachelor Seat Rent,"Daskhinkhan, Dhaka",1,1,2500,July,Male,https://www.thetolet.com/bd/property-post/dhaka/daskhinkhan/88272/bachelor
Room,Bachelor Room Rent,"Naddapara, Daskhinkhan",1,1,4000,June,Male,https://www.thetolet.com/bd/property-post/dhaka/daskhinkhan/86014/bachelor
Seat,Bachelor Seat Rent,"Kawlar, Daskhinkhan",1,1,1700,June,Male,https://www.thetolet.com/bd/property-post/dhaka/daskhinkhan/85848/bachelor
Seat,Bachelor Seat Rent,"Kawlar, Daskhinkhan",1,1,1700,June,Male,https://www.thetolet.com/bd/property-post/dhaka/daskhinkhan/85720/bachelor
Room,Bachelor Room Rent,"Daskhinkhan, Dhaka",1,1,4700,June,Female,https://www.thetolet.com/bd/property-post/dhaka/daskhinkhan/85711/bachelor
Room,Bachelor Room Rent,"Faydabad, Daskhinkhan",1,1,3600,June,Male,https://www.thetolet.com/bd/property-post/dhaka/daskhinkhan/85102/bachelor
Seat,Bachelor Seat Rent,"Naddapara, Daskhinkhan",1,1,3200,June,Male,https://www.thetolet.com/bd/property-post/dhaka/daskhinkhan/84311/bachelor
Seat,Bachelor Seat Rent,"Faydabad, Daskhinkhan",1,1,2000,May,Male,https://www.thetolet.com/bd/property-post/dhaka/daskhinkhan/84297/bachelor
Seat,Bachelor Seat Rent,"Faydabad, Daskhinkhan",1,1,3000,May,Male,https://www.thetolet.com/bd/property-post/dhaka/daskhinkhan/83885/bachelor
Room,Bachelor Room Rent,"Daskhinkhan, Dhaka",1,1,5000,May,Male,https://www.thetolet.com/bd/property-post/dhaka/daskhinkhan/83444/bachelor
Seat,Bachelor Seat Rent,"Daskhinkhan, Dhaka",1,1,2850,May,Male,https://www.thetolet.com/bd/property-post/dhaka/daskhinkhan/82665/bachelor
Room,Bachelor Room Rent,"Daskhinkhan, Dhaka",1,1,4700,May,Male,https://www.thetolet.com/bd/property-post/dhaka/daskhinkhan/82217/bachelor
Flat,Bachelor House Rent,"Kawlar, Daskhinkhan",1,1,3500,March,Female,https://www.thetolet.com/bd/property-post/dhaka/daskhinkhan/81958/bachelor
Room,Bachelor Room Rent,"Naddapara, Daskhinkhan",1,1,3000,April,Male,https://www.thetolet.com/bd/property-post/dhaka/daskhinkhan/81957/bachelor
Room,Bachelor Room Rent,"Daskhinkhan, Dhaka",1,1,5000,March,Male,https://www.thetolet.com/bd/property-post/dhaka/daskhinkhan/81746/bachelor
