Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Seat,Bachelor Seat Rent,"Demra, Dhaka",1,1,1000,July,Male,https://www.thetolet.com/bd/property-post/dhaka/demra/88108/bachelor
Room,Bachelor Room Rent,"Sarulia, Demra",1,1,2500,July,Male,https://www.thetolet.com/bd/property-post/dhaka/demra/88107/bachelor
Flat,Bachelor House Rent,"Sanarpar, Demra",1,1,3500,June,Male,https://www.thetolet.com/bd/property-post/dhaka/demra/86841/bachelor
Room,Bachelor Room Rent,"Demra, Dhaka",1,1,3000,June,Male,https://www.thetolet.com/bd/property-post/dhaka/demra/86498/bachelor
Room,Bachelor Room Rent,"Demra, Dhaka",1,1,3500,June,Male,https://www.thetolet.com/bd/property-post/dhaka/demra/84444/bachelor
Seat,Bachelor Seat Rent,"Demra, Dhaka",1,1,2500,May,Male,https://www.thetolet.com/bd/property-post/dhaka/demra/79764/bachelor
Flat,Bachelor House Rent,"Sanarpar, Demra",2,2,5000,March,Male,https://www.thetolet.com/bd/property-post/dhaka/demra/78712/bachelor
Room,Bachelor Room Rent,"Sarulia, Demra",1,1,3000,February,Male,https://www.thetolet.com/bd/property-post/dhaka/demra/75260/bachelor
Room,Bachelor Room Rent,"Sarulia, Demra",1,1,3500,February,Male,https://www.thetolet.com/bd/property-post/dhaka/demra/72871/bachelor
Seat,Bachelor Seat Rent,"Demra, Dhaka",1,1,2500,January,Male,https://www.thetolet.com/bd/property-post/dhaka/demra/70022/bachelor
Room,Bachelor Room Rent,"Demra, Dhaka",1,1,3000,December,Male,https://www.thetolet.com/bd/property-post/dhaka/demra/65687/bachelor
Seat,Bachelor Seat Rent,"Demra, Dhaka",1,1,1675,September,Male,https://www.thetolet.com/bd/property-post/dhaka/demra/63201/bachelor
Room,Bachelor Room Rent,"Sanarpar, Demra",1,1,2800,September,Male,https://www.thetolet.com/bd/property-post/dhaka/demra/60448/bachelor
Room,Bachelor Room Rent,"Sanarpar, Demra",1,1,2500,July,Male,https://www.thetolet.com/bd/property-post/dhaka/demra/57920/bachelor
Seat,Bachelor Seat Rent,"Demra, Dhaka",1,1,2000,June,Male,https://www.thetolet.com/bd/property-post/dhaka/demra/54634/bachelor
Seat,Bachelor Seat Rent,"Demra, Dhaka",1,1,1800,May,Male,https://www.thetolet.com/bd/property-post/dhaka/demra/49009/bachelor
Room,Bachelor Room Rent,"Sarulia, Demra",1,1,3600,February,Male,https://www.thetolet.com/bd/property-post/dhaka/demra/48618/bachelor
Seat,Bachelor Seat Rent,"Demra, Dhaka",1,1,1500,February,Male,https://www.thetolet.com/bd/property-post/dhaka/demra/45602/bachelor
Seat,Bachelor Seat Rent,"Demra, Dhaka",1,1,1900,January,Male,https://www.thetolet.com/bd/property-post/dhaka/demra/45427/bachelor
Room,Bachelor Room Rent,"Demra, Dhaka",1,1,4200,January,Male,https://www.thetolet.com/bd/property-post/dhaka/demra/44301/bachelor
Room,Bachelor Room Rent,"Demra, Dhaka",1,1,2900,December,Male,https://www.thetolet.com/bd/property-post/dhaka/demra/43918/bachelor
Seat,Bachelor Seat Rent,"Demra, Dhaka",1,1,1900,December,Male,https://www.thetolet.com/bd/property-post/dhaka/demra/42550/bachelor
Room,Bachelor Room Rent,"Demra, Dhaka",1,1,2500,November,Male,https://www.thetolet.com/bd/property-post/dhaka/demra/38333/bachelor
Seat,Bachelor Seat Rent,"Matuail, Demra",1,1,1800,October,Male,https://www.thetolet.com/bd/property-post/dhaka/demra/35948/bachelor
Seat,Bachelor Seat Rent,"Demra, Dhaka",1,1,1820,September,Male,https://www.thetolet.com/bd/property-post/dhaka/demra/34339/bachelor
