Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Room,Bachelor Room Rent,"Dhamrai, Dhaka",1,1,3000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/dhamrai/85436/bachelor
Room,Bachelor Room Rent,"Dhamrai, Dhaka",1,1,3000,June,Male,https://www.thetolet.com/bd/property-post/dhaka/dhamrai/85375/bachelor
Seat,Bachelor Seat Rent,"Dhamrai, Dhaka",1,1,1825,May,Male,https://www.thetolet.com/bd/property-post/dhaka/dhamrai/71616/bachelor
Room,Bachelor Room Rent,"Dhamrai, Dhaka",1,1,2000,December,Male,https://www.thetolet.com/bd/property-post/dhaka/dhamrai/62001/bachelor
Room,Bachelor Room Rent,"Dhamrai, Dhaka",1,1,4000,July,Male,https://www.thetolet.com/bd/property-post/dhaka/dhamrai/58849/bachelor
Room,Bachelor Room Rent,"Dhamrai, Dhaka",1,1,2400,July,Male,https://www.thetolet.com/bd/property-post/dhaka/dhamrai/53101/bachelor
Flat,Bachelor Flat Rent,"Dhamrai, Dhaka",1,1,2500,April,Male,https://www.thetolet.com/bd/property-post/dhaka/dhamrai/36869/bachelor
Flat,Bachelor Flat Rent,"Dhamrai, Dhaka",2,1,6000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/dhamrai/36485/bachelor
Room,Bachelor Room Rent,"Dhamrai, Dhaka",1,1,3000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/dhamrai/35679/bachelor
Room,Bachelor Room Rent,"Dhamrai, Dhaka",1,1,3150,August,Male,https://www.thetolet.com/bd/property-post/dhaka/dhamrai/33757/bachelor
Seat,Bachelor Seat Rent,"Dhamrai, Dhaka",1,1,2500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/dhamrai/33207/bachelor
