Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Room,Bachelor Room Rent,"West Dhanmondi, Dhanmondi",1.0,1,5500,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/95288/family
Room,Family Room Rent,"West Dhanmondi, Dhanmondi",1.0,1,4500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/95278/bachelor
Flat,Bachelor Flat Rent,"Zigatola, Dhanmondi",1.0,1,5000,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/95259/family
Flat,Family House Rent,"Zigatola, Dhanmondi",2.0,2,18000,October,Not specified,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/95249/family
Flat,Family House Rent,"Dhanmondi, Dhaka",2.0,1,15500,September,Female,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/95240/bachelor
Room,Bachelor Room Rent,"Dhanmondi, Dhaka",1.0,1,12000,September,Female,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/95212/sublet
Room,Sublet Room Rent,"West Dhanmondi, Dhanmondi",,1,6600,September,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/95181/bachelor
Room,Bachelor Room Rent,"West Dhanmondi, Dhanmondi",1.0,1,4500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/95178/bachelor
Seat,Bachelor Seat Rent,"Zigatola, Dhanmondi",1.0,1,3100,September,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/95153/bachelor
Room,Bachelor Room Rent,"Dhanmondi, Dhaka",1.0,1,8500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/95071/bachelor
Seat,Bachelor Seat Rent,"Dhanmondi, Dhaka",1.0,1,3300,September,Female,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/95046/bachelor
Seat,Bachelor Seat Rent,"Dhanmondi 32, Dhanmondi",1.0,1,4200,September,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/94973/bachelor
Seat,Bachelor Seat Rent,"Shangkar, Dhanmondi",1.0,1,3000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/94954/bachelor
Seat,Bachelor Seat Rent,"Zigatola, Dhanmondi",1.0,1,2100,September,Female,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/94884/bachelor
Seat,Bachelor Seat Rent,"Sobhanbagh, Dhanmondi",1.0,1,4200,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/94857/office
Room,Office Apartment Rent,"Dhanmondi, Dhaka",,4,78000,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/94848/family
Flat,Family Flat Rent,"Dhanmondi 15, Dhanmondi",2.0,1,15500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/94767/bachelor
Seat,Bachelor Seat Rent,"Dhanmondi 32, Dhanmondi",1.0,1,3300,September,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/94700/bachelor
Seat,Bachelor Seat Rent,"Dhanmondi, Dhaka",1.0,1,7000,September,Female,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/94681/bachelor
Seat,Bachelor Seat Rent,"Dhanmondi 32, Dhanmondi",1.0,1,4800,September,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/94643/bachelor
Room,Bachelor Room Rent,"Shangkar, Dhanmondi",1.0,1,7500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/94629/bachelor
Seat,Bachelor Seat Rent,"West Dhanmondi, Dhanmondi",1.0,1,3100,September,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/94627/bachelor
Room,Bachelor Room Rent,"Shangkar, Dhanmondi",1.0,1,7500,September,Female,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/94619/bachelor
Seat,Bachelor Seat Rent,"Zigatola, Dhanmondi",1.0,1,3500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/94615/bachelor
Room,Bachelor Room Rent,"West Dhanmondi, Dhanmondi",1.0,1,10000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/94604/bachelor
Room,Bachelor Room Rent,"Dhanmondi, Dhaka",2.0,1,7000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/94570/bachelor
Seat,Bachelor Seat Rent,"Shangkar, Dhanmondi",1.0,1,2800,September,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/94569/bachelor
Seat,Bachelor Seat Rent,"Sobhanbagh, Dhanmondi",1.0,1,4000,August,Anyone,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/94568/sublet
Room,Sublet Room Rent,"Zigatola, Dhanmondi",,1,8500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/94562/bachelor
Room,Bachelor Room Rent,"Dhanmondi, Dhaka",1.0,1,9000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/94560/bachelor
Seat,Bachelor Seat Rent,"Zigatola, Dhanmondi",1.0,1,5200,October,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/94558/bachelor
Room,Bachelor Room Rent,"Zigatola, Dhanmondi",1.0,1,7000,August,Female,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/94557/bachelor
