Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Room,Bachelor Room Rent,"Kalachandpur, Gulshan",1,1,8000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/100853/bachelor
Room,Bachelor Room Rent,"Mohakhali, Gulshan",1,1,7000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/100680/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,3000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/100662/bachelor
Seat,Bachelor Seat Rent,"Gulshan 2, Gulshan",1,1,2750,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/100660/bachelor
Room,Bachelor Room Rent,"Kalachandpur, Gulshan",1,1,8500,November,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/100659/bachelor
Seat,Bachelor Seat Rent,"Niketon, Gulshan",1,1,3170,November,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/100615/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,3200,November,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/100582/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,5500,November,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/100490/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,3500,November,Female,https://www.thetolet.com/bd/property-post/dhaka/gulshan/100489/bachelor
Room,Bachelor Room Rent,"Mohakhali, Gulshan",1,1,5600,November,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/100488/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,5000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/100486/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,3200,November,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/100450/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,2700,November,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/100374/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,2350,November,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/100351/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,2800,November,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/100346/bachelor
Seat,Bachelor Seat Rent,"Niketon, Gulshan",1,1,3170,November,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/100175/bachelor
Seat,Bachelor Seat Rent,"Gulshan, Dhaka",1,1,3500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/100140/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,6300,November,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/100020/bachelor
Seat,Bachelor Seat Rent,"Gulshan, Dhaka",1,1,3020,November,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/99988/bachelor
Room,Bachelor Room Rent,"Mohakhali, Gulshan",1,1,8100,November,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/99964/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,2100,November,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/99554/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,2800,November,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/99553/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,3000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/99435/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,3200,November,Female,https://www.thetolet.com/bd/property-post/dhaka/gulshan/99158/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,2900,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/99156/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,2145,November,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/99146/bachelor
Flat,Bachelor Flat Rent,"Mohakhali, Gulshan",1,1,3000,November,Female,https://www.thetolet.com/bd/property-post/dhaka/gulshan/99023/bachelor
Room,Bachelor Room Rent,"Niketon, Gulshan",1,1,6500,November,Female,https://www.thetolet.com/bd/property-post/dhaka/gulshan/99022/bachelor
Room,Bachelor Room Rent,"Niketon, Gulshan",1,1,6500,November,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/99021/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,2667,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/99020/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,2667,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/98790/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,2600,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/98788/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,2600,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/98749/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,2800,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/98748/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,2800,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/98696/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,4000,October,Female,https://www.thetolet.com/bd/property-post/dhaka/gulshan/98688/bachelor
Room,Bachelor Room Rent,"Gulshan 2, Gulshan",1,1,4100,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/98685/bachelor
Room,Bachelor Room Rent,"Mohakhali, Gulshan",1,1,6100,November,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/98684/bachelor
Room,Bachelor Room Rent,"Mohakhali, Gulshan",1,1,5000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/98683/bachelor
Room,Bachelor Room Rent,"Mohakhali, Gulshan",1,1,5000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/98480/bachelor
Seat,Bachelor Seat Rent,"Nadda, Gulshan",1,1,3000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/98386/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,3500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/98359/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,1700,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/98282/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,2600,October,Female,https://www.thetolet.com/bd/property-post/dhaka/gulshan/98281/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,3500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/98240/bachelor
Room,Bachelor Room Rent,"Mohakhali, Gulshan",1,1,10000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/98239/bachelor
Room,Bachelor Room Rent,"Mohakhali, Gulshan",1,1,10000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/98192/bachelor
Seat,Bachelor Seat Rent,"Shahjadpur, Gulshan",1,1,2500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/98124/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",3,1,2375,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/98123/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",3,1,2375,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/98034/bachelor
Room,Bachelor Room Rent,"Shahjadpur, Gulshan",1,1,12000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/98007/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,4000,November,Female,https://www.thetolet.com/bd/property-post/dhaka/gulshan/97975/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,4000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/97949/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,2850,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/97800/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,5500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/97774/bachelor
Seat,Bachelor Seat Rent,"Baridhara, Gulshan",1,1,3700,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/97469/bachelor
Room,Bachelor Room Rent,"Mohakhali, Gulshan",1,1,9000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/97428/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,3500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/97342/bachelor
Room,Bachelor Room Rent,"Mohakhali, Gulshan",1,1,4500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/97201/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,4020,October,Female,https://www.thetolet.com/bd/property-post/dhaka/gulshan/97127/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,3700,October,Female,https://www.thetolet.com/bd/property-post/dhaka/gulshan/97012/bachelor
Seat,Bachelor Seat Rent,"Shahjadpur, Gulshan",1,1,4000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/96948/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,2500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/96771/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,2600,September,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/96761/bachelor
Room,Bachelor Room Rent,"Mohakhali, Gulshan",1,1,10000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/96526/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,3200,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/96377/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,3000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/96344/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,2500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/96199/bachelor
Room,Bachelor Room Rent,"Mohakhali, Gulshan",1,1,9000,October,Female,https://www.thetolet.com/bd/property-post/dhaka/gulshan/96197/bachelor
Room,Bachelor Room Rent,"Mohakhali, Gulshan",1,1,8000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/96195/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,3350,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/96113/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,6300,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/95873/bachelor
Seat,Bachelor Seat Rent,"Shahjadpur, Gulshan",1,1,1500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/95861/bachelor
Room,Bachelor Room Rent,"Mohakhali, Gulshan",1,1,6500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/95855/bachelor
Seat,Bachelor Seat Rent,"Shahjadpur, Gulshan",1,1,2250,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/95849/bachelor
Room,Bachelor Room Rent,"Shahjadpur, Gulshan",1,1,7800,September,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/95752/bachelor
Room,Bachelor Room Rent,"Mohakhali, Gulshan",1,1,9000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/95730/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,2830,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/95719/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,2500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/95698/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,2500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/95643/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,4300,September,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/95631/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,2300,September,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/95496/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,2207,September,Anyone,https://www.thetolet.com/bd/property-post/dhaka/gulshan/95385/bachelor
Room,Bachelor Room Rent,"Mohakhali, Gulshan",1,1,7400,September,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/95277/bachelor
Room,Bachelor Room Rent,"Gulshan, Dhaka",1,1,4000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/95271/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,4000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/95268/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,3220,September,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/94961/bachelor
Room,Bachelor Room Rent,"Mohakhali, Gulshan",1,1,11000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/94946/bachelor
Room,Bachelor Room Rent,"Mohakhali, Gulshan",1,1,5500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/94907/bachelor
Seat,Bachelor Seat Rent,"Shahjadpur, Gulshan",1,1,2800,September,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/94893/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,3500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/94892/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,2500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/94890/bachelor
Room,Bachelor Room Rent,"Mohakhali, Gulshan",1,1,2600,September,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/94843/bachelor
Room,Bachelor Room Rent,"Nadda, Gulshan",1,1,6000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/94806/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,3000,September,Female,https://www.thetolet.com/bd/property-post/dhaka/gulshan/94649/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,3500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/94648/bachelor
Seat,Bachelor Seat Rent,"Mohakhali, Gulshan",1,1,2400,September,Male,https://www.thetolet.com/bd/property-post/dhaka/gulshan/94647/bachelor
