Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Room,Bachelor Room Rent,"Hazaribag, Dhaka",1,1,7000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/hazaribag/98349/bachelor
Room,Bachelor Room Rent,"Hazaribag, Dhaka",1,1,4500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/hazaribag/95301/bachelor
Seat,Bachelor Seat Rent,"Hazaribag, Dhaka",1,1,2200,September,Male,https://www.thetolet.com/bd/property-post/dhaka/hazaribag/95267/bachelor
Seat,Bachelor Seat Rent,"Hazaribag, Dhaka",1,1,2200,September,Male,https://www.thetolet.com/bd/property-post/dhaka/hazaribag/92993/bachelor
Seat,Bachelor Seat Rent,"Hazaribag, Dhaka",1,1,2200,August,Male,https://www.thetolet.com/bd/property-post/dhaka/hazaribag/84557/bachelor
Seat,Bachelor Seat Rent,"Hazaribag, Dhaka",1,1,2100,May,Male,https://www.thetolet.com/bd/property-post/dhaka/hazaribag/80784/bachelor
Room,Bachelor Room Rent,"Hazaribag, Dhaka",1,1,7000,March,Male,https://www.thetolet.com/bd/property-post/dhaka/hazaribag/78975/bachelor
Room,Bachelor Room Rent,"Hazaribag, Dhaka",1,1,11000,March,Male,https://www.thetolet.com/bd/property-post/dhaka/hazaribag/73800/bachelor
Seat,Bachelor Seat Rent,"Hazaribag, Dhaka",1,1,1930,January,Male,https://www.thetolet.com/bd/property-post/dhaka/hazaribag/72732/bachelor
Room,Bachelor Room Rent,"Hazaribag, Dhaka",1,1,3000,December,Male,https://www.thetolet.com/bd/property-post/dhaka/hazaribag/69423/bachelor
Room,Bachelor Room Rent,"Hazaribag, Dhaka",1,1,3000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/hazaribag/67974/bachelor
Seat,Bachelor Seat Rent,"Hazaribag, Dhaka",1,1,1440,November,Male,https://www.thetolet.com/bd/property-post/dhaka/hazaribag/49921/bachelor
Seat,Bachelor Seat Rent,"Hazaribag, Dhaka",1,1,2500,March,Male,https://www.thetolet.com/bd/property-post/dhaka/hazaribag/45266/bachelor
Room,Bachelor Room Rent,"Hazaribag, Dhaka",1,1,6500,January,Male,https://www.thetolet.com/bd/property-post/dhaka/hazaribag/44864/bachelor
Room,Bachelor Room Rent,"Hazaribag, Dhaka",1,1,4500,December,Male,https://www.thetolet.com/bd/property-post/dhaka/hazaribag/38110/bachelor
Seat,Bachelor Seat Rent,"Hazaribag, Dhaka",1,1,2300,October,Anyone,https://www.thetolet.com/bd/property-post/dhaka/hazaribag/7055/bachelor
