Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Seat,Bachelor Seat Rent,"Kajla, Jatrabari",1,1,2000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/100702/bachelor
Room,Bachelor Room Rent,"Jatrabari, Dhaka",1,1,600,November,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/100701/bachelor
Room,Bachelor Room Rent,"Rayerbag, Jatrabari",1,1,7600,November,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/100188/bachelor
Room,Bachelor Room Rent,"Matuail, Jatrabari",1,1,3500,November,Female,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/100007/bachelor
Room,Bachelor Room Rent,"Shonir Akhra, Jatrabari",1,1,3500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/99774/bachelor
Seat,Bachelor Seat Rent,"Mir-Hazirbag, Jatrabari",1,1,1500,November,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/99771/bachelor
Seat,Bachelor Seat Rent,"Jatrabari, Dhaka",1,1,1700,November,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/99769/bachelor
Seat,Bachelor Seat Rent,"Jatrabari, Dhaka",1,1,1970,November,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/99767/bachelor
Seat,Bachelor Seat Rent,"Jatrabari, Dhaka",1,1,1970,November,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/99759/bachelor
Room,Bachelor Room Rent,"Jatrabari, Dhaka",1,1,1500,November,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/99628/bachelor
Seat,Bachelor Seat Rent,"Jatrabari, Dhaka",1,1,2500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/99565/bachelor
Seat,Bachelor Seat Rent,"Shonir Akhra, Jatrabari",1,1,2200,October,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/99419/bachelor
Seat,Bachelor Seat Rent,"Jatrabari, Dhaka",1,1,1600,October,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/99329/bachelor
Seat,Bachelor Seat Rent,"Jatrabari, Dhaka",1,1,1500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/99134/bachelor
Seat,Bachelor Seat Rent,"Jatrabari, Dhaka",1,1,1850,October,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/99076/bachelor
Room,Bachelor Room Rent,"Jatrabari, Dhaka",1,1,4500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/99075/bachelor
Room,Bachelor Room Rent,"Jatrabari, Dhaka",1,1,4500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/99035/bachelor
Room,Bachelor Room Rent,"Jatrabari, Dhaka",1,1,8500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/99033/bachelor
Seat,Bachelor Seat Rent,"Jatrabari, Dhaka",1,1,2000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/99032/bachelor
Seat,Bachelor Seat Rent,"Jatrabari, Dhaka",1,1,2000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/99008/bachelor
Seat,Bachelor Seat Rent,"Jatrabari, Dhaka",1,1,1000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/99006/bachelor
Seat,Bachelor Seat Rent,"Jatrabari, Dhaka",1,1,2600,October,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/98934/bachelor
Seat,Bachelor Seat Rent,"Mir-Hazirbag, Jatrabari",2,1,1700,October,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/98933/bachelor
Seat,Bachelor Seat Rent,"Mir-Hazirbag, Jatrabari",2,1,1700,October,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/98746/bachelor
Seat,Bachelor Seat Rent,"Jatrabari, Dhaka",1,1,2000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/98745/bachelor
Seat,Bachelor Seat Rent,"Mir-Hazirbag, Jatrabari",1,1,1950,October,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/98519/bachelor
Seat,Bachelor Seat Rent,"Dania, Jatrabari",1,1,2100,October,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/98518/bachelor
Seat,Bachelor Seat Rent,"Jatrabari, Dhaka",1,1,1850,October,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/98122/bachelor
Seat,Bachelor Seat Rent,"Jatrabari, Dhaka",2,1,5000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/98026/bachelor
Seat,Bachelor Seat Rent,"Shonir Akhra, Jatrabari",1,1,2550,October,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/97855/bachelor
Seat,Bachelor Seat Rent,"Mir-Hazirbag, Jatrabari",1,1,1950,October,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/97769/bachelor
Room,Bachelor Room Rent,"Shonir Akhra, Jatrabari",1,1,3000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/97534/bachelor
Seat,Bachelor Seat Rent,"Shonir Akhra, Jatrabari",1,1,2000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/97480/bachelor
Room,Bachelor Room Rent,"Mir-Hazirbag, Jatrabari",1,1,5000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/97371/bachelor
Seat,Bachelor Seat Rent,"Dolairpar, Jatrabari",1,1,1970,September,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/97215/bachelor
Seat,Bachelor Seat Rent,"Jatrabari, Dhaka",1,1,1500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/96936/bachelor
Seat,Bachelor Seat Rent,"Jatrabari, Dhaka",1,1,3000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/96780/bachelor
Room,Bachelor Room Rent,"Jatrabari, Dhaka",1,1,5000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/95977/bachelor
Room,Bachelor Room Rent,"Shonir Akhra, Jatrabari",1,1,3500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/95555/bachelor
Seat,Bachelor Seat Rent,"Kajla, Jatrabari",1,1,1800,September,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/95328/bachelor
Room,Bachelor Room Rent,"Matuail, Jatrabari",1,1,4000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/95167/bachelor
Flat,Bachelor House Rent,"Jatrabari, Dhaka",1,1,6500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/95143/bachelor
Flat,Bachelor Flat Rent,"Shonir Akhra, Jatrabari",2,1,7000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/95142/bachelor
Seat,Bachelor Seat Rent,"Jatrabari, Dhaka",1,1,1600,September,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/94940/bachelor
Room,Bachelor Room Rent,"Jatrabari, Dhaka",1,1,3500,September,Anyone,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/94664/bachelor
Flat,Bachelor Flat Rent,"Bibir Bagicha, Jatrabari",1,1,15000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/94595/bachelor
Room,Bachelor Room Rent,"Jatrabari, Dhaka",1,1,3500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/94405/bachelor
Seat,Bachelor Seat Rent,"Bibir Bagicha, Jatrabari",1,1,1800,September,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/94404/bachelor
Seat,Bachelor Seat Rent,"Dolairpar, Jatrabari",1,1,1970,August,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/94400/bachelor
Room,Bachelor Room Rent,"Dania, Jatrabari",1,1,6000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/94398/bachelor
Room,Bachelor Room Rent,"Jatrabari, Dhaka",1,1,2250,September,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/94394/bachelor
Seat,Bachelor Seat Rent,"Shonir Akhra, Jatrabari",1,1,2800,September,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/93715/bachelor
Seat,Bachelor Seat Rent,"Kajla, Jatrabari",1,1,1500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/93561/bachelor
Seat,Bachelor Seat Rent,"Mir-Hazirbag, Jatrabari",1,1,2013,September,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/93560/bachelor
Seat,Bachelor Seat Rent,"Shonir Akhra, Jatrabari",1,1,3250,August,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/93559/bachelor
Seat,Bachelor Seat Rent,"Kajla, Jatrabari",1,1,1850,August,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/93558/bachelor
Flat,Bachelor House Rent,"Rayerbag, Jatrabari",1,1,3500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/93556/bachelor
Seat,Bachelor Seat Rent,"Dania, Jatrabari",1,1,3000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/93554/bachelor
Seat,Bachelor Seat Rent,"Jatrabari, Dhaka",1,1,1600,August,Male,https://www.thetolet.com/bd/property-post/dhaka/jatrabari/93547/bachelor
