Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Room,Bachelor Room Rent,"Kathalbagan, Kalabagan",1.0,1,5600,October,Not specified,https://www.thetolet.com/bd/property-post/dhaka/kalabagan/94955/family
Flat,Family House Rent,"Hatirpul, Kalabagan",2.0,2,22000,October,Not specified,https://www.thetolet.com/bd/property-post/dhaka/kalabagan/94952/family
Flat,Family Flat Rent,"Hatirpul, Kalabagan",2.0,2,22000,October,Anyone,https://www.thetolet.com/bd/property-post/dhaka/kalabagan/94909/sublet
Room,Sublet Room Rent,"Panthapath, Kalabagan",,1,14500,September,Female,https://www.thetolet.com/bd/property-post/dhaka/kalabagan/94887/bachelor
Seat,Bachelor Seat Rent,"Panthapath, Kalabagan",1.0,1,3260,September,Anyone,https://www.thetolet.com/bd/property-post/dhaka/kalabagan/94837/sublet
Room,Sublet Room Rent,"Kathalbagan, Kalabagan",,1,9000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/kalabagan/94548/bachelor
Seat,Bachelor Seat Rent,"Kalabagan, Dhaka",1.0,1,3200,August,Male,https://www.thetolet.com/bd/property-post/dhaka/kalabagan/94284/bachelor
Seat,Bachelor Seat Rent,"Panthapath, Kalabagan",1.0,1,3500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/kalabagan/94261/bachelor
Seat,Bachelor Seat Rent,"Kalabagan, Dhaka",1.0,1,3500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/kalabagan/93837/bachelor
Seat,Bachelor Seat Rent,"Kalabagan, Dhaka",1.0,1,4000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/kalabagan/93836/bachelor
Seat,Bachelor Seat Rent,"Kalabagan, Dhaka",1.0,1,3800,September,Male,https://www.thetolet.com/bd/property-post/dhaka/kalabagan/93832/bachelor
Room,Bachelor Room Rent,"Kalabagan, Dhaka",1.0,1,12000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/kalabagan/93828/bachelor
Seat,Bachelor Seat Rent,"Kalabagan, Dhaka",1.0,1,2500,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/kalabagan/93825/family
Flat,Family Flat Rent,"Hatirpul, Kalabagan",2.0,2,22000,September,Female,https://www.thetolet.com/bd/property-post/dhaka/kalabagan/93462/bachelor
Seat,Bachelor Seat Rent,"Kathalbagan, Kalabagan",1.0,1,5000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/kalabagan/93427/bachelor
Seat,Bachelor Seat Rent,"Kalabagan, Dhaka",1.0,1,4000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/kalabagan/93426/bachelor
Seat,Bachelor Seat Rent,"Panthapath, Kalabagan",1.0,1,3000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/kalabagan/93397/bachelor
Room,Bachelor Room Rent,"Kalabagan, Dhaka",1.0,1,9000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/kalabagan/93223/bachelor
Seat,Bachelor Seat Rent,"Kalabagan, Dhaka",1.0,1,3000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/kalabagan/92803/bachelor
Room,Bachelor Room Rent,"Hatirpul, Kalabagan",1.0,1,13000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/kalabagan/92659/bachelor
Seat,Bachelor Seat Rent,"Hatirpul, Kalabagan",1.0,1,4000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/kalabagan/91957/bachelor
Seat,Bachelor Seat Rent,"Kalabagan, Dhaka",1.0,1,2600,August,Male,https://www.thetolet.com/bd/property-post/dhaka/kalabagan/91944/bachelor
Seat,Bachelor Seat Rent,"Kalabagan, Dhaka",1.0,1,2500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/kalabagan/91852/bachelor
Seat,Bachelor Seat Rent,"Kalabagan, Dhaka",1.0,1,3500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/kalabagan/91549/bachelor
Seat,Bachelor Seat Rent,"Kalabagan, Dhaka",1.0,1,3500,August,Not specified,https://www.thetolet.com/bd/property-post/dhaka/kalabagan/91532/family
Flat,Family House Rent,"Hatirpul, Kalabagan",2.0,2,22000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/kalabagan/91396/bachelor
Seat,Bachelor Seat Rent,"Panthapath, Kalabagan",1.0,1,3500,July,Male,https://www.thetolet.com/bd/property-post/dhaka/kalabagan/91115/bachelor
Seat,Bachelor Seat Rent,"Kalabagan, Dhaka",1.0,1,3700,August,Male,https://www.thetolet.com/bd/property-post/dhaka/kalabagan/91086/bachelor
Seat,Bachelor Seat Rent,"Kathalbagan, Kalabagan",1.0,1,3500,August,Female,https://www.thetolet.com/bd/property-post/dhaka/kalabagan/90971/bachelor
Seat,Bachelor Seat Rent,"Kathalbagan, Kalabagan",1.0,1,5000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/kalabagan/90970/bachelor
Seat,Bachelor Seat Rent,"Kalabagan, Dhaka",1.0,1,4000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/kalabagan/90968/bachelor
Seat,Bachelor Seat Rent,"Kathalbagan, Kalabagan",1.0,1,4500,August,Female,https://www.thetolet.com/bd/property-post/dhaka/kalabagan/90795/bachelor
Room,Bachelor Room Rent,"Hatirpul, Kalabagan",1.0,1,12700,September,Male,https://www.thetolet.com/bd/property-post/dhaka/kalabagan/90782/bachelor
Room,Bachelor Room Rent,"Kathalbagan, Kalabagan",1.0,1,4000,August,Not specified,https://www.thetolet.com/bd/property-post/dhaka/kalabagan/90584/family
Flat,Family House Rent,"Kalabagan, Dhaka",2.0,2,18000,August,Female,https://www.thetolet.com/bd/property-post/dhaka/kalabagan/90452/sublet
Seat,Sublet Seat Rent,"Kalabagan, Dhaka",,1,4000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/kalabagan/90451/bachelor
Seat,Bachelor Seat Rent,"Kalabagan, Dhaka",1.0,1,4000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/kalabagan/90441/bachelor
Seat,Bachelor Seat Rent,"Kalabagan, Dhaka",1.0,1,3500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/kalabagan/90439/bachelor
