Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Room,Bachelor Room Rent,"Keraniganj, Dhaka",1,1,3500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/keraniganj/98210/bachelor
Room,Bachelor Room Rent,"Naya Bazar, Keraniganj",1,1,3000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/keraniganj/98208/bachelor
Room,Bachelor Room Rent,"Naya Bazar, Keraniganj",1,1,3000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/keraniganj/93912/bachelor
Room,Bachelor Room Rent,"Keraniganj, Dhaka",1,1,3500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/keraniganj/90486/bachelor
Room,Bachelor Room Rent,"Hasnabad, Keraniganj",1,1,2750,August,Male,https://www.thetolet.com/bd/property-post/dhaka/keraniganj/90195/bachelor
Room,Bachelor Room Rent,"Keraniganj, Dhaka",1,1,3000,July,Male,https://www.thetolet.com/bd/property-post/dhaka/keraniganj/88868/bachelor
Seat,Bachelor Seat Rent,"Zinzira, Keraniganj",1,1,1750,July,Male,https://www.thetolet.com/bd/property-post/dhaka/keraniganj/88406/bachelor
Seat,Bachelor Seat Rent,"Kadamtali, Keraniganj",1,1,1500,July,Male,https://www.thetolet.com/bd/property-post/dhaka/keraniganj/84228/bachelor
Room,Bachelor Room Rent,"Kadamtali, Keraniganj",1,1,5000,April,Male,https://www.thetolet.com/bd/property-post/dhaka/keraniganj/81813/bachelor
Seat,Bachelor Seat Rent,"Keraniganj, Dhaka",1,1,1750,March,Male,https://www.thetolet.com/bd/property-post/dhaka/keraniganj/81812/bachelor
Seat,Bachelor Seat Rent,"Keraniganj, Dhaka",1,1,1500,April,Male,https://www.thetolet.com/bd/property-post/dhaka/keraniganj/81810/bachelor
Room,Bachelor Room Rent,"Keraniganj, Dhaka",1,1,2750,April,Male,https://www.thetolet.com/bd/property-post/dhaka/keraniganj/81287/bachelor
Seat,Bachelor Seat Rent,"Keraniganj, Dhaka",1,1,1800,March,Male,https://www.thetolet.com/bd/property-post/dhaka/keraniganj/79646/bachelor
Seat,Bachelor Seat Rent,"Kadamtali, Keraniganj",1,1,3000,March,Male,https://www.thetolet.com/bd/property-post/dhaka/keraniganj/79228/bachelor
Seat,Bachelor Seat Rent,"Keraniganj, Dhaka",1,1,1200,March,Male,https://www.thetolet.com/bd/property-post/dhaka/keraniganj/79099/bachelor
Seat,Bachelor Seat Rent,"Kadamtali, Keraniganj",1,1,1625,February,Male,https://www.thetolet.com/bd/property-post/dhaka/keraniganj/78079/bachelor
Seat,Bachelor Seat Rent,"Kadamtali, Keraniganj",1,1,1750,February,Male,https://www.thetolet.com/bd/property-post/dhaka/keraniganj/77892/bachelor
Room,Bachelor Room Rent,"Keraniganj, Dhaka",1,1,5500,March,Male,https://www.thetolet.com/bd/property-post/dhaka/keraniganj/77135/bachelor
Flat,Bachelor House Rent,"Keraniganj, Dhaka",1,1,4500,February,Male,https://www.thetolet.com/bd/property-post/dhaka/keraniganj/76665/bachelor
