Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Seat,Bachelor Seat Rent,"Goran, Khilgaon",1,1,2500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/100728/bachelor
Seat,Bachelor Seat Rent,"Basabo, Khilgaon",1,1,3000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/100508/bachelor
Seat,Bachelor Seat Rent,"Basabo, Khilgaon",1,1,2500,November,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/100457/bachelor
Seat,Bachelor Seat Rent,"Tilpapara, Khilgaon",1,1,4000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/99908/bachelor
Room,Bachelor Room Rent,"Tilpapara, Khilgaon",1,1,4200,November,Female,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/99907/bachelor
Seat,Bachelor Seat Rent,"Khilgaon, Dhaka",1,1,8000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/99104/bachelor
Seat,Bachelor Seat Rent,"Goran, Khilgaon",1,1,3000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/98937/bachelor
Seat,Bachelor Seat Rent,"Madartek, Khilgaon",1,1,2500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/98862/bachelor
Room,Bachelor Room Rent,"Tilpapara, Khilgaon",1,1,6200,November,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/98121/bachelor
Room,Bachelor Room Rent,"Khilgaon, Dhaka",1,1,4700,October,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/97956/bachelor
Room,Bachelor Room Rent,"Khilgaon, Dhaka",1,1,4700,October,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/97945/bachelor
Seat,Bachelor Seat Rent,"Khilgaon, Dhaka",1,1,2500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/97914/bachelor
Room,Bachelor Room Rent,"Khilgaon, Dhaka",1,1,3300,October,Female,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/97570/bachelor
Room,Bachelor Room Rent,"Khilgaon, Dhaka",1,1,8000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/97280/bachelor
Seat,Bachelor Seat Rent,"Basabo, Khilgaon",1,1,3000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/95907/bachelor
Seat,Bachelor Seat Rent,"Taltola, Khilgaon",1,1,3200,October,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/95824/bachelor
Seat,Bachelor Seat Rent,"Goran, Khilgaon",1,1,2363,September,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/95742/bachelor
Seat,Bachelor Seat Rent,"Kadamtala, Khilgaon",1,1,2300,September,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/95243/bachelor
Flat,Bachelor Flat Rent,"Tilpapara, Khilgaon",2,2,13500,September,Female,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/95029/bachelor
Seat,Bachelor Seat Rent,"Khilgaon, Dhaka",1,1,3500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/95000/bachelor
Seat,Bachelor Seat Rent,"Meradia, Khilgaon",1,1,2000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/94829/bachelor
Seat,Bachelor Seat Rent,"Khilgaon, Dhaka",1,1,3500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/94828/bachelor
Seat,Bachelor Seat Rent,"Tilpapara, Khilgaon",1,1,3500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/94815/bachelor
Seat,Bachelor Seat Rent,"Khilgaon, Dhaka",1,1,2363,September,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/94685/bachelor
Room,Bachelor Room Rent,"Taltola, Khilgaon",1,1,7000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/94451/bachelor
Seat,Bachelor Seat Rent,"Kadamtala, Khilgaon",1,1,2300,September,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/94447/bachelor
Room,Bachelor Room Rent,"Madartek, Khilgaon",1,1,7500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/93992/bachelor
Seat,Bachelor Seat Rent,"Goran, Khilgaon",1,1,2363,October,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/93989/bachelor
Seat,Bachelor Seat Rent,"Basabo, Khilgaon",1,1,2100,August,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/93987/bachelor
Seat,Bachelor Seat Rent,"Taltola, Khilgaon",1,1,2500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/93454/bachelor
Seat,Bachelor Seat Rent,"Khilgaon, Dhaka",1,1,2700,August,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/93182/bachelor
Seat,Bachelor Seat Rent,"Basabo, Khilgaon",1,1,2500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/92878/bachelor
Seat,Bachelor Seat Rent,"Khilgaon, Dhaka",1,1,2363,September,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/92734/bachelor
Seat,Bachelor Seat Rent,"Khilgaon, Dhaka",1,1,2300,August,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/91974/bachelor
Seat,Bachelor Seat Rent,"Sipahibag, Khilgaon",1,1,2150,August,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/91909/bachelor
Seat,Bachelor Seat Rent,"Taltola, Khilgaon",1,1,2300,August,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/91592/bachelor
Seat,Bachelor Seat Rent,"Khilgaon, Dhaka",1,1,3000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/90859/bachelor
Seat,Bachelor Seat Rent,"Basabo, Khilgaon",1,1,2100,August,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/90478/bachelor
Seat,Bachelor Seat Rent,"Khilgaon, Dhaka",1,1,2700,August,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/90313/bachelor
Flat,Bachelor House Rent,"Goran, Khilgaon",1,1,6000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/90043/bachelor
Seat,Bachelor Seat Rent,"Basabo, Khilgaon",1,1,3200,August,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/90041/bachelor
Seat,Bachelor Seat Rent,"Taltola, Khilgaon",1,1,2900,August,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/89093/bachelor
Seat,Bachelor Seat Rent,"Tilpapara, Khilgaon",1,1,4000,July,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/88995/bachelor
Seat,Bachelor Seat Rent,"Basabo, Khilgaon",1,1,2700,July,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/88777/bachelor
Seat,Bachelor Seat Rent,"Basabo, Khilgaon",1,1,3000,July,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/88649/bachelor
Seat,Bachelor Seat Rent,"Meradia, Khilgaon",1,1,2210,June,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/88095/bachelor
Seat,Bachelor Seat Rent,"Khilgaon, Dhaka",1,1,3750,June,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/87463/bachelor
Room,Bachelor Room Rent,"Goran, Khilgaon",1,1,4500,June,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/86979/bachelor
Room,Bachelor Room Rent,"Goran, Khilgaon",1,1,4500,June,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/86224/bachelor
Seat,Bachelor Seat Rent,"Khilgaon, Dhaka",1,1,2300,June,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/85846/bachelor
Seat,Bachelor Seat Rent,"Sipahibag, Khilgaon",1,1,5500,June,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/85844/bachelor
Seat,Bachelor Seat Rent,"Basabo, Khilgaon",1,1,2500,June,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/85142/bachelor
Seat,Bachelor Seat Rent,"Meradia, Khilgaon",1,1,2575,June,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/85129/bachelor
Seat,Bachelor Seat Rent,"Kadamtala, Khilgaon",1,1,2500,May,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/84829/bachelor
Room,Bachelor Room Rent,"Tilpapara, Khilgaon",1,1,7000,May,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/84828/bachelor
Room,Bachelor Room Rent,"Basabo, Khilgaon",1,1,8000,June,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/84822/bachelor
Room,Bachelor Room Rent,"Sipahibag, Khilgaon",1,1,6000,June,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/84478/bachelor
Seat,Bachelor Seat Rent,"Khilgaon, Dhaka",1,1,2200,May,Female,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/84383/bachelor
Seat,Bachelor Seat Rent,"Tilpapara, Khilgaon",2,2,5500,May,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/84032/bachelor
Room,Bachelor Room Rent,"Basabo, Khilgaon",1,1,3000,May,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/83806/bachelor
Seat,Bachelor Seat Rent,"Sipahibag, Khilgaon",1,1,3000,May,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/83566/bachelor
Seat,Bachelor Seat Rent,"Tilpapara, Khilgaon",1,1,3750,May,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/83500/bachelor
Seat,Bachelor Seat Rent,"Goran, Khilgaon",1,1,2375,May,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/83498/bachelor
Seat,Bachelor Seat Rent,"Khilgaon, Dhaka",1,1,2200,April,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/83321/bachelor
Seat,Bachelor Seat Rent,"Nandipara, Khilgaon",1,1,2250,May,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/82418/bachelor
Room,Bachelor Room Rent,"Goran, Khilgaon",1,1,6000,April,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/80909/bachelor
Seat,Bachelor Seat Rent,"Basabo, Khilgaon",1,1,2500,March,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/80270/bachelor
Seat,Bachelor Seat Rent,"Taltola, Khilgaon",1,1,2250,March,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/80251/bachelor
Room,Bachelor Room Rent,"Basabo, Khilgaon",1,1,7000,March,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/79028/bachelor
Seat,Bachelor Seat Rent,"Taltola, Khilgaon",1,1,2250,March,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/79010/bachelor
Flat,Bachelor House Rent,"Tilpapara, Khilgaon",1,1,6500,March,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/78286/bachelor
Seat,Bachelor Seat Rent,"Tilpapara, Khilgaon",1,1,3500,February,Female,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/78018/bachelor
Seat,Bachelor Seat Rent,"Basabo, Khilgaon",1,1,1500,February,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/77585/bachelor
Seat,Bachelor Seat Rent,"Khilgaon, Dhaka",1,1,2000,February,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/77493/bachelor
Seat,Bachelor Seat Rent,"Basabo, Khilgaon",1,1,2500,February,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/77306/bachelor
Room,Bachelor Room Rent,"Khilgaon, Dhaka",1,1,6000,February,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/76817/bachelor
Room,Bachelor Room Rent,"Kadamtala, Khilgaon",1,1,2500,February,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/76816/bachelor
Seat,Bachelor Seat Rent,"Tilpapara, Khilgaon",1,1,3500,February,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/76599/bachelor
Room,Bachelor Room Rent,"Khilgaon, Dhaka",1,1,3400,February,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/75847/bachelor
Seat,Bachelor Seat Rent,"Basabo, Khilgaon",1,1,3500,February,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/75829/bachelor
Seat,Bachelor Seat Rent,"Khilgaon, Dhaka",1,1,1999,January,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/75436/bachelor
Seat,Bachelor Seat Rent,"Khilgaon, Dhaka",1,1,2000,February,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/75396/bachelor
Seat,Bachelor Seat Rent,"Khilgaon, Dhaka",1,1,2500,February,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/74779/bachelor
Seat,Bachelor Seat Rent,"Khilgaon, Dhaka",1,1,2500,January,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/74438/bachelor
Seat,Bachelor Seat Rent,"Goran, Khilgaon",1,1,2700,January,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/74432/bachelor
Seat,Bachelor Seat Rent,"Tilpapara, Khilgaon",1,1,4000,January,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/73335/bachelor
Seat,Bachelor Seat Rent,"Basabo, Khilgaon",1,1,2000,January,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/73321/bachelor
Room,Bachelor Room Rent,"Khilgaon, Dhaka",1,1,4000,February,Female,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/72762/bachelor
Room,Bachelor Room Rent,"Goran, Khilgaon",1,1,4300,February,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/71290/bachelor
Room,Bachelor Room Rent,"Meradia, Khilgaon",1,1,6000,December,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/70671/bachelor
Seat,Bachelor Seat Rent,"Basabo, Khilgaon",1,1,2500,December,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/70268/bachelor
Room,Bachelor Room Rent,"Basabo, Khilgaon",1,1,6200,December,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/70212/bachelor
Seat,Bachelor Seat Rent,"Goran, Khilgaon",1,1,2363,December,Female,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/69727/bachelor
Room,Bachelor Room Rent,"Basabo, Khilgaon",1,1,4500,November,Male,https://www.thetolet.com/bd/property-post/dhaka/khilgaon/69720/bachelor
