Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Seat,Sublet Seat Rent,"Nikunja 2, Khilkhet",,1,7500,September,Anyone,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/95400/bachelor
Room,Bachelor Room Rent,"Khilkhet, Dhaka",1.0,1,8700,October,Not specified,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/95241/family
Flat,Family House Rent,"Uttarpara, Khilkhet",2.0,2,13000,October,Female,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/95177/bachelor
Seat,Bachelor Seat Rent,"Nikunja 2, Khilkhet",1.0,1,4700,September,Male,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/95175/bachelor
Seat,Bachelor Seat Rent,"Khilkhet, Dhaka",1.0,1,3500,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/95087/family
Flat,Family House Rent,"Namapara, Khilkhet",2.0,2,12000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/95086/bachelor
Seat,Bachelor Seat Rent,"Khilkhet, Dhaka",1.0,1,1800,September,Male,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/95053/bachelor
Room,Bachelor Room Rent,"Khilkhet, Dhaka",1.0,1,7000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/94984/bachelor
Room,Bachelor Room Rent,"Nikunja 2, Khilkhet",1.0,1,8200,September,Male,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/94983/bachelor
Seat,Bachelor Seat Rent,"Nikunja 2, Khilkhet",1.0,1,2833,September,Male,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/94982/sublet
Seat,Sublet Seat Rent,"Nikunja 2, Khilkhet",,1,3200,September,Male,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/94981/bachelor
Seat,Bachelor Seat Rent,"Nikunja 2, Khilkhet",1.0,1,3800,September,Male,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/94980/bachelor
Seat,Bachelor Seat Rent,"Nikunja 2, Khilkhet",1.0,1,3700,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/94979/family
Flat,Family Flat Rent,"Nikunja 2, Khilkhet",2.0,1,19000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/94978/bachelor
Seat,Bachelor Seat Rent,"Nikunja 2, Khilkhet",1.0,1,3500,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/94944/family
Flat,Family House Rent,"Khilkhet, Dhaka",2.0,1,11000,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/94919/family
Flat,Family House Rent,"Khilkhet, Dhaka",1.0,1,6000,September,Anyone,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/94913/bachelor
Room,Bachelor Room Rent,"Khilkhet, Dhaka",1.0,1,6000,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/94870/office
Room,Office Flat Rent,"Nikunja 2, Khilkhet",,1,75000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/94757/bachelor
Seat,Bachelor Seat Rent,"Nikunja 2, Khilkhet",1.0,1,2890,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/94728/family
Flat,Family Flat Rent,"Khilkhet, Dhaka",2.0,1,14000,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/94727/family
Flat,Family Flat Rent,"Khilkhet, Dhaka",2.0,3,37000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/94680/bachelor
Seat,Bachelor Seat Rent,"Khilkhet, Dhaka",1.0,1,2500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/94679/bachelor
Seat,Bachelor Seat Rent,"Nikunja 2, Khilkhet",1.0,1,1850,September,Male,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/94675/bachelor
Seat,Bachelor Seat Rent,"Noyanagor, Khilkhet",1.0,1,3500,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/94655/family
Flat,Family Flat Rent,"Nikunja 2, Khilkhet",1.0,1,9500,October,Anyone,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/94487/sublet
Room,Sublet Room Rent,"Khilkhet, Dhaka",,1,7000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/khilkhet/94486/bachelor
