Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Room,Bachelor Room Rent,"Azimpur, Lalbag",1.0,1,1700,September,Male,https://www.thetolet.com/bd/property-post/dhaka/lalbag/95402/bachelor
Room,Bachelor Room Rent,"Azimpur, Lalbag",1.0,1,1700,September,Female,https://www.thetolet.com/bd/property-post/dhaka/lalbag/95399/bachelor
Seat,Bachelor Seat Rent,"Azimpur, Lalbag",1.0,1,3500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/lalbag/95308/bachelor
Seat,Bachelor Seat Rent,"Azimpur, Lalbag",1.0,1,1850,September,Male,https://www.thetolet.com/bd/property-post/dhaka/lalbag/95306/bachelor
Seat,Bachelor Seat Rent,"Azimpur, Lalbag",1.0,1,2000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/lalbag/95305/bachelor
Seat,Bachelor Seat Rent,"Lalbag, Dhaka",1.0,1,2500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/lalbag/95303/bachelor
Seat,Bachelor Seat Rent,"Azimpur, Lalbag",1.0,1,3750,September,Male,https://www.thetolet.com/bd/property-post/dhaka/lalbag/95273/bachelor
Seat,Bachelor Seat Rent,"Azimpur, Lalbag",1.0,1,3000,September,Female,https://www.thetolet.com/bd/property-post/dhaka/lalbag/95270/bachelor
Seat,Bachelor Seat Rent,"Azimpur, Lalbag",1.0,1,4500,October,Female,https://www.thetolet.com/bd/property-post/dhaka/lalbag/95168/bachelor
Seat,Bachelor Seat Rent,"Bakshibazar, Lalbag",1.0,1,3300,September,Female,https://www.thetolet.com/bd/property-post/dhaka/lalbag/95096/bachelor
Seat,Bachelor Seat Rent,"Nawabganj, Lalbag",1.0,1,3000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/lalbag/95090/bachelor
Seat,Bachelor Seat Rent,"Azimpur, Lalbag",1.0,1,2530,September,Male,https://www.thetolet.com/bd/property-post/dhaka/lalbag/95057/bachelor
Seat,Bachelor Seat Rent,"Azimpur, Lalbag",1.0,1,2650,September,Male,https://www.thetolet.com/bd/property-post/dhaka/lalbag/95055/bachelor
Seat,Bachelor Seat Rent,"Azimpur, Lalbag",1.0,1,3000,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/lalbag/95024/family
Flat,Family Flat Rent,"Azimpur, Lalbag",2.0,2,11000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/lalbag/94988/bachelor
Seat,Bachelor Seat Rent,"Azimpur, Lalbag",1.0,1,2500,September,Female,https://www.thetolet.com/bd/property-post/dhaka/lalbag/94957/bachelor
Seat,Bachelor Seat Rent,"Azimpur, Lalbag",1.0,1,2800,September,Male,https://www.thetolet.com/bd/property-post/dhaka/lalbag/94953/bachelor
Seat,Bachelor Seat Rent,"Azimpur, Lalbag",1.0,1,2450,September,Female,https://www.thetolet.com/bd/property-post/dhaka/lalbag/94911/bachelor
Seat,Bachelor Seat Rent,"Azimpur, Lalbag",1.0,1,3300,September,Female,https://www.thetolet.com/bd/property-post/dhaka/lalbag/94910/bachelor
Seat,Bachelor Seat Rent,"Azimpur, Lalbag",1.0,1,3800,September,Male,https://www.thetolet.com/bd/property-post/dhaka/lalbag/94886/bachelor
Seat,Bachelor Seat Rent,"Azimpur, Lalbag",1.0,1,2100,September,Male,https://www.thetolet.com/bd/property-post/dhaka/lalbag/94821/bachelor
Seat,Bachelor Seat Rent,"Lalbag, Dhaka",1.0,1,2300,September,Male,https://www.thetolet.com/bd/property-post/dhaka/lalbag/94809/bachelor
Seat,Bachelor Seat Rent,"Azimpur, Lalbag",1.0,1,2100,September,Male,https://www.thetolet.com/bd/property-post/dhaka/lalbag/94789/bachelor
Seat,Bachelor Seat Rent,"Lalbag, Dhaka",1.0,1,2500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/lalbag/94701/bachelor
Room,Bachelor Room Rent,"Azimpur, Lalbag",1.0,1,5000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/lalbag/94695/bachelor
Seat,Bachelor Seat Rent,"Rosulbag, Lalbag",1.0,1,1800,September,Male,https://www.thetolet.com/bd/property-post/dhaka/lalbag/94682/bachelor
