Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Seat,Bachelor Seat Rent,"West Shewrapara, Mirpur",1,1,1800,October,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100873/bachelor
Seat,Bachelor Seat Rent,"Mirpur 1, Mirpur",1,1,1310,November,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100837/bachelor
Seat,Bachelor Seat Rent,"Mirpur 1, Mirpur",2,2,2500,November,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100820/bachelor
Room,Bachelor Room Rent,"Mirpur 1, Mirpur",1,1,8500,November,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100782/bachelor
Seat,Bachelor Seat Rent,"Mirpur 14, Mirpur",1,1,2000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100766/bachelor
Seat,Bachelor Seat Rent,"Mirpur 1, Mirpur",1,1,2300,November,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100765/bachelor
Seat,Bachelor Seat Rent,"Mirpur 1, Mirpur",1,1,2800,October,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100763/bachelor
Seat,Bachelor Seat Rent,"Mirpur 10, Mirpur",1,1,2000,November,Female,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100761/bachelor
Seat,Bachelor Seat Rent,"Kazipara, Mirpur",1,1,3500,November,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100760/bachelor
Seat,Bachelor Seat Rent,"Mirpur 12, Mirpur",1,1,1700,November,Female,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100723/bachelor
Seat,Bachelor Seat Rent,"Mirpur 1, Mirpur",1,1,3500,November,Female,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100644/bachelor
Seat,Bachelor Seat Rent,"Mirpur 7, Mirpur",1,1,7500,November,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100631/bachelor
Seat,Bachelor Seat Rent,"Mirpur 1, Mirpur",1,1,2500,November,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100592/bachelor
Seat,Bachelor Seat Rent,"Mirpur 10, Mirpur",1,1,1750,October,Anyone,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100590/bachelor
Seat,Bachelor Seat Rent,"Mirpur 1, Mirpur",1,1,3300,October,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100565/bachelor
Seat,Bachelor Seat Rent,"Mirpur 10, Mirpur",1,1,2460,November,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100559/bachelor
Seat,Bachelor Seat Rent,"Mirpur 1, Mirpur",1,1,2000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100507/bachelor
Seat,Bachelor Seat Rent,"Mirpur 2, Mirpur",1,1,4500,November,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100502/bachelor
Seat,Bachelor Seat Rent,"Mirpur 1, Mirpur",1,1,3500,November,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100500/bachelor
Seat,Bachelor Seat Rent,"Mirpur, Dhaka",1,1,2250,November,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100494/bachelor
Seat,Bachelor Seat Rent,"Mirpur 10, Mirpur",1,1,2000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100492/bachelor
Seat,Bachelor Seat Rent,"Mirpur 2, Mirpur",1,1,4500,November,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100482/bachelor
Seat,Bachelor Seat Rent,"Mirpur 1, Mirpur",1,1,2100,November,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100480/bachelor
Seat,Bachelor Seat Rent,"Mirpur 1, Mirpur",1,1,1765,October,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100479/bachelor
Seat,Bachelor Seat Rent,"Mirpur, Dhaka",1,1,2060,November,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100478/bachelor
Seat,Bachelor Seat Rent,"Mirpur 6, Mirpur",1,1,3300,November,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100477/bachelor
Seat,Bachelor Seat Rent,"Monipur, Mirpur",1,1,1800,October,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100475/bachelor
Seat,Bachelor Seat Rent,"Mirpur 10, Mirpur",1,1,2300,November,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100469/bachelor
Seat,Bachelor Seat Rent,"Kazipara, Mirpur",1,1,3900,November,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100467/bachelor
Seat,Bachelor Seat Rent,"Mirpur 1, Mirpur",1,2,2100,November,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100443/bachelor
Seat,Bachelor Seat Rent,"Mirpur 10, Mirpur",1,1,2500,November,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100438/bachelor
Seat,Bachelor Seat Rent,"Kazipara, Mirpur",1,1,2000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100417/bachelor
Seat,Bachelor Seat Rent,"Mirpur 2, Mirpur",1,1,2100,November,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100380/bachelor
Seat,Bachelor Seat Rent,"Mirpur 12, Mirpur",1,1,2100,December,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100341/bachelor
Seat,Bachelor Seat Rent,"Mirpur 1, Mirpur",1,1,2100,November,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100332/bachelor
Seat,Bachelor Seat Rent,"Mirpur 1, Mirpur",1,1,2350,November,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100329/bachelor
Room,Bachelor Room Rent,"Mirpur 10, Mirpur",1,1,8000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100323/bachelor
Seat,Bachelor Seat Rent,"Kazipara, Mirpur",1,1,2000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100291/bachelor
Seat,Bachelor Seat Rent,"Mirpur 1, Mirpur",1,1,2500,November,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100289/bachelor
Seat,Bachelor Seat Rent,"Shewrapara, Mirpur",1,1,2000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100288/bachelor
Room,Bachelor Room Rent,"Kazipara, Mirpur",1,1,6500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100281/bachelor
Seat,Bachelor Seat Rent,"Kazipara, Mirpur",1,1,1800,October,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100268/bachelor
Seat,Bachelor Seat Rent,"Kazipara, Mirpur",1,1,3300,November,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100264/bachelor
Seat,Bachelor Seat Rent,"Shewrapara, Mirpur",1,1,2500,November,Male,https://www.thetolet.com/bd/property-post/dhaka/mirpur/100230/bachelor
