Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Seat,Bachelor Seat Rent,"Chandrima Model Town, Mohammadpur",1.0,1,4500,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/95356/family
Flat,Family Flat Rent,"Nabi Nagar Housing, Mohammadpur",2.0,1,10000,September,Anyone,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/95348/sublet
Room,Sublet Room Rent,"Chad Uddan, Mohammadpur",,1,6500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/95337/bachelor
Seat,Bachelor Seat Rent,"Mohammadpur, Dhaka",1.0,1,5500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/95335/bachelor
Seat,Bachelor Seat Rent,"Kaderabad Housing Society, Mohammadpur",1.0,1,3500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/95334/bachelor
Room,Bachelor Room Rent,"Noboudoy Housing, Mohammadpur",1.0,1,6000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/95333/bachelor
Seat,Bachelor Seat Rent,"Shekhertek, Mohammadpur",1.0,1,4500,September,Female,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/95332/sublet
Room,Sublet Room Rent,"Bosila, Mohammadpur",,1,8000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/95331/bachelor
Seat,Bachelor Seat Rent,"Jafrabad, Mohammadpur",1.0,1,3800,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/95311/bachelor
Seat,Bachelor Seat Rent,"Mohammadpur, Dhaka",1.0,1,2500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/95219/bachelor
Seat,Bachelor Seat Rent,"Mohammadia Housing Society, Mohammadpur",1.0,1,2350,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/95218/bachelor
Seat,Bachelor Seat Rent,"Mohammadpur, Dhaka",1.0,1,3350,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/95214/bachelor
Seat,Bachelor Seat Rent,"Shekhertek, Mohammadpur",1.0,1,1800,September,Female,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/95213/sublet
Room,Sublet Room Rent,"Dhaka Uddan Housing, Mohammadpur",,1,4500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/95210/bachelor
Room,Bachelor Room Rent,"Mohammadia Housing Society, Mohammadpur",1.0,1,4600,October,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/95209/family
Flat,Family Flat Rent,"Mohammadia Housing Society, Mohammadpur",3.0,2,22000,September,Female,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/95207/bachelor
Seat,Bachelor Seat Rent,"Mohammadpur, Dhaka",1.0,1,3150,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/95206/family
Flat,Family House Rent,"Chandrima Model Town, Mohammadpur",3.0,4,15500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/95203/bachelor
Seat,Bachelor Seat Rent,"Shekhertek, Mohammadpur",1.0,1,2500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/95202/bachelor
Seat,Bachelor Seat Rent,"Bosila, Mohammadpur",1.0,1,2500,September,Anyone,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/95201/sublet
Room,Sublet Room Rent,"Kaderabad Housing Society, Mohammadpur",,1,7000,September,Female,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/95200/bachelor
Seat,Bachelor Seat Rent,"Mohammadpur, Dhaka",1.0,1,3800,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/95199/family
Flat,Family Flat Rent,"Mohammadpur, Dhaka",3.0,3,40000,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/95198/family
Flat,Family Flat Rent,"Bosila, Mohammadpur",3.0,2,11500,September,Anyone,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/95197/sublet
Room,Sublet Room Rent,"Bosila, Mohammadpur",,1,4000,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/95196/family
Flat,Family Flat Rent,"Mohammadpur, Dhaka",3.0,3,22000,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/95195/family
Flat,Family Flat Rent,"Mohammadpur, Dhaka",3.0,3,40000,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/95192/family
Flat,Family Flat Rent,"Mohammadpur, Dhaka",3.0,3,18000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/95185/bachelor
Seat,Bachelor Seat Rent,"Kaderabad Housing Society, Mohammadpur",1.0,1,2800,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/95174/family
Flat,Family Flat Rent,"Mohammadpur, Dhaka",2.0,2,13000,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/95160/family
Flat,Family Flat Rent,"Chandrima Model Town, Mohammadpur",3.0,3,15000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/95128/sublet
Room,Sublet Room Rent,"Chandrima Model Town, Mohammadpur",,1,6000,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/95098/family
Flat,Family Flat Rent,"Chandrima Model Town, Mohammadpur",3.0,3,18000,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/95097/family
Flat,Family Flat Rent,"Dhaka Uddan Housing, Mohammadpur",4.0,3,17000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/95089/sublet
Room,Sublet Room Rent,"40 Feet, Mohammadpur",,1,6000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/95073/bachelor
Seat,Bachelor Seat Rent,"Mohammadpur, Dhaka",1.0,1,2200,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/95070/family
Flat,Family Flat Rent,"Bosila, Mohammadpur",2.0,1,10000,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/95069/family
Flat,Family Flat Rent,"Bosila, Mohammadpur",3.0,3,15000,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/95067/family
Flat,Family House Rent,"Bosila, Mohammadpur",2.0,2,13000,October,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94972/family
Flat,Family Flat Rent,"Shekhertek, Mohammadpur",3.0,2,13500,October,Anyone,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94951/sublet
Room,Sublet Room Rent,"Dhaka Uddan Housing, Mohammadpur",,1,7000,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94947/family
Flat,Family Flat Rent,"Chandrima Model Town, Mohammadpur",2.0,1,8000,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94924/family
Flat,Family House Rent,"Mohammadpur, Dhaka",2.0,1,7500,September,Anyone,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94906/sublet
Room,Sublet Room Rent,"Bosila, Mohammadpur",,1,6000,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94900/family
Flat,Family Flat Rent,"Dhaka Uddan Housing, Mohammadpur",3.0,3,19000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94898/bachelor
Seat,Bachelor Seat Rent,"Kaderabad Housing Society, Mohammadpur",1.0,1,3100,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94866/sublet
Room,Sublet Room Rent,"Shyamoli, Mohammadpur",,1,7000,September,Anyone,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94852/sublet
Room,Sublet Room Rent,"Dhaka Uddan Housing, Mohammadpur",,1,8500,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94831/family
Flat,Family Flat Rent,"Noboudoy Housing, Mohammadpur",2.0,2,13000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94826/bachelor
Room,Bachelor Room Rent,"Bosila, Mohammadpur",1.0,1,6300,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94814/family
Flat,Family Flat Rent,"Mohammadpur, Dhaka",3.0,3,28500,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94796/family
Unknown,Family Unit Rent,"Dhaka Uddan Housing, Mohammadpur",2.0,2,11500,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94755/family
Flat,Family Flat Rent,"Chandrima Model Town, Mohammadpur",3.0,3,11500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94747/bachelor
Seat,Bachelor Seat Rent,"Mohammadpur, Dhaka",1.0,1,2800,September,Female,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94734/bachelor
