Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Room,Bachelor Room Rent,"Mugda, Dhaka",1,1,4000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/98804/bachelor
Room,Bachelor Room Rent,"Modinabag, Mugda",1,1,4500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/98780/bachelor
Room,Bachelor Room Rent,"Manda, Mugda",1,1,4500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/98772/bachelor
Seat,Bachelor Seat Rent,"Mugda, Dhaka",1,1,2300,October,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/98482/bachelor
Seat,Bachelor Seat Rent,"Mugda, Dhaka",1,1,2500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/97572/bachelor
Seat,Bachelor Seat Rent,"Mugda, Dhaka",1,1,2300,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/97298/bachelor
Seat,Bachelor Seat Rent,"Mugda, Dhaka",1,1,2500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/94356/bachelor
Room,Bachelor Room Rent,"Modinabag, Mugda",1,1,8000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/93726/bachelor
Seat,Bachelor Seat Rent,"Mugda, Dhaka",1,1,4000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/93717/bachelor
Room,Bachelor Room Rent,"Manda, Mugda",1,1,3500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/93712/bachelor
Room,Bachelor Room Rent,"Modinabag, Mugda",1,1,4000,August,Female,https://www.thetolet.com/bd/property-post/dhaka/mugda/93520/bachelor
Flat,Bachelor House Rent,"Mugda, Dhaka",2,1,8000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/93312/bachelor
Room,Bachelor Room Rent,"Modinabag, Mugda",2,2,7000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/92697/bachelor
Room,Bachelor Room Rent,"Mugda, Dhaka",1,1,4500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/92696/bachelor
Seat,Bachelor Seat Rent,"Mugda, Dhaka",1,1,2917,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/92695/bachelor
Room,Bachelor Room Rent,"Mugda, Dhaka",1,1,3000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/92694/bachelor
Seat,Bachelor Seat Rent,"Jannatbag, Mugda",1,1,2100,August,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/92693/bachelor
Seat,Bachelor Seat Rent,"Manda, Mugda",1,1,4000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/92239/bachelor
Flat,Bachelor House Rent,"Manda, Mugda",1,1,5500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/91260/bachelor
Seat,Bachelor Seat Rent,"Mugda, Dhaka",1,1,3000,August,Female,https://www.thetolet.com/bd/property-post/dhaka/mugda/91011/bachelor
Room,Bachelor Room Rent,"Modinabag, Mugda",1,1,7000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/90033/bachelor
Room,Bachelor Room Rent,"Mugda, Dhaka",1,1,4000,July,Female,https://www.thetolet.com/bd/property-post/dhaka/mugda/89739/bachelor
Seat,Bachelor Seat Rent,"Manda, Mugda",1,1,3000,July,Female,https://www.thetolet.com/bd/property-post/dhaka/mugda/89402/bachelor
Room,Bachelor Room Rent,"Manda, Mugda",1,1,3500,June,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/89395/bachelor
Seat,Bachelor Seat Rent,"Mugda, Dhaka",1,1,2500,July,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/88999/bachelor
Seat,Bachelor Seat Rent,"Maniknagar, Mugda",1,1,5500,July,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/88817/bachelor
Seat,Bachelor Seat Rent,"Mugda, Dhaka",1,1,3500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/88450/bachelor
Room,Bachelor Room Rent,"Mugda, Dhaka",1,1,7000,July,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/88313/bachelor
Seat,Bachelor Seat Rent,"Mugda, Dhaka",1,1,2500,May,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/87277/bachelor
Room,Bachelor Room Rent,"Maniknagar, Mugda",1,1,5500,June,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/86839/bachelor
Room,Bachelor Room Rent,"Manda, Mugda",1,1,5500,June,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/86836/bachelor
Flat,Bachelor House Rent,"Manda, Mugda",2,1,3500,June,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/86025/bachelor
Seat,Bachelor Seat Rent,"Modinabag, Mugda",1,1,2250,June,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/85810/bachelor
Room,Bachelor Room Rent,"Manda, Mugda",1,1,5500,June,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/85744/bachelor
Room,Bachelor Room Rent,"Mugda, Dhaka",1,1,7000,July,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/85370/bachelor
Room,Bachelor Room Rent,"Mugda, Dhaka",1,1,4500,May,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/84896/bachelor
Seat,Bachelor Seat Rent,"Mugda, Dhaka",1,1,2500,May,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/84894/bachelor
Room,Bachelor Room Rent,"Manda, Mugda",1,1,3500,June,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/84689/bachelor
Room,Bachelor Room Rent,"Maniknagar, Mugda",1,1,6500,May,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/84374/bachelor
Seat,Bachelor Seat Rent,"Maniknagar, Mugda",1,1,2500,May,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/82867/bachelor
Room,Bachelor Room Rent,"Mugda, Dhaka",1,1,4500,April,Female,https://www.thetolet.com/bd/property-post/dhaka/mugda/82865/bachelor
Flat,Bachelor House Rent,"Manda, Mugda",1,1,5500,May,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/81544/bachelor
Flat,Bachelor House Rent,"Mugda, Dhaka",2,1,7500,May,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/80692/bachelor
Seat,Bachelor Seat Rent,"Mugda, Dhaka",1,1,2500,March,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/80690/bachelor
Room,Bachelor Room Rent,"Manda, Mugda",1,1,4000,March,Female,https://www.thetolet.com/bd/property-post/dhaka/mugda/79783/bachelor
Seat,Bachelor Seat Rent,"Maniknagar, Mugda",1,1,5500,March,Female,https://www.thetolet.com/bd/property-post/dhaka/mugda/78157/bachelor
Room,Bachelor Room Rent,"Manda, Mugda",1,1,2500,February,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/78017/bachelor
Seat,Bachelor Seat Rent,"Manda, Mugda",1,1,2700,February,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/77692/bachelor
Room,Bachelor Room Rent,"Mugda, Dhaka",1,1,5500,March,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/76943/bachelor
Seat,Bachelor Seat Rent,"Manda, Mugda",1,1,2000,February,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/76698/bachelor
Seat,Bachelor Seat Rent,"Mugda, Dhaka",1,1,1700,February,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/76114/bachelor
Seat,Bachelor Seat Rent,"Mugda, Dhaka",1,1,1400,February,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/76040/bachelor
Flat,Bachelor House Rent,"Mugda, Dhaka",1,1,6000,February,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/75072/bachelor
Seat,Bachelor Seat Rent,"Mugda, Dhaka",1,1,2000,January,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/75071/bachelor
Room,Bachelor Room Rent,"Mugda, Dhaka",1,1,4500,January,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/74877/bachelor
Seat,Bachelor Seat Rent,"Mugda, Dhaka",1,1,2500,January,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/74324/bachelor
Seat,Bachelor Seat Rent,"Mugda, Dhaka",1,1,2500,January,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/73787/bachelor
Seat,Bachelor Seat Rent,"Mugda, Dhaka",1,1,2500,January,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/73785/bachelor
Seat,Bachelor Seat Rent,"Manda, Mugda",1,1,1850,January,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/73462/bachelor
Room,Bachelor Room Rent,"Mugda, Dhaka",1,1,4000,January,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/73157/bachelor
Room,Bachelor Room Rent,"Manda, Mugda",1,1,6000,January,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/71840/bachelor
Room,Bachelor Room Rent,"Manda, Mugda",1,1,5000,December,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/71834/bachelor
Flat,Bachelor Flat Rent,"Manda, Mugda",2,1,7500,December,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/71512/bachelor
Seat,Bachelor Seat Rent,"Mugda, Dhaka",1,1,4000,December,Male,https://www.thetolet.com/bd/property-post/dhaka/mugda/70740/bachelor
