Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Seat,Bachelor Seat Rent,"New Market, Dhaka",1,1,3500,November,Male,https://www.thetolet.com/bd/property-post/dhaka/new-market/99573/bachelor
Seat,Bachelor Seat Rent,"Nilkhet, New Market",1,1,3700,October,Female,https://www.thetolet.com/bd/property-post/dhaka/new-market/98625/bachelor
Seat,Bachelor Seat Rent,"New Market, Dhaka",1,1,4200,October,Female,https://www.thetolet.com/bd/property-post/dhaka/new-market/98100/bachelor
Seat,Bachelor Seat Rent,"Nilkhet, New Market",1,1,4500,August,Female,https://www.thetolet.com/bd/property-post/dhaka/new-market/92986/bachelor
Seat,Bachelor Seat Rent,"Nilkhet, New Market",1,1,3220,August,Male,https://www.thetolet.com/bd/property-post/dhaka/new-market/92862/bachelor
Room,Bachelor Room Rent,"New Market, Dhaka",1,1,6500,August,Female,https://www.thetolet.com/bd/property-post/dhaka/new-market/92048/bachelor
Room,Bachelor Room Rent,"New Market, Dhaka",1,1,8000,July,Female,https://www.thetolet.com/bd/property-post/dhaka/new-market/88262/bachelor
Seat,Bachelor Seat Rent,"New Market, Dhaka",1,1,3500,July,Female,https://www.thetolet.com/bd/property-post/dhaka/new-market/88166/bachelor
Seat,Bachelor Seat Rent,"Nilkhet, New Market",1,1,3700,June,Female,https://www.thetolet.com/bd/property-post/dhaka/new-market/86012/bachelor
Seat,Bachelor Seat Rent,"Nilkhet, New Market",1,1,3700,May,Female,https://www.thetolet.com/bd/property-post/dhaka/new-market/83899/bachelor
Seat,Bachelor Seat Rent,"Nilkhet, New Market",1,1,3700,May,Female,https://www.thetolet.com/bd/property-post/dhaka/new-market/82166/bachelor
Seat,Bachelor Seat Rent,"New Market, Dhaka",1,1,2000,March,Male,https://www.thetolet.com/bd/property-post/dhaka/new-market/80452/bachelor
Seat,Bachelor Seat Rent,"Nilkhet, New Market",1,1,3700,February,Female,https://www.thetolet.com/bd/property-post/dhaka/new-market/78469/bachelor
Seat,Bachelor Seat Rent,"New Market, Dhaka",1,1,5000,January,Male,https://www.thetolet.com/bd/property-post/dhaka/new-market/73613/bachelor
Seat,Bachelor Seat Rent,"New Market, Dhaka",1,1,3000,November,Female,https://www.thetolet.com/bd/property-post/dhaka/new-market/70799/bachelor
Seat,Bachelor Seat Rent,"Nilkhet, New Market",1,1,3300,November,Male,https://www.thetolet.com/bd/property-post/dhaka/new-market/69525/bachelor
Seat,Bachelor Seat Rent,"New Market, Dhaka",1,1,3500,November,Female,https://www.thetolet.com/bd/property-post/dhaka/new-market/68602/bachelor
Seat,Bachelor Seat Rent,"New Market, Dhaka",1,1,5000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/new-market/68307/bachelor
Seat,Bachelor Seat Rent,"New Market, Dhaka",1,1,5000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/new-market/64118/bachelor
Room,Bachelor Room Rent,"New Market, Dhaka",1,1,3200,August,Female,https://www.thetolet.com/bd/property-post/dhaka/new-market/60733/bachelor
Seat,Bachelor Seat Rent,"New Market, Dhaka",1,1,1800,July,Male,https://www.thetolet.com/bd/property-post/dhaka/new-market/60573/bachelor
Seat,Bachelor Seat Rent,"Nilkhet, New Market",1,1,4500,June,Female,https://www.thetolet.com/bd/property-post/dhaka/new-market/56924/bachelor
Seat,Bachelor Seat Rent,"Nilkhet, New Market",1,1,4500,April,Male,https://www.thetolet.com/bd/property-post/dhaka/new-market/53358/bachelor
Seat,Bachelor Seat Rent,"New Market, Dhaka",1,1,3800,April,Male,https://www.thetolet.com/bd/property-post/dhaka/new-market/53356/bachelor
Seat,Bachelor Seat Rent,"New Market, Dhaka",1,1,3700,April,Female,https://www.thetolet.com/bd/property-post/dhaka/new-market/51989/bachelor
Seat,Bachelor Seat Rent,"New Market, Dhaka",1,1,4500,March,Female,https://www.thetolet.com/bd/property-post/dhaka/new-market/50284/bachelor
Seat,Bachelor Seat Rent,"New Market, Dhaka",1,1,3700,March,Female,https://www.thetolet.com/bd/property-post/dhaka/new-market/48903/bachelor
Seat,Bachelor Seat Rent,"New Market, Dhaka",1,1,3700,January,Female,https://www.thetolet.com/bd/property-post/dhaka/new-market/46202/bachelor
Seat,Bachelor Seat Rent,"New Market, Dhaka",1,1,3000,December,Male,https://www.thetolet.com/bd/property-post/dhaka/new-market/43817/bachelor
Seat,Bachelor Seat Rent,"New Market, Dhaka",1,1,3700,November,Female,https://www.thetolet.com/bd/property-post/dhaka/new-market/40144/bachelor
Seat,Bachelor Seat Rent,"New Market, Dhaka",1,1,3500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/new-market/38138/bachelor
Room,Bachelor Room Rent,"New Market, Dhaka",1,1,5000,July,Female,https://www.thetolet.com/bd/property-post/dhaka/new-market/32567/bachelor
Seat,Bachelor Seat Rent,"New Market, Dhaka",1,1,4500,July,Female,https://www.thetolet.com/bd/property-post/dhaka/new-market/32565/bachelor
Room,Bachelor Room Rent,"New Market, Dhaka",1,1,4000,July,Male,https://www.thetolet.com/bd/property-post/dhaka/new-market/32441/bachelor
Seat,Bachelor Seat Rent,"New Market, Dhaka",1,1,2700,June,Male,https://www.thetolet.com/bd/property-post/dhaka/new-market/32346/bachelor
Seat,Bachelor Seat Rent,"New Market, Dhaka",1,1,2000,June,Female,https://www.thetolet.com/bd/property-post/dhaka/new-market/32162/bachelor
Room,Bachelor Room Rent,"New Market, Dhaka",1,1,8000,June,Male,https://www.thetolet.com/bd/property-post/dhaka/new-market/32161/bachelor
Room,Bachelor Room Rent,"New Market, Dhaka",2,1,7000,June,Male,https://www.thetolet.com/bd/property-post/dhaka/new-market/32154/bachelor
Flat,Bachelor House Rent,"New Market, Dhaka",1,1,5000,April,Female,https://www.thetolet.com/bd/property-post/dhaka/new-market/30877/bachelor
