Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Seat,Bachelor Seat Rent,"Moghbazar, Ramna",1,1,2700,November,Male,https://www.thetolet.com/bd/property-post/dhaka/ramna/100267/bachelor
Room,Bachelor Room Rent,"Moghbazar, Ramna",1,1,6500,November,Female,https://www.thetolet.com/bd/property-post/dhaka/ramna/99503/bachelor
Seat,Bachelor Seat Rent,"Ramna, Dhaka",1,1,5300,October,Male,https://www.thetolet.com/bd/property-post/dhaka/ramna/99497/bachelor
Room,Bachelor Room Rent,"Moghbazar, Ramna",1,1,7500,November,Male,https://www.thetolet.com/bd/property-post/dhaka/ramna/98677/bachelor
Flat,Bachelor Flat Rent,"Moghbazar, Ramna",1,1,9000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/ramna/98453/bachelor
Room,Bachelor Room Rent,"Moghbazar, Ramna",1,1,11000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/ramna/98183/bachelor
Room,Bachelor Room Rent,"Moghbazar, Ramna",1,1,11000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/ramna/97381/bachelor
Seat,Bachelor Seat Rent,"Eskaton, Ramna",1,1,4000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/ramna/97379/bachelor
Seat,Bachelor Seat Rent,"Moghbazar, Ramna",1,1,1500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/ramna/97091/bachelor
Room,Bachelor Room Rent,"Moghbazar, Ramna",1,1,6500,November,Male,https://www.thetolet.com/bd/property-post/dhaka/ramna/96928/bachelor
Room,Bachelor Room Rent,"Moghbazar, Ramna",1,1,11000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/ramna/96615/bachelor
Seat,Bachelor Seat Rent,"Moghbazar, Ramna",1,1,2700,October,Male,https://www.thetolet.com/bd/property-post/dhaka/ramna/96613/bachelor
Seat,Bachelor Seat Rent,"Moghbazar, Ramna",1,1,2700,October,Male,https://www.thetolet.com/bd/property-post/dhaka/ramna/96349/bachelor
Seat,Bachelor Seat Rent,"Moghbazar, Ramna",1,1,2500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/ramna/95745/bachelor
Seat,Bachelor Seat Rent,"Nayatola, Ramna",1,1,2700,September,Male,https://www.thetolet.com/bd/property-post/dhaka/ramna/94936/bachelor
Seat,Bachelor Seat Rent,"Moghbazar, Ramna",1,1,2000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/ramna/94444/bachelor
Seat,Bachelor Seat Rent,"Moghbazar, Ramna",1,1,2500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/ramna/94441/bachelor
Seat,Bachelor Seat Rent,"Moghbazar, Ramna",1,1,4400,September,Male,https://www.thetolet.com/bd/property-post/dhaka/ramna/94385/bachelor
Seat,Bachelor Seat Rent,"Moghbazar, Ramna",1,1,2500,August,Female,https://www.thetolet.com/bd/property-post/dhaka/ramna/94380/bachelor
Seat,Bachelor Seat Rent,"Moghbazar, Ramna",1,1,5500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/ramna/94376/bachelor
Room,Bachelor Room Rent,"Nayatola, Ramna",1,1,9000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/ramna/93983/bachelor
Seat,Bachelor Seat Rent,"Nayatola, Ramna",1,1,4500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/ramna/93982/bachelor
Seat,Bachelor Seat Rent,"Moghbazar, Ramna",1,1,3700,August,Male,https://www.thetolet.com/bd/property-post/dhaka/ramna/93602/bachelor
Seat,Bachelor Seat Rent,"Moghbazar, Ramna",1,1,2835,September,Female,https://www.thetolet.com/bd/property-post/dhaka/ramna/93601/bachelor
Room,Bachelor Room Rent,"Moghbazar, Ramna",1,1,12500,August,Female,https://www.thetolet.com/bd/property-post/dhaka/ramna/93537/bachelor
Seat,Bachelor Seat Rent,"Nayatola, Ramna",1,1,2700,August,Male,https://www.thetolet.com/bd/property-post/dhaka/ramna/93155/bachelor
Seat,Bachelor Seat Rent,"Moghbazar, Ramna",1,1,3100,August,Female,https://www.thetolet.com/bd/property-post/dhaka/ramna/92933/bachelor
Seat,Bachelor Seat Rent,"Moghbazar, Ramna",1,1,3000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/ramna/92887/bachelor
Room,Bachelor Room Rent,"Moghbazar, Ramna",1,1,5700,August,Male,https://www.thetolet.com/bd/property-post/dhaka/ramna/92400/bachelor
Seat,Bachelor Seat Rent,"Moghbazar, Ramna",1,1,3250,August,Male,https://www.thetolet.com/bd/property-post/dhaka/ramna/92398/bachelor
Seat,Bachelor Seat Rent,"Moghbazar, Ramna",1,1,5000,July,Male,https://www.thetolet.com/bd/property-post/dhaka/ramna/92265/bachelor
Seat,Bachelor Seat Rent,"Moghbazar, Ramna",1,1,3500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/ramna/92205/bachelor
Seat,Bachelor Seat Rent,"Moghbazar, Ramna",1,1,3000,July,Male,https://www.thetolet.com/bd/property-post/dhaka/ramna/90943/bachelor
Seat,Bachelor Seat Rent,"Eskaton, Ramna",1,1,2500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/ramna/90844/bachelor
Seat,Bachelor Seat Rent,"Moghbazar, Ramna",1,1,5500,August,Female,https://www.thetolet.com/bd/property-post/dhaka/ramna/90843/bachelor
Room,Bachelor Room Rent,"Moghbazar, Ramna",1,1,12500,July,Male,https://www.thetolet.com/bd/property-post/dhaka/ramna/90688/bachelor
Seat,Bachelor Seat Rent,"Moghbazar, Ramna",1,1,3500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/ramna/90481/bachelor
Seat,Bachelor Seat Rent,"Eskaton, Ramna",1,1,3200,August,Male,https://www.thetolet.com/bd/property-post/dhaka/ramna/90290/bachelor
Seat,Bachelor Seat Rent,"Moghbazar, Ramna",1,1,3000,July,Female,https://www.thetolet.com/bd/property-post/dhaka/ramna/89727/bachelor
Seat,Bachelor Seat Rent,"Ramna, Dhaka",1,1,8000,July,Male,https://www.thetolet.com/bd/property-post/dhaka/ramna/89724/bachelor
