Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Seat,Bachelor Seat Rent,"South Banasree, Rampura",1,1,2500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/100471/bachelor
Seat,Bachelor Seat Rent,"Banasree, Rampura",1,1,2500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/100439/bachelor
Seat,Bachelor Seat Rent,"Banasree, Rampura",1,1,2400,November,Female,https://www.thetolet.com/bd/property-post/dhaka/rampura/100355/bachelor
Room,Bachelor Room Rent,"East Rampura, Rampura",2,1,6500,November,Female,https://www.thetolet.com/bd/property-post/dhaka/rampura/100286/bachelor
Seat,Bachelor Seat Rent,"East Rampura, Rampura",1,1,2000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/100232/bachelor
Seat,Bachelor Seat Rent,"South Banasree, Rampura",1,1,5000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/100187/bachelor
Seat,Bachelor Seat Rent,"Banasree, Rampura",1,1,2200,November,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/99967/bachelor
Seat,Bachelor Seat Rent,"South Banasree, Rampura",1,1,3600,October,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/99913/bachelor
Room,Bachelor Room Rent,"Banasree, Rampura",1,1,2600,October,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/99799/bachelor
Seat,Bachelor Seat Rent,"Banasree, Rampura",1,1,3300,November,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/99723/bachelor
Seat,Bachelor Seat Rent,"Banasree, Rampura",1,1,3150,October,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/99694/bachelor
Room,Bachelor Room Rent,"Banasree, Rampura",1,1,6000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/99472/bachelor
Seat,Bachelor Seat Rent,"Banasree, Rampura",1,1,3000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/99441/bachelor
Seat,Bachelor Seat Rent,"Banasree, Rampura",1,1,3000,October,Female,https://www.thetolet.com/bd/property-post/dhaka/rampura/99440/bachelor
Room,Bachelor Room Rent,"Rampura, Dhaka",1,1,8500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/99217/bachelor
Seat,Bachelor Seat Rent,"Rampura, Dhaka",1,1,2800,October,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/99216/bachelor
Seat,Bachelor Seat Rent,"Rampura, Dhaka",1,1,2800,October,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/99215/bachelor
Seat,Bachelor Seat Rent,"Rampura, Dhaka",1,1,2800,October,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/99214/bachelor
Seat,Bachelor Seat Rent,"Rampura, Dhaka",1,1,2800,October,Female,https://www.thetolet.com/bd/property-post/dhaka/rampura/99213/bachelor
Seat,Bachelor Seat Rent,"Rampura, Dhaka",1,1,3500,October,Female,https://www.thetolet.com/bd/property-post/dhaka/rampura/99212/bachelor
Seat,Bachelor Seat Rent,"Rampura, Dhaka",1,1,3500,October,Female,https://www.thetolet.com/bd/property-post/dhaka/rampura/99211/bachelor
Seat,Bachelor Seat Rent,"Rampura, Dhaka",1,1,3500,October,Female,https://www.thetolet.com/bd/property-post/dhaka/rampura/99210/bachelor
Seat,Bachelor Seat Rent,"South Banasree, Rampura",1,1,3500,October,Anyone,https://www.thetolet.com/bd/property-post/dhaka/rampura/99206/bachelor
Seat,Bachelor Seat Rent,"Banasree, Rampura",1,1,2100,October,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/99124/bachelor
Seat,Bachelor Seat Rent,"Banasree, Rampura",1,1,2100,October,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/99098/bachelor
Seat,Bachelor Seat Rent,"Banasree, Rampura",1,1,2734,November,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/99003/bachelor
Seat,Bachelor Seat Rent,"Banasree, Rampura",1,1,3000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/98972/bachelor
Seat,Bachelor Seat Rent,"Banasree, Rampura",1,1,3000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/98970/bachelor
Room,Bachelor Room Rent,"Rampura, Dhaka",1,1,9000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/98850/bachelor
Seat,Bachelor Seat Rent,"Banasree, Rampura",1,1,2200,October,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/98840/bachelor
Seat,Bachelor Seat Rent,"Banasree, Rampura",1,1,2200,October,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/98675/bachelor
Seat,Bachelor Seat Rent,"South Banasree, Rampura",1,1,2200,October,Female,https://www.thetolet.com/bd/property-post/dhaka/rampura/98673/bachelor
Seat,Bachelor Seat Rent,"East Rampura, Rampura",1,1,3300,October,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/98477/bachelor
Seat,Bachelor Seat Rent,"Banasree, Rampura",1,1,2000,October,Female,https://www.thetolet.com/bd/property-post/dhaka/rampura/98466/bachelor
Room,Bachelor Room Rent,"Banasree, Rampura",2,1,5500,October,Female,https://www.thetolet.com/bd/property-post/dhaka/rampura/98458/bachelor
Room,Bachelor Room Rent,"West Rampura, Rampura",1,1,7000,October,Female,https://www.thetolet.com/bd/property-post/dhaka/rampura/98457/bachelor
Room,Bachelor Room Rent,"West Rampura, Rampura",1,1,7000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/98456/bachelor
Seat,Bachelor Seat Rent,"Banasree, Rampura",1,1,2800,October,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/98455/bachelor
Room,Bachelor Room Rent,"South Banasree, Rampura",1,1,8000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/98454/bachelor
Room,Bachelor Room Rent,"South Banasree, Rampura",1,1,8000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/98450/bachelor
Room,Bachelor Room Rent,"Banasree, Rampura",1,1,5500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/98284/bachelor
Seat,Bachelor Seat Rent,"Banasree, Rampura",1,1,2800,October,Female,https://www.thetolet.com/bd/property-post/dhaka/rampura/98226/bachelor
Room,Bachelor Room Rent,"East Rampura, Rampura",1,1,7000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/98223/bachelor
Seat,Bachelor Seat Rent,"Banasree, Rampura",1,1,3000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/98222/bachelor
Seat,Bachelor Seat Rent,"Banasree, Rampura",1,1,3000,October,Female,https://www.thetolet.com/bd/property-post/dhaka/rampura/98221/bachelor
Seat,Bachelor Seat Rent,"Banasree, Rampura",2,1,7000,October,Female,https://www.thetolet.com/bd/property-post/dhaka/rampura/98220/bachelor
Seat,Bachelor Seat Rent,"Banasree, Rampura",2,1,7000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/98205/bachelor
Room,Bachelor Room Rent,"West Rampura, Rampura",1,1,7500,November,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/98186/bachelor
Seat,Bachelor Seat Rent,"East Rampura, Rampura",1,1,3500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/98145/bachelor
Seat,Bachelor Seat Rent,"Banasree, Rampura",1,1,3000,October,Female,https://www.thetolet.com/bd/property-post/dhaka/rampura/98087/bachelor
Seat,Bachelor Seat Rent,"Banasree, Rampura",1,1,4300,October,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/98035/bachelor
Room,Bachelor Room Rent,"South Banasree, Rampura",1,1,5000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/97544/bachelor
Seat,Bachelor Seat Rent,"South Banasree, Rampura",1,1,2200,October,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/97494/bachelor
Seat,Bachelor Seat Rent,"South Banasree, Rampura",1,1,3100,October,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/97384/bachelor
Seat,Bachelor Seat Rent,"Rampura, Dhaka",1,1,2100,October,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/97348/bachelor
Seat,Bachelor Seat Rent,"Banasree, Rampura",1,1,3000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/97295/bachelor
Room,Bachelor Room Rent,"South Banasree, Rampura",1,1,5500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/97287/bachelor
Seat,Bachelor Seat Rent,"Banasree, Rampura",1,1,3500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/97285/bachelor
Seat,Bachelor Seat Rent,"Banasree, Rampura",1,1,2600,October,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/97284/bachelor
Seat,Bachelor Seat Rent,"Banasree, Rampura",1,1,3100,October,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/97283/bachelor
Seat,Bachelor Seat Rent,"Banasree, Rampura",1,1,3133,October,Male,https://www.thetolet.com/bd/property-post/dhaka/rampura/97227/bachelor
