Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Room,Bachelor Room Rent,"Shahbag, Dhaka",3,3,2000,October,Female,https://www.thetolet.com/bd/property-post/dhaka/shahbag/96943/bachelor
Room,Bachelor Room Rent,"Shahbag, Dhaka",1,1,9000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/shahbag/92110/bachelor
Seat,Bachelor Seat Rent,"Shahbag, Dhaka",1,1,6000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/shahbag/90019/bachelor
Room,Bachelor Room Rent,"Shahbag, Dhaka",1,1,12000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/shahbag/88286/bachelor
Room,Bachelor Room Rent,"Shahbag, Dhaka",1,1,13500,July,Male,https://www.thetolet.com/bd/property-post/dhaka/shahbag/79940/bachelor
Seat,Bachelor Seat Rent,"Shahbag, Dhaka",1,1,4500,March,Male,https://www.thetolet.com/bd/property-post/dhaka/shahbag/77372/bachelor
Room,Bachelor Room Rent,"Shahbag, Dhaka",1,1,12000,February,Male,https://www.thetolet.com/bd/property-post/dhaka/shahbag/77328/bachelor
Seat,Bachelor Seat Rent,"Shahbag, Dhaka",1,1,4500,February,Female,https://www.thetolet.com/bd/property-post/dhaka/shahbag/75623/bachelor
Room,Bachelor Room Rent,"Shahbag, Dhaka",1,1,12000,February,Female,https://www.thetolet.com/bd/property-post/dhaka/shahbag/73770/bachelor
Seat,Bachelor Seat Rent,"Shahbag, Dhaka",1,1,5000,January,Female,https://www.thetolet.com/bd/property-post/dhaka/shahbag/73769/bachelor
Seat,Bachelor Seat Rent,"Shahbag, Dhaka",1,1,6200,January,Male,https://www.thetolet.com/bd/property-post/dhaka/shahbag/71693/bachelor
Seat,Bachelor Seat Rent,"Shahbag, Dhaka",1,1,4000,December,Male,https://www.thetolet.com/bd/property-post/dhaka/shahbag/69840/bachelor
Room,Bachelor Room Rent,"Shahbag, Dhaka",1,1,13000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/shahbag/69838/bachelor
Seat,Bachelor Seat Rent,"Shahbag, Dhaka",1,1,4000,November,Female,https://www.thetolet.com/bd/property-post/dhaka/shahbag/51169/bachelor
Seat,Bachelor Seat Rent,"Shahbag, Dhaka",1,1,4700,March,Male,https://www.thetolet.com/bd/property-post/dhaka/shahbag/50268/bachelor
Seat,Bachelor Seat Rent,"Shahbag, Dhaka",1,1,3750,March,Male,https://www.thetolet.com/bd/property-post/dhaka/shahbag/43255/bachelor
Seat,Bachelor Seat Rent,"Shahbag, Dhaka",1,1,3250,December,Male,https://www.thetolet.com/bd/property-post/dhaka/shahbag/41315/bachelor
Seat,Bachelor Seat Rent,"Shahbag, Dhaka",1,1,5500,December,Male,https://www.thetolet.com/bd/property-post/dhaka/shahbag/41313/bachelor
Seat,Bachelor Seat Rent,"Shahbag, Dhaka",1,1,2500,November,Male,https://www.thetolet.com/bd/property-post/dhaka/shahbag/38014/bachelor
Seat,Bachelor Seat Rent,"Shahbag, Dhaka",1,1,5000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/shahbag/36800/bachelor
Seat,Bachelor Seat Rent,"Shahbag, Dhaka",1,1,4350,September,Male,https://www.thetolet.com/bd/property-post/dhaka/shahbag/36067/bachelor
Seat,Bachelor Seat Rent,"Shahbag, Dhaka",1,1,5000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/shahbag/35896/bachelor
Seat,Bachelor Seat Rent,"Shahbag, Dhaka",1,1,7000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/shahbag/35740/bachelor
Seat,Bachelor Seat Rent,"Shahbag, Dhaka",1,1,7000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/shahbag/34934/bachelor
Seat,Bachelor Seat Rent,"Shahbag, Dhaka",1,1,3000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/shahbag/34933/bachelor
Seat,Bachelor Seat Rent,"Shahbag, Dhaka",1,1,5000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/shahbag/34431/bachelor
Seat,Bachelor Seat Rent,"Shahbag, Dhaka",2,2,3000,August,Female,https://www.thetolet.com/bd/property-post/dhaka/shahbag/33850/bachelor
Seat,Bachelor Seat Rent,"Shahbag, Dhaka",1,1,4000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/shahbag/33274/bachelor
Room,Bachelor Room Rent,"Shahbag, Dhaka",1,1,8500,August,Female,https://www.thetolet.com/bd/property-post/dhaka/shahbag/33148/bachelor
Seat,Bachelor Seat Rent,"Shahbag, Dhaka",1,1,2800,July,Male,https://www.thetolet.com/bd/property-post/dhaka/shahbag/32972/bachelor
Seat,Bachelor Seat Rent,"Shahbag, Dhaka",1,1,4500,July,Anyone,https://www.thetolet.com/bd/property-post/dhaka/shahbag/7433/bachelor
