Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Seat,Bachelor Seat Rent,"Malibag, Shahjahanpur",1,1,4000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/100650/bachelor
Seat,Bachelor Seat Rent,"Shantibag, Shahjahanpur",1,1,3000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/100572/bachelor
Room,Bachelor Room Rent,"Gulbagh, Shahjahanpur",1,1,9000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/100317/bachelor
Seat,Bachelor Seat Rent,"Malibag, Shahjahanpur",1,1,3000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/100269/bachelor
Seat,Bachelor Seat Rent,"Shantibag, Shahjahanpur",1,1,4000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/100266/bachelor
Seat,Bachelor Seat Rent,"Gulbagh, Shahjahanpur",1,1,2800,October,Female,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/100048/bachelor
Seat,Bachelor Seat Rent,"Mouchak, Shahjahanpur",1,1,1850,October,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/100036/bachelor
Seat,Bachelor Seat Rent,"Malibag, Shahjahanpur",1,1,3300,November,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/100006/bachelor
Room,Bachelor Room Rent,"Shantibag, Shahjahanpur",1,1,8500,October,Female,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/99720/bachelor
Room,Bachelor Room Rent,"Gulbagh, Shahjahanpur",1,1,9000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/99686/bachelor
Room,Bachelor Room Rent,"Malibag, Shahjahanpur",1,1,8500,November,Female,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/99670/bachelor
Seat,Bachelor Seat Rent,"Malibag, Shahjahanpur",1,1,2700,November,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/99647/bachelor
Room,Bachelor Room Rent,"Shahjahanpur, Dhaka",1,1,9000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/99580/bachelor
Seat,Bachelor Seat Rent,"Malibag, Shahjahanpur",1,1,4000,October,Female,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/99321/bachelor
Seat,Bachelor Seat Rent,"Shantibag, Shahjahanpur",1,1,2600,October,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/98864/bachelor
Room,Bachelor Room Rent,"Malibag, Shahjahanpur",1,1,3400,October,Female,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/98747/bachelor
Room,Bachelor Room Rent,"Mouchak, Shahjahanpur",1,1,5000,October,Female,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/98681/bachelor
Seat,Bachelor Seat Rent,"Shantibag, Shahjahanpur",1,1,3000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/98648/bachelor
Seat,Bachelor Seat Rent,"Malibag, Shahjahanpur",1,1,3500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/98607/bachelor
Seat,Bachelor Seat Rent,"Malibag, Shahjahanpur",1,1,3000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/98125/bachelor
Seat,Bachelor Seat Rent,"Malibag, Shahjahanpur",1,1,3100,October,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/98109/bachelor
Seat,Bachelor Seat Rent,"Malibag, Shahjahanpur",1,1,4500,November,Female,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/97947/bachelor
Room,Bachelor Room Rent,"Malibag, Shahjahanpur",1,1,8000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/97762/bachelor
Seat,Bachelor Seat Rent,"Mouchak, Shahjahanpur",1,1,4200,October,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/97669/bachelor
Seat,Bachelor Seat Rent,"Shantibag, Shahjahanpur",1,1,2000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/97383/bachelor
Room,Bachelor Room Rent,"Gulbagh, Shahjahanpur",1,1,9000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/97380/bachelor
Seat,Bachelor Seat Rent,"Malibag, Shahjahanpur",1,1,3500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/97378/bachelor
Seat,Bachelor Seat Rent,"Malibag, Shahjahanpur",1,1,3750,November,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/97367/bachelor
Seat,Bachelor Seat Rent,"Malibag, Shahjahanpur",1,1,3000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/97366/bachelor
Seat,Bachelor Seat Rent,"Shantibag, Shahjahanpur",1,1,3000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/97365/bachelor
Seat,Bachelor Seat Rent,"Mouchak, Shahjahanpur",1,1,4800,September,Female,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/97330/bachelor
Seat,Bachelor Seat Rent,"Malibag, Shahjahanpur",1,1,4500,October,Female,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/97223/bachelor
Seat,Bachelor Seat Rent,"Mouchak, Shahjahanpur",1,1,6600,September,Female,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/97222/bachelor
Room,Bachelor Room Rent,"Malibag, Shahjahanpur",1,1,9000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/97090/bachelor
Seat,Bachelor Seat Rent,"Siddheswari, Shahjahanpur",1,1,3500,September,Female,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/96733/bachelor
Seat,Bachelor Seat Rent,"Malibag, Shahjahanpur",1,1,2700,October,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/96650/bachelor
Seat,Bachelor Seat Rent,"Gulbagh, Shahjahanpur",1,1,3400,September,Female,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/96648/bachelor
Seat,Bachelor Seat Rent,"Malibag, Shahjahanpur",1,1,3500,October,Female,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/96646/bachelor
Seat,Bachelor Seat Rent,"Malibag, Shahjahanpur",1,1,3500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/96645/bachelor
Seat,Bachelor Seat Rent,"Malibag, Shahjahanpur",1,1,3000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/96643/bachelor
Seat,Bachelor Seat Rent,"Malibag, Shahjahanpur",1,1,3500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/96642/bachelor
Seat,Bachelor Seat Rent,"Malibag, Shahjahanpur",1,1,3000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/96629/bachelor
Seat,Bachelor Seat Rent,"Malibag, Shahjahanpur",1,1,2600,September,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/96536/bachelor
Seat,Bachelor Seat Rent,"Malibag, Shahjahanpur",1,1,3500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/96009/bachelor
Room,Bachelor Room Rent,"Malibag, Shahjahanpur",1,1,4500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/95695/bachelor
Seat,Bachelor Seat Rent,"Gulbagh, Shahjahanpur",1,1,2000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/95594/bachelor
Seat,Bachelor Seat Rent,"Malibag, Shahjahanpur",1,1,4500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/95315/bachelor
Seat,Bachelor Seat Rent,"Shahjahanpur, Dhaka",1,1,3200,September,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/95180/bachelor
Seat,Bachelor Seat Rent,"Malibag, Shahjahanpur",1,1,2000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/94938/bachelor
Seat,Bachelor Seat Rent,"Siddheswari, Shahjahanpur",1,1,3800,September,Female,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/94935/bachelor
Seat,Bachelor Seat Rent,"Mouchak, Shahjahanpur",1,1,4000,September,Female,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/94833/bachelor
Room,Bachelor Room Rent,"Mouchak, Shahjahanpur",1,1,3340,September,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/94745/bachelor
Seat,Bachelor Seat Rent,"Mouchak, Shahjahanpur",1,1,4000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/shahjahanpur/94605/bachelor
