Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Seat,Bachelor Seat Rent,"Agargaon, Sher-E-Bangla Nagar",1,1,3000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/sherebanglanagar/99840/bachelor
Seat,Bachelor Seat Rent,"Agargaon, Sher-E-Bangla Nagar",1,1,3750,November,Female,https://www.thetolet.com/bd/property-post/dhaka/sherebanglanagar/99502/bachelor
Room,Bachelor Room Rent,"Sher-E-Bangla Nagar, Dhaka",1,1,4000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/sherebanglanagar/98792/bachelor
Seat,Bachelor Seat Rent,"Sher-E-Bangla Nagar, Dhaka",1,1,3300,October,Male,https://www.thetolet.com/bd/property-post/dhaka/sherebanglanagar/98690/bachelor
Seat,Bachelor Seat Rent,"Agargaon, Sher-E-Bangla Nagar",1,1,3000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/sherebanglanagar/97577/bachelor
Seat,Bachelor Seat Rent,"Agargaon, Sher-E-Bangla Nagar",1,1,3000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/sherebanglanagar/96659/bachelor
Seat,Bachelor Seat Rent,"Agargaon, Sher-E-Bangla Nagar",1,1,3000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/sherebanglanagar/93866/bachelor
Seat,Bachelor Seat Rent,"Agargaon, Sher-E-Bangla Nagar",1,1,3400,August,Male,https://www.thetolet.com/bd/property-post/dhaka/sherebanglanagar/93009/bachelor
Seat,Bachelor Seat Rent,"Agargaon, Sher-E-Bangla Nagar",1,1,2750,September,Male,https://www.thetolet.com/bd/property-post/dhaka/sherebanglanagar/92666/bachelor
Seat,Bachelor Seat Rent,"Agargaon, Sher-E-Bangla Nagar",1,1,4000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/sherebanglanagar/91166/bachelor
Seat,Bachelor Seat Rent,"Agargaon, Sher-E-Bangla Nagar",1,1,300,July,Male,https://www.thetolet.com/bd/property-post/dhaka/sherebanglanagar/91100/bachelor
Seat,Bachelor Seat Rent,"Agargaon, Sher-E-Bangla Nagar",1,1,2100,July,Male,https://www.thetolet.com/bd/property-post/dhaka/sherebanglanagar/90590/bachelor
Room,Bachelor Room Rent,"Agargaon, Sher-E-Bangla Nagar",1,1,6500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/sherebanglanagar/89532/bachelor
Room,Bachelor Room Rent,"Agargaon, Sher-E-Bangla Nagar",1,1,9000,July,Male,https://www.thetolet.com/bd/property-post/dhaka/sherebanglanagar/87768/bachelor
Seat,Bachelor Seat Rent,"Agargaon, Sher-E-Bangla Nagar",1,1,3550,June,Male,https://www.thetolet.com/bd/property-post/dhaka/sherebanglanagar/87728/bachelor
Seat,Bachelor Seat Rent,"Agargaon, Sher-E-Bangla Nagar",1,1,3250,July,Male,https://www.thetolet.com/bd/property-post/dhaka/sherebanglanagar/87634/bachelor
Seat,Bachelor Seat Rent,"Agargaon, Sher-E-Bangla Nagar",1,1,1500,June,Male,https://www.thetolet.com/bd/property-post/dhaka/sherebanglanagar/86828/bachelor
Seat,Bachelor Seat Rent,"Agargaon, Sher-E-Bangla Nagar",1,1,1960,June,Male,https://www.thetolet.com/bd/property-post/dhaka/sherebanglanagar/86295/bachelor
Seat,Bachelor Seat Rent,"Agargaon, Sher-E-Bangla Nagar",1,1,1900,June,Male,https://www.thetolet.com/bd/property-post/dhaka/sherebanglanagar/85769/bachelor
Room,Bachelor Room Rent,"Agargaon, Sher-E-Bangla Nagar",1,1,7000,June,Male,https://www.thetolet.com/bd/property-post/dhaka/sherebanglanagar/83294/bachelor
Room,Bachelor Room Rent,"Agargaon, Sher-E-Bangla Nagar",1,1,7600,May,Male,https://www.thetolet.com/bd/property-post/dhaka/sherebanglanagar/82570/bachelor
Seat,Bachelor Seat Rent,"Agargaon, Sher-E-Bangla Nagar",1,1,2300,April,Male,https://www.thetolet.com/bd/property-post/dhaka/sherebanglanagar/82233/bachelor
Seat,Bachelor Seat Rent,"Agargaon, Sher-E-Bangla Nagar",1,1,2500,May,Male,https://www.thetolet.com/bd/property-post/dhaka/sherebanglanagar/81694/bachelor
Seat,Bachelor Seat Rent,"Agargaon, Sher-E-Bangla Nagar",1,1,3400,April,Male,https://www.thetolet.com/bd/property-post/dhaka/sherebanglanagar/81332/bachelor
Seat,Bachelor Seat Rent,"Agargaon, Sher-E-Bangla Nagar",1,1,2500,April,Male,https://www.thetolet.com/bd/property-post/dhaka/sherebanglanagar/81206/bachelor
Seat,Bachelor Seat Rent,"Agargaon, Sher-E-Bangla Nagar",1,1,2600,April,Male,https://www.thetolet.com/bd/property-post/dhaka/sherebanglanagar/81204/bachelor
Seat,Bachelor Seat Rent,"Agargaon, Sher-E-Bangla Nagar",1,1,3000,April,Male,https://www.thetolet.com/bd/property-post/dhaka/sherebanglanagar/81097/bachelor
Seat,Bachelor Seat Rent,"Agargaon, Sher-E-Bangla Nagar",1,1,2100,March,Male,https://www.thetolet.com/bd/property-post/dhaka/sherebanglanagar/80665/bachelor
Seat,Bachelor Seat Rent,"Agargaon, Sher-E-Bangla Nagar",1,1,2500,March,Male,https://www.thetolet.com/bd/property-post/dhaka/sherebanglanagar/80518/bachelor
