Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Room,Bachelor Room Rent,"Shamibag, Sutrapur",1,1,5000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/sutrapur/97372/bachelor
Seat,Bachelor Seat Rent,"Sutrapur, Dhaka",1,1,2000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/sutrapur/96013/bachelor
Seat,Bachelor Seat Rent,"Sutrapur, Dhaka",1,1,2500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/sutrapur/95558/bachelor
Seat,Bachelor Seat Rent,"Sutrapur, Dhaka",1,1,1800,September,Male,https://www.thetolet.com/bd/property-post/dhaka/sutrapur/95519/bachelor
Flat,Bachelor House Rent,"Sutrapur, Dhaka",1,1,7000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/sutrapur/94419/bachelor
Seat,Bachelor Seat Rent,"Sutrapur, Dhaka",1,1,2000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/sutrapur/93948/bachelor
Seat,Bachelor Seat Rent,"Shamibag, Sutrapur",1,1,2333,September,Male,https://www.thetolet.com/bd/property-post/dhaka/sutrapur/93944/bachelor
Seat,Bachelor Seat Rent,"Sutrapur, Dhaka",1,1,2285,August,Male,https://www.thetolet.com/bd/property-post/dhaka/sutrapur/93830/bachelor
Seat,Bachelor Seat Rent,"Sutrapur, Dhaka",1,1,2285,August,Male,https://www.thetolet.com/bd/property-post/dhaka/sutrapur/92328/bachelor
Flat,Bachelor Flat Rent,"Sutrapur, Dhaka",3,2,17000,June,Female,https://www.thetolet.com/bd/property-post/dhaka/sutrapur/84355/bachelor
Seat,Bachelor Seat Rent,"Sutrapur, Dhaka",1,1,2400,March,Male,https://www.thetolet.com/bd/property-post/dhaka/sutrapur/80806/bachelor
Seat,Bachelor Seat Rent,"Sutrapur, Dhaka",1,1,3050,March,Male,https://www.thetolet.com/bd/property-post/dhaka/sutrapur/80612/bachelor
Seat,Bachelor Seat Rent,"Sutrapur, Dhaka",1,1,4200,October,Male,https://www.thetolet.com/bd/property-post/dhaka/sutrapur/39951/bachelor
Seat,Bachelor Seat Rent,"Sutrapur, Dhaka",1,1,2038,September,Female,https://www.thetolet.com/bd/property-post/dhaka/sutrapur/37772/bachelor
