Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Flat,Bachelor Flat Rent,"Nakhal Para, Tejgaon",1,1,2600,November,Male,https://www.thetolet.com/bd/property-post/dhaka/tejgaon/100655/bachelor
Seat,Bachelor Seat Rent,"Farmgate, Tejgaon",1,1,4500,November,Male,https://www.thetolet.com/bd/property-post/dhaka/tejgaon/100639/bachelor
Room,Bachelor Room Rent,"Nakhal Para, Tejgaon",1,1,7500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/tejgaon/100570/bachelor
Seat,Bachelor Seat Rent,"Raja Bazar, Tejgaon",1,1,3200,November,Male,https://www.thetolet.com/bd/property-post/dhaka/tejgaon/100476/bachelor
Seat,Bachelor Seat Rent,"Tejkuni Para, Tejgaon",1,1,2800,October,Male,https://www.thetolet.com/bd/property-post/dhaka/tejgaon/100474/bachelor
Seat,Bachelor Seat Rent,"West Rajarbazar, Tejgaon",1,1,3000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/tejgaon/100472/bachelor
Room,Bachelor Room Rent,"West Rajarbazar, Tejgaon",1,1,8000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/tejgaon/100372/bachelor
Seat,Bachelor Seat Rent,"Tejgaon, Dhaka",1,1,1450,October,Male,https://www.thetolet.com/bd/property-post/dhaka/tejgaon/100345/bachelor
Seat,Bachelor Seat Rent,"Tejgaon, Dhaka",1,1,3700,November,Male,https://www.thetolet.com/bd/property-post/dhaka/tejgaon/100167/bachelor
Seat,Bachelor Seat Rent,"Tejgaon, Dhaka",1,1,3700,November,Male,https://www.thetolet.com/bd/property-post/dhaka/tejgaon/100164/bachelor
Seat,Bachelor Seat Rent,"Raja Bazar, Tejgaon",1,1,3700,November,Male,https://www.thetolet.com/bd/property-post/dhaka/tejgaon/100162/bachelor
Room,Bachelor Room Rent,"Farmgate, Tejgaon",1,1,9000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/tejgaon/99955/bachelor
Seat,Bachelor Seat Rent,"Farmgate, Tejgaon",1,1,2900,November,Male,https://www.thetolet.com/bd/property-post/dhaka/tejgaon/99827/bachelor
Seat,Bachelor Seat Rent,"Raja Bazar, Tejgaon",1,1,5000,October,Female,https://www.thetolet.com/bd/property-post/dhaka/tejgaon/99823/bachelor
Room,Bachelor Room Rent,"Farmgate, Tejgaon",1,1,9000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/tejgaon/99734/bachelor
Seat,Bachelor Seat Rent,"Tejgaon, Dhaka",1,1,4000,October,Female,https://www.thetolet.com/bd/property-post/dhaka/tejgaon/99612/bachelor
Seat,Bachelor Seat Rent,"Nakhal Para, Tejgaon",1,1,2500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/tejgaon/99153/bachelor
Seat,Bachelor Seat Rent,"Shukrabad, Tejgaon",1,1,3200,November,Male,https://www.thetolet.com/bd/property-post/dhaka/tejgaon/98940/bachelor
