Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Seat,Bachelor Seat Rent,"Uttara, Dhaka",1,1,5000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/uttara/100790/bachelor
Seat,Bachelor Seat Rent,"Bamnartek, Uttara",1,1,2000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/uttara/100744/bachelor
Seat,Bachelor Seat Rent,"Sector 11, Uttara",1,1,2000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/uttara/100719/bachelor
Room,Bachelor Room Rent,"Sector 12, Uttara",1,1,8000,October,Female,https://www.thetolet.com/bd/property-post/dhaka/uttara/100322/bachelor
Seat,Bachelor Seat Rent,"Sector 12, Uttara",1,1,8000,November,Female,https://www.thetolet.com/bd/property-post/dhaka/uttara/100278/bachelor
Seat,Bachelor Seat Rent,"Sector 7, Uttara",1,1,4500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/uttara/100228/bachelor
Room,Bachelor Room Rent,"Sector 11, Uttara",1,1,15000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/uttara/100214/bachelor
Seat,Bachelor Seat Rent,"Sector 9, Uttara",1,1,2500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/uttara/100182/bachelor
Seat,Bachelor Seat Rent,"Sector 11, Uttara",1,1,5000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/uttara/100181/bachelor
Room,Bachelor Room Rent,"Rupayan City, Uttara",1,1,7500,November,Female,https://www.thetolet.com/bd/property-post/dhaka/uttara/99989/bachelor
Seat,Bachelor Seat Rent,"Sector 13, Uttara",1,1,4500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/uttara/99629/bachelor
Seat,Bachelor Seat Rent,"Sector 10, Uttara",3,2,3000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/uttara/99546/bachelor
Seat,Bachelor Seat Rent,"Sector 10, Uttara",1,1,3000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/uttara/99515/bachelor
Seat,Bachelor Seat Rent,"Uttara, Dhaka",1,1,3690,October,Male,https://www.thetolet.com/bd/property-post/dhaka/uttara/99508/bachelor
Seat,Bachelor Seat Rent,"Sector 11, Uttara",1,1,2500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/uttara/99362/bachelor
Seat,Bachelor Seat Rent,"Sector 10, Uttara",1,1,4000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/uttara/99177/bachelor
Room,Bachelor Room Rent,"Sector 11, Uttara",1,1,4000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/uttara/99113/bachelor
Seat,Bachelor Seat Rent,"Sector 9, Uttara",1,1,3700,October,Male,https://www.thetolet.com/bd/property-post/dhaka/uttara/98998/bachelor
Seat,Bachelor Seat Rent,"Uttara, Dhaka",1,1,4000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/uttara/98997/bachelor
Seat,Bachelor Seat Rent,"House Building, Uttara",1,1,2500,November,Male,https://www.thetolet.com/bd/property-post/dhaka/uttara/98883/bachelor
Room,Bachelor Room Rent,"Sector 11, Uttara",1,1,4500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/uttara/98882/bachelor
Seat,Bachelor Seat Rent,"Sector 10, Uttara",1,1,2800,October,Male,https://www.thetolet.com/bd/property-post/dhaka/uttara/98881/bachelor
Seat,Bachelor Seat Rent,"Sector 10, Uttara",1,1,4000,October,Female,https://www.thetolet.com/bd/property-post/dhaka/uttara/98879/bachelor
Room,Bachelor Room Rent,"Sector 12, Uttara",1,1,14000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/uttara/98798/bachelor
Seat,Bachelor Seat Rent,"Sector 10, Uttara",1,1,3000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/uttara/98774/bachelor
Seat,Bachelor Seat Rent,"Sector 10, Uttara",1,1,3000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/uttara/98773/bachelor
Seat,Bachelor Seat Rent,"Uttara, Dhaka",1,1,2300,October,Male,https://www.thetolet.com/bd/property-post/dhaka/uttara/98771/bachelor
Seat,Bachelor Seat Rent,"Sector 9, Uttara",1,1,2500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/uttara/98712/bachelor
