Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Seat,Bachelor Seat Rent,"Uttarkhan, Dhaka",1,1,2450,October,Male,https://www.thetolet.com/bd/property-post/dhaka/uttarkhan/99175/bachelor
Seat,Bachelor Seat Rent,"Uttarkhan, Dhaka",2,1,2000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/uttarkhan/95398/bachelor
Room,Bachelor Room Rent,"Uttarkhan, Dhaka",1,1,2300,September,Male,https://www.thetolet.com/bd/property-post/dhaka/uttarkhan/93975/bachelor
Room,Bachelor Room Rent,"Beparipara, Uttarkhan",1,1,3500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/uttarkhan/93238/bachelor
Room,Bachelor Room Rent,"Uttarkhan, Dhaka",1,1,4000,July,Female,https://www.thetolet.com/bd/property-post/dhaka/uttarkhan/87349/bachelor
Seat,Bachelor Seat Rent,"Uttarkhan, Dhaka",1,1,1450,June,Male,https://www.thetolet.com/bd/property-post/dhaka/uttarkhan/84845/bachelor
Room,Bachelor Room Rent,"Beparipara, Uttarkhan",1,1,3500,May,Male,https://www.thetolet.com/bd/property-post/dhaka/uttarkhan/84634/bachelor
Room,Bachelor Room Rent,"Uttarkhan, Dhaka",1,1,3500,March,Female,https://www.thetolet.com/bd/property-post/dhaka/uttarkhan/81483/bachelor
Room,Bachelor Room Rent,"Uttarkhan, Dhaka",1,1,3500,March,Female,https://www.thetolet.com/bd/property-post/dhaka/uttarkhan/78205/bachelor
Room,Bachelor Room Rent,"Uttarkhan, Dhaka",1,1,2500,January,Female,https://www.thetolet.com/bd/property-post/dhaka/uttarkhan/77087/bachelor
Seat,Bachelor Seat Rent,"Uttarkhan, Dhaka",1,1,1450,January,Male,https://www.thetolet.com/bd/property-post/dhaka/uttarkhan/76209/bachelor
Flat,Bachelor House Rent,"Uttarkhan, Dhaka",1,1,6000,November,Anyone,https://www.thetolet.com/bd/property-post/dhaka/uttarkhan/69989/bachelor
Room,Bachelor Room Rent,"Beparipara, Uttarkhan",1,1,3500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/uttarkhan/63996/bachelor
Room,Bachelor Room Rent,"Uttarkhan, Dhaka",1,1,6000,July,Male,https://www.thetolet.com/bd/property-post/dhaka/uttarkhan/61093/bachelor
Seat,Bachelor Seat Rent,"Uttarkhan, Dhaka",1,1,2600,July,Male,https://www.thetolet.com/bd/property-post/dhaka/uttarkhan/60941/bachelor
Room,Bachelor Room Rent,"Uttarkhan, Dhaka",1,1,3000,July,Male,https://www.thetolet.com/bd/property-post/dhaka/uttarkhan/60274/bachelor
Seat,Bachelor Seat Rent,"Uttarkhan, Dhaka",1,1,1750,July,Male,https://www.thetolet.com/bd/property-post/dhaka/uttarkhan/59979/bachelor
Flat,Bachelor Flat Rent,"Uttarkhan, Dhaka",1,1,6000,July,Male,https://www.thetolet.com/bd/property-post/dhaka/uttarkhan/57894/bachelor
Seat,Bachelor Seat Rent,"Beparipara, Uttarkhan",1,1,3250,June,Male,https://www.thetolet.com/bd/property-post/dhaka/uttarkhan/57693/bachelor
Seat,Bachelor Seat Rent,"Uttarkhan, Dhaka",1,1,1600,March,Male,https://www.thetolet.com/bd/property-post/dhaka/uttarkhan/50780/bachelor
Room,Bachelor Room Rent,"Uttarkhan, Dhaka",1,1,3000,January,Female,https://www.thetolet.com/bd/property-post/dhaka/uttarkhan/45880/bachelor
Room,Bachelor Room Rent,"Uttarkhan, Dhaka",1,1,5000,December,Male,https://www.thetolet.com/bd/property-post/dhaka/uttarkhan/44359/bachelor
Room,Bachelor Room Rent,"Uttarkhan, Dhaka",1,1,4500,November,Male,https://www.thetolet.com/bd/property-post/dhaka/uttarkhan/40888/bachelor
Room,Bachelor Room Rent,"Uttarkhan, Dhaka",2,2,6000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/uttarkhan/38348/bachelor
Room,Bachelor Room Rent,"Uttarkhan, Dhaka",2,1,5300,October,Female,https://www.thetolet.com/bd/property-post/dhaka/uttarkhan/38020/bachelor
Flat,Bachelor Flat Rent,"Uttarkhan, Dhaka",2,1,6500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/uttarkhan/35230/bachelor
Room,Bachelor Room Rent,"Uttarkhan, Dhaka",1,1,2500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/uttarkhan/34214/bachelor
Seat,Bachelor Seat Rent,"Uttarkhan, Dhaka",1,1,1300,July,Male,https://www.thetolet.com/bd/property-post/dhaka/uttarkhan/34213/bachelor
Room,Bachelor Room Rent,"Uttarkhan, Dhaka",1,1,5000,July,Female,https://www.thetolet.com/bd/property-post/dhaka/uttarkhan/32962/bachelor
Flat,Bachelor House Rent,"Uttarkhan, Dhaka",1,1,3500,November,Anyone,https://www.thetolet.com/bd/property-post/dhaka/uttarkhan/30083/bachelor
