Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Room,Bachelor Room Rent,"Bashundhara R.A, Vatara",1,1,12000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/100776/bachelor
Room,Bachelor Room Rent,"Bashundhara R.A, Vatara",1,1,5175,October,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/100718/bachelor
Room,Bachelor Room Rent,"Bashundhara R.A, Vatara",1,1,9250,December,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/100690/bachelor
Seat,Bachelor Seat Rent,"Kuril, Vatara",1,1,4000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/100689/bachelor
Seat,Bachelor Seat Rent,"Natun Bazar, Vatara",1,1,2600,November,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/100667/bachelor
Room,Bachelor Room Rent,"Natun Bazar, Vatara",1,1,3600,November,Female,https://www.thetolet.com/bd/property-post/dhaka/vatara/100664/bachelor
Seat,Bachelor Seat Rent,"Bashundhara R.A, Vatara",1,1,3500,December,Female,https://www.thetolet.com/bd/property-post/dhaka/vatara/100647/bachelor
Room,Bachelor Room Rent,"Vatara, Dhaka",1,1,12000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/100614/bachelor
Flat,Bachelor Apartment Rent,"Bashundhara R.A, Vatara",3,3,36000,October,Female,https://www.thetolet.com/bd/property-post/dhaka/vatara/100451/bachelor
Seat,Bachelor Seat Rent,"Sayeed Nagar, Vatara",1,1,2300,October,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/100445/bachelor
Room,Bachelor Room Rent,"Bashundhara R.A, Vatara",1,1,9500,November,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/100441/bachelor
Seat,Bachelor Seat Rent,"Bashundhara R.A, Vatara",1,1,3500,October,Female,https://www.thetolet.com/bd/property-post/dhaka/vatara/100420/bachelor
Room,Bachelor Room Rent,"Vatara, Dhaka",1,1,8000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/100358/bachelor
Seat,Bachelor Seat Rent,"Bashundhara R.A, Vatara",1,1,7000,November,Female,https://www.thetolet.com/bd/property-post/dhaka/vatara/100293/bachelor
Room,Bachelor Room Rent,"Bashundhara R.A, Vatara",1,1,11000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/100190/bachelor
Seat,Bachelor Seat Rent,"Bashundhara R.A, Vatara",1,1,6500,November,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/100189/bachelor
Room,Bachelor Room Rent,"Bashundhara R.A, Vatara",1,1,11000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/100035/bachelor
Room,Bachelor Room Rent,"Bashundhara R.A, Vatara",1,1,16000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/100026/bachelor
Room,Bachelor Room Rent,"Kuril, Vatara",1,1,13000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/100024/bachelor
Seat,Bachelor Seat Rent,"Bashundhara R.A, Vatara",1,1,3750,November,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/99824/bachelor
Seat,Bachelor Seat Rent,"Bashundhara R.A, Vatara",1,1,3750,November,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/99822/bachelor
Seat,Bachelor Seat Rent,"Natun Bazar, Vatara",1,1,2900,November,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/99766/bachelor
Room,Bachelor Room Rent,"Bashundhara R.A, Vatara",1,1,11000,November,Female,https://www.thetolet.com/bd/property-post/dhaka/vatara/99735/bachelor
Seat,Bachelor Seat Rent,"Nurer Chala, Vatara",1,1,2100,November,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/99716/bachelor
Room,Bachelor Room Rent,"Sayeed Nagar, Vatara",1,1,3000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/99713/bachelor
Room,Bachelor Room Rent,"Bashundhara R.A, Vatara",1,1,12500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/99693/bachelor
Room,Bachelor Room Rent,"Bashundhara R.A, Vatara",1,1,18000,November,Female,https://www.thetolet.com/bd/property-post/dhaka/vatara/99692/bachelor
Room,Bachelor Room Rent,"Bashundhara R.A, Vatara",1,1,8000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/99691/bachelor
Room,Bachelor Room Rent,"Kuril, Vatara",1,1,7000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/99690/bachelor
Room,Bachelor Room Rent,"Bashundhara R.A, Vatara",1,1,9000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/99689/bachelor
Room,Bachelor Room Rent,"Bashundhara R.A, Vatara",1,1,13500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/99688/bachelor
Room,Bachelor Room Rent,"Bashundhara R.A, Vatara",1,1,14000,December,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/99668/bachelor
Flat,Bachelor Flat Rent,"Bashundhara R.A, Vatara",1,1,14000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/99363/bachelor
Seat,Bachelor Seat Rent,"Bashundhara R.A, Vatara",1,1,3500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/99315/bachelor
Seat,Bachelor Seat Rent,"Sayeed Nagar, Vatara",1,1,3500,November,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/99306/bachelor
Seat,Bachelor Seat Rent,"Bashundhara R.A, Vatara",1,1,10000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/99268/bachelor
Seat,Bachelor Seat Rent,"Bashundhara R.A, Vatara",1,1,3000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/98994/bachelor
Seat,Bachelor Seat Rent,"Vatara, Dhaka",1,1,2000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/98969/bachelor
Room,Bachelor Room Rent,"Bashundhara R.A, Vatara",1,1,15000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/98952/bachelor
Seat,Bachelor Seat Rent,"Bashundhara R.A, Vatara",1,1,3500,November,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/98924/bachelor
Seat,Bachelor Seat Rent,"Bashundhara R.A, Vatara",1,1,3500,November,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/98923/bachelor
Seat,Bachelor Seat Rent,"Natun Bazar, Vatara",1,1,3010,November,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/98878/bachelor
Seat,Bachelor Seat Rent,"Vatara, Dhaka",1,1,2600,October,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/98877/bachelor
Seat,Bachelor Seat Rent,"Natun Bazar, Vatara",1,1,2600,November,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/98876/bachelor
Seat,Bachelor Seat Rent,"Kuril, Vatara",1,1,3200,November,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/98779/bachelor
Seat,Bachelor Seat Rent,"Bashundhara R.A, Vatara",1,1,8000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/98775/bachelor
Seat,Bachelor Seat Rent,"Bashundhara R.A, Vatara",1,1,2500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/98715/bachelor
Room,Bachelor Room Rent,"Bashundhara R.A, Vatara",1,1,6500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/98714/bachelor
Room,Bachelor Room Rent,"Bashundhara R.A, Vatara",1,1,6500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/98705/bachelor
Seat,Bachelor Seat Rent,"Kuril, Vatara",1,1,4750,October,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/98628/bachelor
Flat,Bachelor House Rent,"Bashundhara R.A, Vatara",2,2,11500,October,Anyone,https://www.thetolet.com/bd/property-post/dhaka/vatara/98590/bachelor
Seat,Bachelor Seat Rent,"100 Ft Rood, Vatara",1,1,2000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/98576/bachelor
Room,Bachelor Room Rent,"Bashundhara R.A, Vatara",1,1,6500,November,Female,https://www.thetolet.com/bd/property-post/dhaka/vatara/98575/bachelor
Seat,Bachelor Seat Rent,"Kuril, Vatara",1,1,3500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/98574/bachelor
Seat,Bachelor Seat Rent,"Natun Bazar, Vatara",1,1,5000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/98370/bachelor
Room,Bachelor Room Rent,"Bashundhara R.A, Vatara",1,1,6200,October,Female,https://www.thetolet.com/bd/property-post/dhaka/vatara/98369/bachelor
Seat,Bachelor Seat Rent,"Kuril, Vatara",1,1,2000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/98365/bachelor
Seat,Bachelor Seat Rent,"Bashundhara R.A, Vatara",1,1,4600,October,Female,https://www.thetolet.com/bd/property-post/dhaka/vatara/98311/bachelor
Seat,Bachelor Seat Rent,"Bashundhara R.A, Vatara",1,1,5500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/98259/bachelor
Room,Bachelor Room Rent,"Bashundhara R.A, Vatara",1,1,12500,October,Female,https://www.thetolet.com/bd/property-post/dhaka/vatara/98238/bachelor
Room,Bachelor Room Rent,"Bashundhara R.A, Vatara",1,1,8200,October,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/98204/bachelor
Room,Bachelor Room Rent,"Bashundhara R.A, Vatara",1,1,12500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/98203/bachelor
Room,Bachelor Room Rent,"Bashundhara R.A, Vatara",1,1,11000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/98202/bachelor
Room,Bachelor Room Rent,"Bashundhara R.A, Vatara",1,1,8000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/98201/bachelor
Seat,Bachelor Seat Rent,"Natun Bazar, Vatara",1,1,1750,October,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/98194/bachelor
Room,Bachelor Room Rent,"Natun Bazar, Vatara",1,1,8000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/98191/bachelor
Room,Bachelor Room Rent,"Nurer Chala, Vatara",1,1,5500,October,Female,https://www.thetolet.com/bd/property-post/dhaka/vatara/98190/bachelor
Room,Bachelor Room Rent,"Bashundhara R.A, Vatara",1,1,11000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/98118/bachelor
Room,Bachelor Room Rent,"Bashundhara R.A, Vatara",1,1,9500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/98045/bachelor
Room,Bachelor Room Rent,"Kuril, Vatara",1,1,5500,November,Male,https://www.thetolet.com/bd/property-post/dhaka/vatara/98033/bachelor
Room,Bachelor Room Rent,"Bashundhara R.A, Vatara",1,1,12500,October,Female,https://www.thetolet.com/bd/property-post/dhaka/vatara/98004/bachelor
