Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Seat,Bachelor Seat Rent,"Wari, Dhaka",1,1,2000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/100693/bachelor
Room,Bachelor Room Rent,"Tikatuli, Wari",1,1,2370,October,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/99078/bachelor
Room,Bachelor Room Rent,"Tikatuli, Wari",1,1,2370,October,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/99077/bachelor
Room,Bachelor Room Rent,"Sayedabad, Wari",1,1,7100,October,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/99034/bachelor
Seat,Bachelor Seat Rent,"Tikatuli, Wari",1,1,2370,October,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/98608/bachelor
Seat,Bachelor Seat Rent,"Narinda, Wari",1,1,2000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/97334/bachelor
Seat,Bachelor Seat Rent,"Tikatuli, Wari",1,1,2500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/97325/bachelor
Seat,Bachelor Seat Rent,"Narinda, Wari",1,1,2500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/95587/bachelor
Room,Bachelor Room Rent,"Wari, Dhaka",1,1,7500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/94108/bachelor
Seat,Bachelor Seat Rent,"Tikatuli, Wari",1,1,2000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/92385/bachelor
Seat,Bachelor Seat Rent,"Sayedabad, Wari",1,1,3000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/90865/bachelor
Seat,Bachelor Seat Rent,"Narinda, Wari",1,1,2250,July,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/90362/bachelor
Room,Bachelor Room Rent,"Sayedabad, Wari",1,1,5000,May,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/84712/bachelor
Seat,Bachelor Seat Rent,"Narinda, Wari",1,1,2250,May,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/84362/bachelor
Room,Bachelor Room Rent,"Tikatuli, Wari",1,1,7000,May,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/82340/bachelor
Seat,Bachelor Seat Rent,"Tikatuli, Wari",1,2,6500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/81926/bachelor
Seat,Bachelor Seat Rent,"Tikatuli, Wari",1,1,2200,March,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/80501/bachelor
Room,Bachelor Room Rent,"Tikatuli, Wari",1,1,8000,March,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/78179/bachelor
Seat,Bachelor Seat Rent,"Wari, Dhaka",1,1,2000,December,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/73033/bachelor
Seat,Bachelor Seat Rent,"Tikatuli, Wari",1,1,2350,January,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/71503/bachelor
Room,Bachelor Room Rent,"Tikatuli, Wari",1,1,10500,December,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/70794/bachelor
Room,Bachelor Room Rent,"Tikatuli, Wari",1,1,8000,December,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/70792/bachelor
Seat,Bachelor Seat Rent,"Wari, Dhaka",1,1,2400,November,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/70101/bachelor
Room,Bachelor Room Rent,"Tikatuli, Wari",1,1,6300,November,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/67766/bachelor
Room,Bachelor Room Rent,"Tikatuli, Wari",1,1,6000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/67481/bachelor
Seat,Bachelor Seat Rent,"Tikatuli, Wari",1,1,4000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/67223/bachelor
Seat,Bachelor Seat Rent,"Tikatuli, Wari",1,1,3000,June,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/58042/bachelor
Seat,Bachelor Seat Rent,"Tikatuli, Wari",1,1,3000,June,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/57524/bachelor
Room,Bachelor Room Rent,"Sayedabad, Wari",1,1,5000,June,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/56896/bachelor
Seat,Bachelor Seat Rent,"Tikatuli, Wari",1,1,3000,May,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/55690/bachelor
Room,Bachelor Room Rent,"Sayedabad, Wari",1,1,8000,May,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/55118/bachelor
Seat,Bachelor Seat Rent,"Tikatuli, Wari",1,1,2500,May,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/55040/bachelor
Room,Bachelor Room Rent,"Tikatuli, Wari",1,1,6000,May,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/53801/bachelor
Seat,Bachelor Seat Rent,"Tikatuli, Wari",1,1,3500,March,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/52132/bachelor
Room,Bachelor Room Rent,"Sayedabad, Wari",1,1,6000,March,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/50507/bachelor
Room,Bachelor Room Rent,"Tikatuli, Wari",1,1,5000,March,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/49898/bachelor
Seat,Bachelor Seat Rent,"Wari, Dhaka",1,1,2100,January,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/46032/bachelor
Room,Bachelor Room Rent,"Tikatuli, Wari",1,1,6800,November,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/39420/bachelor
Seat,Bachelor Seat Rent,"Wari, Dhaka",1,1,1800,October,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/38880/bachelor
Room,Bachelor Room Rent,"Wari, Dhaka",1,1,7000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/38346/bachelor
Seat,Bachelor Seat Rent,"Wari, Dhaka",1,1,2700,September,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/36193/bachelor
Seat,Bachelor Seat Rent,"Wari, Dhaka",1,1,2000,July,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/32805/bachelor
Flat,Bachelor House Rent,"Wari, Dhaka",1,1,1500,December,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/30336/bachelor
Flat,Bachelor House Rent,"Wari, Dhaka",1,1,4500,December,Male,https://www.thetolet.com/bd/property-post/dhaka/wari/30331/bachelor
