Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Room,Bachelor Room Rent,"Kafrul, Dhaka",1,1,9500,November,Female,https://www.thetolet.com/bd/property-post/dhaka/kafrul/95770/bachelor
Room,Bachelor Room Rent,"Kochukhet, Kafrul",1,1,7500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/kafrul/95236/bachelor
Seat,Bachelor Seat Rent,"Kochukhet, Kafrul",1,1,3500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/kafrul/94989/bachelor
Seat,Bachelor Seat Rent,"Kafrul, Dhaka",1,1,2500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/kafrul/94630/bachelor
Seat,Bachelor Seat Rent,"Kochukhet, Kafrul",1,1,3000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/kafrul/94336/bachelor
Seat,Bachelor Seat Rent,"Kochukhet, Kafrul",1,1,1900,September,Male,https://www.thetolet.com/bd/property-post/dhaka/kafrul/94335/bachelor
Room,Bachelor Room Rent,"Kafrul, Dhaka",1,1,4500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/kafrul/94168/bachelor
Seat,Bachelor Seat Rent,"Kafrul, Dhaka",1,1,3600,September,Male,https://www.thetolet.com/bd/property-post/dhaka/kafrul/93906/bachelor
Seat,Bachelor Seat Rent,"Kochukhet, Kafrul",1,1,2750,September,Male,https://www.thetolet.com/bd/property-post/dhaka/kafrul/93904/bachelor
Seat,Bachelor Seat Rent,"Kafrul, Dhaka",1,1,4000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/kafrul/93888/bachelor
Room,Bachelor Room Rent,"Kochukhet, Kafrul",1,1,5000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/kafrul/93242/bachelor
Seat,Bachelor Seat Rent,"Kochukhet, Kafrul",1,1,3000,August,Female,https://www.thetolet.com/bd/property-post/dhaka/kafrul/92372/bachelor
Room,Bachelor Room Rent,"Kochukhet, Kafrul",1,1,7500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/kafrul/90625/bachelor
Seat,Bachelor Seat Rent,"Mohakhali DOHS, Kafrul",1,1,5800,August,Male,https://www.thetolet.com/bd/property-post/dhaka/kafrul/90433/bachelor
Seat,Bachelor Seat Rent,"Kafrul, Dhaka",1,1,1535,August,Male,https://www.thetolet.com/bd/property-post/dhaka/kafrul/89355/bachelor
Seat,Bachelor Seat Rent,"Kochukhet, Kafrul",1,1,3500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/kafrul/89250/bachelor
Seat,Bachelor Seat Rent,"Kochukhet, Kafrul",1,1,4000,July,Male,https://www.thetolet.com/bd/property-post/dhaka/kafrul/88240/bachelor
Seat,Bachelor Seat Rent,"Kafrul, Dhaka",1,1,2300,July,Male,https://www.thetolet.com/bd/property-post/dhaka/kafrul/87978/bachelor
