Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Seat,Bachelor Seat Rent,"Motijheel, Dhaka",1,1,3500,November,Male,https://www.thetolet.com/bd/property-post/dhaka/motijheel/100444/bachelor
Room,Bachelor Room Rent,"Gopibag, Motijheel",1,1,9000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/motijheel/99748/bachelor
Seat,Bachelor Seat Rent,"Gopibag, Motijheel",1,1,2250,October,Male,https://www.thetolet.com/bd/property-post/dhaka/motijheel/99505/bachelor
Seat,Bachelor Seat Rent,"Shantibag, Motijheel",1,1,3625,November,Male,https://www.thetolet.com/bd/property-post/dhaka/motijheel/99128/bachelor
Room,Bachelor Room Rent,"Komlapur, Motijheel",1,1,7000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/motijheel/98332/bachelor
Room,Bachelor Room Rent,"Motijheel, Dhaka",1,1,5000,October,Female,https://www.thetolet.com/bd/property-post/dhaka/motijheel/98299/bachelor
Seat,Bachelor Seat Rent,"Gopibag, Motijheel",1,1,2000,October,Female,https://www.thetolet.com/bd/property-post/dhaka/motijheel/97932/bachelor
Room,Bachelor Room Rent,"Motijheel, Dhaka",1,1,9000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/motijheel/97344/bachelor
Room,Bachelor Room Rent,"Gopibag, Motijheel",1,1,6500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/motijheel/97273/bachelor
Seat,Bachelor Seat Rent,"Arambag, Motijheel",1,1,4000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/motijheel/96544/bachelor
Seat,Bachelor Seat Rent,"Arambag, Motijheel",1,1,3250,October,Male,https://www.thetolet.com/bd/property-post/dhaka/motijheel/96524/bachelor
Seat,Bachelor Seat Rent,"Komlapur, Motijheel",1,1,3000,September,Female,https://www.thetolet.com/bd/property-post/dhaka/motijheel/96523/bachelor
Room,Bachelor Room Rent,"Motijheel, Dhaka",1,1,8500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/motijheel/96522/bachelor
Seat,Bachelor Seat Rent,"Komlapur, Motijheel",1,1,3800,September,Male,https://www.thetolet.com/bd/property-post/dhaka/motijheel/96147/bachelor
Flat,Bachelor House Rent,"Gopibag, Motijheel",1,1,8000,October,Female,https://www.thetolet.com/bd/property-post/dhaka/motijheel/96120/bachelor
Seat,Bachelor Seat Rent,"Rajarbag, Motijheel",1,1,3800,September,Male,https://www.thetolet.com/bd/property-post/dhaka/motijheel/94388/bachelor
Room,Bachelor Room Rent,"Arambag, Motijheel",1,1,3300,September,Male,https://www.thetolet.com/bd/property-post/dhaka/motijheel/94354/bachelor
Seat,Bachelor Seat Rent,"Komlapur, Motijheel",1,1,2500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/motijheel/93515/bachelor
Seat,Bachelor Seat Rent,"Arambag, Motijheel",1,1,2000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/motijheel/92515/bachelor
Seat,Bachelor Seat Rent,"Gopibag, Motijheel",1,1,2700,August,Male,https://www.thetolet.com/bd/property-post/dhaka/motijheel/91455/bachelor
Seat,Bachelor Seat Rent,"Arambag, Motijheel",1,1,1500,July,Male,https://www.thetolet.com/bd/property-post/dhaka/motijheel/91453/bachelor
Seat,Bachelor Seat Rent,"Fakirapool, Motijheel",1,1,2500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/motijheel/90957/bachelor
Seat,Bachelor Seat Rent,"Arambag, Motijheel",1,1,3000,July,Male,https://www.thetolet.com/bd/property-post/dhaka/motijheel/90955/bachelor
Seat,Bachelor Seat Rent,"Fakirapool, Motijheel",1,1,1800,August,Male,https://www.thetolet.com/bd/property-post/dhaka/motijheel/90954/bachelor
Seat,Bachelor Seat Rent,"Arambag, Motijheel",1,1,2083,August,Female,https://www.thetolet.com/bd/property-post/dhaka/motijheel/90953/bachelor
