Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Room,Bachelor Room Rent,"Pallabi, Dhaka",1,1,8000,November,Male,https://www.thetolet.com/bd/property-post/dhaka/pallabi/96478/bachelor
Seat,Bachelor Seat Rent,"Pallabi, Dhaka",1,1,3500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/pallabi/96470/bachelor
Room,Bachelor Room Rent,"Pallabi, Dhaka",1,1,10500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/pallabi/92880/bachelor
Seat,Bachelor Seat Rent,"Pallabi, Dhaka",1,1,4000,August,Female,https://www.thetolet.com/bd/property-post/dhaka/pallabi/90169/bachelor
Room,Bachelor Room Rent,"Pallabi, Dhaka",1,1,8500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/pallabi/79572/bachelor
Room,Bachelor Room Rent,"Pallabi, Dhaka",1,1,4000,February,Male,https://www.thetolet.com/bd/property-post/dhaka/pallabi/79567/bachelor
Seat,Bachelor Seat Rent,"Pallabi, Dhaka",1,1,3000,March,Male,https://www.thetolet.com/bd/property-post/dhaka/pallabi/65427/bachelor
Seat,Bachelor Seat Rent,"Pallabi, Dhaka",1,1,2000,September,Female,https://www.thetolet.com/bd/property-post/dhaka/pallabi/54213/bachelor
Room,Bachelor Room Rent,"Pallabi, Dhaka",1,1,6500,May,Female,https://www.thetolet.com/bd/property-post/dhaka/pallabi/36479/bachelor
Room,Bachelor Room Rent,"Pallabi, Dhaka",1,1,8000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/pallabi/36346/bachelor
