Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Seat,Bachelor Seat Rent,"Savar, Dhaka",1,1,2250,October,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/98363/bachelor
Seat,Bachelor Seat Rent,"Savar, Dhaka",1,1,2000,October,Female,https://www.thetolet.com/bd/property-post/dhaka/savar/98219/bachelor
Seat,Bachelor Seat Rent,"Savar, Dhaka",1,1,2500,October,Female,https://www.thetolet.com/bd/property-post/dhaka/savar/98218/bachelor
Seat,Bachelor Seat Rent,"Savar, Dhaka",1,1,2500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/98216/bachelor
Seat,Bachelor Seat Rent,"Bank Colony, Savar",1,1,2250,October,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/98215/bachelor
Seat,Bachelor Seat Rent,"Bank Colony, Savar",1,1,2250,October,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/98214/bachelor
Seat,Bachelor Seat Rent,"Bank Colony, Savar",1,1,2500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/97981/bachelor
Seat,Bachelor Seat Rent,"Savar, Dhaka",1,1,2250,October,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/97980/bachelor
Seat,Bachelor Seat Rent,"Savar, Dhaka",1,1,2250,October,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/97531/bachelor
Seat,Bachelor Seat Rent,"Bank Colony, Savar",1,1,2000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/96759/bachelor
Seat,Bachelor Seat Rent,"Savar, Dhaka",1,1,2000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/96755/bachelor
Room,Bachelor Room Rent,"Savar, Dhaka",1,1,6000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/96754/bachelor
Seat,Bachelor Seat Rent,"Savar, Dhaka",1,1,3500,September,Female,https://www.thetolet.com/bd/property-post/dhaka/savar/95078/bachelor
Seat,Bachelor Seat Rent,"Savar, Dhaka",1,1,1750,September,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/94315/bachelor
Seat,Bachelor Seat Rent,"Savar, Dhaka",1,1,2000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/93892/bachelor
Seat,Bachelor Seat Rent,"Savar, Dhaka",1,1,1500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/93891/bachelor
Seat,Bachelor Seat Rent,"Savar, Dhaka",1,1,1250,August,Female,https://www.thetolet.com/bd/property-post/dhaka/savar/93491/bachelor
Seat,Bachelor Seat Rent,"Savar, Dhaka",1,1,2500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/93488/bachelor
Seat,Bachelor Seat Rent,"Savar, Dhaka",1,1,2700,August,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/93189/bachelor
Room,Bachelor Room Rent,"Savar, Dhaka",1,1,4000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/93169/bachelor
Seat,Bachelor Seat Rent,"Savar, Dhaka",1,1,1250,August,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/93167/bachelor
Seat,Bachelor Seat Rent,"Savar, Dhaka",1,1,2500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/93166/bachelor
Seat,Bachelor Seat Rent,"Savar, Dhaka",1,1,2000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/92846/bachelor
Room,Bachelor Room Rent,"Savar, Dhaka",1,1,3300,August,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/92806/bachelor
Room,Bachelor Room Rent,"Savar, Dhaka",1,1,2000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/92535/bachelor
Seat,Bachelor Seat Rent,"Savar, Dhaka",1,1,2000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/92534/bachelor
Seat,Bachelor Seat Rent,"Savar, Dhaka",1,1,1500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/92533/bachelor
Seat,Bachelor Seat Rent,"Savar, Dhaka",1,1,1800,August,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/92375/bachelor
Seat,Bachelor Seat Rent,"Savar, Dhaka",1,1,1350,July,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/92208/bachelor
Flat,Bachelor House Rent,"Savar, Dhaka",2,1,8500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/91960/bachelor
Seat,Bachelor Seat Rent,"Savar, Dhaka",1,1,2700,August,Female,https://www.thetolet.com/bd/property-post/dhaka/savar/91384/bachelor
Seat,Bachelor Seat Rent,"Savar, Dhaka",1,1,2100,June,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/91383/bachelor
Seat,Bachelor Seat Rent,"Savar, Dhaka",1,1,1800,July,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/91382/bachelor
Room,Bachelor Room Rent,"Savar, Dhaka",1,1,3750,August,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/90396/bachelor
Room,Bachelor Room Rent,"Savar, Dhaka",1,1,4000,July,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/90393/bachelor
Seat,Bachelor Seat Rent,"Savar, Dhaka",1,1,3000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/89864/bachelor
Room,Bachelor Room Rent,"Savar, Dhaka",1,1,3500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/89694/bachelor
Room,Bachelor Room Rent,"Savar, Dhaka",1,1,2550,August,Female,https://www.thetolet.com/bd/property-post/dhaka/savar/89691/bachelor
Room,Bachelor Room Rent,"Savar, Dhaka",1,1,4600,August,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/89685/bachelor
Room,Bachelor Room Rent,"Savar, Dhaka",1,1,3300,July,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/89554/bachelor
Seat,Bachelor Seat Rent,"Dilkushabag, Savar",1,1,2500,July,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/89396/bachelor
Seat,Bachelor Seat Rent,"Nobinagar, Savar",1,1,2500,July,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/89358/bachelor
Seat,Bachelor Seat Rent,"Savar, Dhaka",1,1,2000,July,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/89188/bachelor
Seat,Bachelor Seat Rent,"Bank Colony, Savar",1,1,1700,July,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/89187/bachelor
Seat,Bachelor Seat Rent,"Savar, Dhaka",1,1,1500,July,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/89185/bachelor
Seat,Bachelor Seat Rent,"Savar, Dhaka",1,1,2700,July,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/88948/bachelor
Seat,Bachelor Seat Rent,"Savar, Dhaka",1,1,1250,July,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/88244/bachelor
Seat,Bachelor Seat Rent,"Savar, Dhaka",1,1,2000,July,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/88243/bachelor
Room,Bachelor Room Rent,"Bish Mail, Savar",1,1,3000,July,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/88096/bachelor
Room,Bachelor Room Rent,"Shimultola, Savar",1,1,2500,June,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/87981/bachelor
Room,Bachelor Room Rent,"Bhatpara, Savar",1,1,3500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/87980/bachelor
Room,Bachelor Room Rent,"Savar, Dhaka",1,1,2800,July,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/87477/bachelor
Room,Bachelor Room Rent,"Savar, Dhaka",1,1,2800,June,Female,https://www.thetolet.com/bd/property-post/dhaka/savar/87476/bachelor
Seat,Bachelor Seat Rent,"Savar, Dhaka",1,1,1750,June,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/87298/bachelor
Room,Bachelor Room Rent,"Savar, Dhaka",1,1,4500,June,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/87296/bachelor
